date,code,name,family_id,close,ret_1,ret_3,ret_5,ret_10,ret_20,ret_60,vol_5,vol_20,vol_60,ma_gap_5_20,ma_gap_20_60,drawdown_20,drawdown_60,amount_log,amount_z20,turnover_rate,amplitude,intraday_range,volume_chg_5,liquidity_shock_20,month_sin,month_cos,days_since_start,family_CSI_1000,family_CSI_2000,family_CSI_300,family_CSI_500,family_CSI_800,family_CSI_A50,family_CSI_A500,fwd_ret_5,is_trainable,dataset_split
2012-05-28,159919,沪深300ETF嘉实,CSI_300,1.909,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.03928758512310108,,,0.49999999999999994,-0.8660254037844387,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.026715557883708718,True,train
2012-05-28,510300,沪深300ETF华泰柏瑞,CSI_300,1.724,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.03654292343387481,,,0.49999999999999994,-0.8660254037844387,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.026682134570765736,True,train
2012-05-29,159919,沪深300ETF嘉实,CSI_300,1.935,0.013619696176008445,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,2.8287061288632818,0.02790697674418607,,,0.49999999999999994,-0.8660254037844387,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.03875968992248058,True,train
2012-05-29,510300,沪深300ETF华泰柏瑞,CSI_300,1.764,0.023201856148491906,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,3.422273781902549,0.033446712018140555,,,0.49999999999999994,-0.8660254037844387,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0470521541950113,True,train
2012-05-30,159919,沪深300ETF嘉实,CSI_300,1.926,-0.0046511627906977715,,,,,,0.012919448273461002,0.012919448273461002,0.012919448273461002,0.0,0.0,-0.0046511627906977715,-0.0046511627906977715,0.0,,,0.8268733850129207,0.00830737279335411,,,0.49999999999999994,-0.8660254037844387,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.03686396677050885,True,train
2012-05-30,510300,沪深300ETF华泰柏瑞,CSI_300,1.756,-0.0045351473922902175,,,,,,0.01961302329348232,0.01961302329348232,0.01961302329348232,0.0,0.0,-0.0045351473922902175,-0.0045351473922902175,0.0,,,0.7936507936507943,0.007972665148063789,,,0.49999999999999994,-0.8660254037844387,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.043849658314350726,True,train
2012-05-31,159919,沪深300ETF嘉实,CSI_300,1.921,-0.0025960539979230646,0.0062860136196962735,,,,,0.010008315819313862,0.010008315819313862,0.010008315819313862,0.0,0.0,-0.007235142118863003,-0.007235142118863003,0.0,,,1.453790238836969,0.014575741801145249,,,0.49999999999999994,-0.8660254037844387,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.04060385216033324,True,train
2012-05-31,510300,沪深300ETF华泰柏瑞,CSI_300,1.75,-0.003416856492027387,0.015081206496519783,,,,,0.015701102947444555,0.015701102947444555,0.015701102947444555,0.0,0.0,-0.007936507936507908,-0.007936507936507908,0.0,,,1.8223234624145674,0.018285714285714176,,,0.49999999999999994,-0.8660254037844387,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.04971428571428571,True,train
2012-06-01,159919,沪深300ETF嘉实,CSI_300,1.926,0.0026028110359186396,-0.0046511627906977715,,,,,0.008175259452264282,0.008175259452264282,0.008175259452264282,0.0,0.0,-0.0046511627906977715,-0.0046511627906977715,0.0,,,1.9781363872982838,0.01973001038421601,,,1.2246467991473532e-16,-1.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.04672897196261672,True,train
2012-06-01,510300,沪深300ETF华泰柏瑞,CSI_300,1.75,0.0,-0.007936507936507908,,,,,0.013069418507498496,0.013069418507498496,0.013069418507498496,0.0,0.0,-0.007936507936507908,-0.007936507936507908,0.0,,,2.285714285714288,0.022857142857142878,,,1.2246467991473532e-16,-1.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.05485714285714294,True,train
2012-06-04,159919,沪深300ETF嘉实,CSI_300,1.858,-0.0353063343717549,-0.0353063343717549,-0.026715557883708718,,,,0.018224406935263473,0.018224406935263473,0.018224406935263473,0.00036601307189565446,0.0,-0.03979328165374674,-0.03979328165374674,0.0,,,2.440290758047764,0.025296017222820197,-0.6328933527749094,,1.2246467991473532e-16,-1.0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.004843918191603791,True,train
