date,code,name,family_id,close,fwd_ret_5,is_trainable,vol_20_relative,vol_20,ret_5,vol_60_relative,amplitude,intraday_range,drawdown_20,ret_5_rolling_zscore,drawdown_60,month_cos,vol_5,ret_3,volume_chg_5,volume_chg_5_clipped,ma_gap_20_60,family_CSI_A50,ret_3_rolling_zscore,family_CSI_A500,ret_60_rolling_zscore,vol_60,ret_20,ret_20_rolling_zscore,ret_60,family_CSI_A100,family_CSI_2000,ret_10
2019-05-21,510300,沪深300ETF华泰柏瑞,CSI_300,3.098,-0.0003227888960619,True,,,,,,0.02614590058102,0.0,,0.0,-0.8660254037844387,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,
2019-05-21,510310,沪深300ETF易方达,CSI_300,2.916,-0.0006858710562414,True,,,,,,0.0233196159122085,0.0,,0.0,-0.8660254037844387,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,
2019-05-21,510500,中证500ETF南方,CSI_500,4.429,-0.0092571686610973,True,,,,,,0.0259652291713703,0.0,,0.0,-0.8660254037844387,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,
2019-05-21,512100,中证1000ETF南方,CSI_1000,1.703,-0.009395184967704,True,,,,,,0.0305343511450381,0.0,,0.0,-0.8660254037844387,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,
2019-05-21,512500,中证500ETF华夏,CSI_500,2.484,-0.0064412238325282,True,,,,,,0.0253623188405797,0.0,,0.0,-0.8660254037844387,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,
2019-05-22,510300,沪深300ETF华泰柏瑞,CSI_300,3.089,0.0032372936225315,True,,,,,1.387992253066485,0.0139203625768856,-0.0029051000645577,,-0.0029051000645577,-0.8660254037844387,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,
2019-05-22,510310,沪深300ETF易方达,CSI_300,2.914,0.0027453671928621,True,,,,,1.3031550068587194,0.0130404941660948,-0.0006858710562414,,-0.0006858710562414,-0.8660254037844387,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,
2019-05-22,510500,中证500ETF南方,CSI_500,4.414,-0.0054372451291345,True,,,,,1.6030706705802602,0.016085183507023,-0.0033867690223527,,-0.0033867690223527,-0.8660254037844387,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,
2019-05-22,512100,中证1000ETF南方,CSI_1000,1.7,-0.0047058823529412,True,,,,,1.937756899588956,0.0194117647058823,-0.0017615971814445,,-0.0017615971814445,-0.8660254037844387,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,
2019-05-22,512500,中证500ETF华夏,CSI_500,2.479,-0.0060508269463493,True,,,,,1.5700483091787498,0.0157321500605083,-0.002012882447665,,-0.002012882447665,-0.8660254037844387,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,
2019-05-23,510300,沪深300ETF华泰柏瑞,CSI_300,3.031,0.021774991751897,True,0.9999991089444782,0.011222635228793,,0.9999991089444782,1.7481385561670533,0.0178159023424613,-0.0216268560361522,,-0.0216268560361522,-0.8660254037844387,0.011222635228793,,,,0.0,0.0,,0.0,,0.011222635228793,,,,0.0,0.0,
2019-05-23,510310,沪深300ETF易方达,CSI_300,2.86,0.0188811188811188,True,0.9999992075180102,0.012618573297821,,0.9999992075180102,1.8531228551818744,0.0188811188811188,-0.01920438957476,,-0.01920438957476,-0.8660254037844387,0.012618573297821,,,,0.0,0.0,,0.0,,0.012618573297821,,,,0.0,0.0,
2019-05-23,510500,中证500ETF南方,CSI_500,4.324,0.0120259019426458,True,0.9999991682522579,0.0120228660396739,,0.9999991682522579,2.0616221114635294,0.02104532839963,-0.0237073831564688,,-0.0237073831564688,-0.8660254037844387,0.0120228660396739,,,,0.0,0.0,,0.0,,0.0120228660396739,,,,0.0,0.0,
2019-05-23,512100,中证1000ETF南方,CSI_1000,1.659,0.0150693188667871,True,0.9999993674138876,0.0158081144688393,,0.9999993674138876,2.411764705882349,0.0247136829415309,-0.0258367586611861,,-0.0258367586611861,-0.8660254037844387,0.0158081144688393,,,,0.0,0.0,,0.0,,0.0158081144688393,,,,0.0,0.0,
2019-05-23,512500,中证500ETF华夏,CSI_500,2.431,0.0111065405183052,True,0.9999991848808851,0.0122681356212843,,0.9999991848808851,1.8959257765227973,0.0193336075689017,-0.0213365539452495,,-0.0213365539452495,-0.8660254037844387,0.0122681356212843,,,,0.0,0.0,,0.0,,0.0122681356212843,,,,0.0,0.0,
2019-05-24,510300,沪深300ETF华泰柏瑞,CSI_300,3.037,0.013829436944353,True,0.9831965021431581,0.0108517283712781,,0.9831965021431581,1.649620587264923,0.0164636154099439,-0.0196901226597805,,-0.0196901226597805,-0.8660254037844387,0.0108517283712781,-0.0196901226597805,,,0.0,0.0,,0.0,,0.0108517283712781,,,,0.0,0.0,
2019-05-24,510310,沪深300ETF易方达,CSI_300,2.864,0.0132681564245811,True,0.9294048458615667,0.0109544506283415,,0.9294048458615667,1.3286713286713376,0.013268156424581,-0.017832647462277,,-0.017832647462277,-0.8660254037844387,0.0109544506283415,-0.017832647462277,,,0.0,0.0,,0.0,,0.0109544506283415,,,,0.0,0.0,
