date,code,name,family_id,close,ret_1,ret_3,ret_5,ret_10,ret_20,ret_60,vol_5,vol_20,vol_60,ma_gap_5_20,ma_gap_20_60,drawdown_20,drawdown_60,amount_log,amount_z20,turnover_rate,amplitude,intraday_range,volume_chg_5,liquidity_shock_20,month_sin,month_cos,days_since_start,family_CSI_1000,family_CSI_2000,family_CSI_300,family_CSI_500,family_CSI_800,family_CSI_A100,family_CSI_A50,family_CSI_A500,fwd_ret_5,is_trainable
2019-05-21,510300,沪深300ETF华泰柏瑞,CSI_300,3.098,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.026145900581020003,,,0.49999999999999994,-0.8660254037844387,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.00032278889606196515,True
2019-05-21,510310,沪深300ETF易方达,CSI_300,2.916,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.023319615912208526,,,0.49999999999999994,-0.8660254037844387,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.000685871056241405,True
2019-05-21,510500,中证500ETF南方,CSI_500,4.429,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.02596522917137036,,,0.49999999999999994,-0.8660254037844387,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.009257168661097381,True
2019-05-21,512100,中证1000ETF南方,CSI_1000,1.703,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.030534351145038195,,,0.49999999999999994,-0.8660254037844387,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009395184967704084,True
2019-05-21,512500,中证500ETF华夏,CSI_500,2.484,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.025362318840579778,,,0.49999999999999994,-0.8660254037844387,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.006441223832528209,True
2019-05-22,510300,沪深300ETF华泰柏瑞,CSI_300,3.089,-0.0029051000645577973,,,,,,,,,0.0,0.0,-0.0029051000645577973,-0.0029051000645577973,0.0,,,1.387992253066485,0.013920362576885628,,,0.49999999999999994,-0.8660254037844387,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0032372936225315563,True
2019-05-22,510310,沪深300ETF易方达,CSI_300,2.914,-0.000685871056241405,,,,,,,,,0.0,0.0,-0.000685871056241405,-0.000685871056241405,0.0,,,1.3031550068587194,0.013040494166094803,,,0.49999999999999994,-0.8660254037844387,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0027453671928621137,True
2019-05-22,510500,中证500ETF南方,CSI_500,4.414,-0.003386769022352798,,,,,,,,,0.0,0.0,-0.003386769022352798,-0.003386769022352798,0.0,,,1.6030706705802602,0.016085183507023048,,,0.49999999999999994,-0.8660254037844387,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.005437245129134571,True
2019-05-22,512100,中证1000ETF南方,CSI_1000,1.7,-0.0017615971814445297,,,,,,,,,0.0,0.0,-0.0017615971814445297,-0.0017615971814445297,0.0,,,1.9377568995889556,0.019411764705882305,,,0.49999999999999994,-0.8660254037844387,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004705882352941226,True
2019-05-22,512500,中证500ETF华夏,CSI_500,2.479,-0.0020128824476650653,,,,,,,,,0.0,0.0,-0.0020128824476650653,-0.0020128824476650653,0.0,,,1.5700483091787498,0.015732150060508328,,,0.49999999999999994,-0.8660254037844387,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.006050826946349397,True
2019-05-23,510300,沪深300ETF华泰柏瑞,CSI_300,3.031,-0.018776303010683004,,,,,,0.011222635228793045,0.011222635228793045,0.011222635228793045,0.0,0.0,-0.02162685603615222,-0.02162685603615222,0.0,,,1.7481385561670533,0.01781590234246132,,,0.49999999999999994,-0.8660254037844387,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02177499175189701,True
