date,code,name,family_id,close,ret_1,ret_3,ret_5,ret_10,ret_20,ret_60,vol_5,vol_20,vol_60,ma_gap_5_20,ma_gap_20_60,drawdown_20,drawdown_60,amount_log,amount_z20,turnover_rate,amplitude,intraday_range,volume_chg_5,liquidity_shock_20,month_sin,month_cos,days_since_start,family_CSI_1000,family_CSI_2000,family_CSI_300,family_CSI_500,family_CSI_800,family_CSI_A100,family_CSI_A50,family_CSI_A500,fwd_ret_5,is_trainable,ret_1_zscore,ret_3_zscore,ret_5_zscore,ret_10_zscore,ret_20_zscore,ret_60_zscore,vol_5_norm,vol_20_norm,vol_60_norm,volume_chg_5_clip,liquidity_shock_20_norm,turnover_ratio
2019-05-21,510300,沪深300ETF华泰柏瑞,CSI_300,3.098,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.02614590058102,,,0.4999999999999999,-0.8660254037844387,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0003227888960619,True,,,,,,,,,,,,
2019-05-21,510310,沪深300ETF易方达,CSI_300,2.916,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0233196159122085,,,0.4999999999999999,-0.8660254037844387,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0006858710562414,True,,,,,,,,,,,,
2019-05-21,510500,中证500ETF南方,CSI_500,4.429,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0259652291713703,,,0.4999999999999999,-0.8660254037844387,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0092571686610973,True,,,,,,,,,,,,
2019-05-21,512100,中证1000ETF南方,CSI_1000,1.703,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0305343511450381,,,0.4999999999999999,-0.8660254037844387,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009395184967704,True,,,,,,,,,,,,
2019-05-21,512500,中证500ETF华夏,CSI_500,2.484,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0253623188405797,,,0.4999999999999999,-0.8660254037844387,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0064412238325282,True,,,,,,,,,,,,
2019-05-22,510300,沪深300ETF华泰柏瑞,CSI_300,3.089,-0.0029051000645577,,,,,,,,,0.0,0.0,-0.0029051000645577,-0.0029051000645577,0.0,,,1.387992253066485,0.0139203625768856,,,0.4999999999999999,-0.8660254037844387,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0032372936225315,True,-0.24035866504511166,,,,,,,,,,,
2019-05-22,510310,沪深300ETF易方达,CSI_300,2.914,-0.0006858710562414,,,,,,,,,0.0,0.0,-0.0006858710562414,-0.0006858710562414,0.0,,,1.3031550068587194,0.0130404941660948,,,0.4999999999999999,-0.8660254037844387,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0027453671928621,True,-0.0833044291594718,,,,,,,,,,,
2019-05-22,510500,中证500ETF南方,CSI_500,4.414,-0.0033867690223527,,,,,,,,,0.0,0.0,-0.0033867690223527,-0.0033867690223527,0.0,,,1.6030706705802602,0.016085183507023,,,0.4999999999999999,-0.8660254037844387,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0054372451291345,True,-0.26953214176056806,,,,,,,,,,,
2019-05-22,512100,中证1000ETF南方,CSI_1000,1.7,-0.0017615971814445,,,,,,,,,0.0,0.0,-0.0017615971814445,-0.0017615971814445,0.0,,,1.937756899588956,0.0194117647058823,,,0.4999999999999999,-0.8660254037844387,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0047058823529412,True,-0.14247515961322652,,,,,,,,,,,
2019-05-22,512500,中证500ETF华夏,CSI_500,2.479,-0.002012882447665,,,,,,,,,0.0,0.0,-0.002012882447665,-0.002012882447665,0.0,,,1.5700483091787498,0.0157321500605083,,,0.4999999999999999,-0.8660254037844387,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0060508269463493,True,-0.18004754187073746,,,,,,,,,,,
2019-05-23,510300,沪深300ETF华泰柏瑞,CSI_300,3.031,-0.018776303010683,,,,,,0.011222635228793,0.011222635228793,0.011222635228793,0.0,0.0,-0.0216268560361522,-0.0216268560361522,0.0,,,1.7481385561670533,0.0178159023424613,,,0.4999999999999999,-0.8660254037844387,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021774991751897,True,-1.3868925904718061,,,,,,1.0314845021815167,0.9323326346592039,0.8759685492833272,,,
2019-05-23,510310,沪深300ETF易方达,CSI_300,2.86,-0.0185312285518188,,,,,,0.012618573297821,0.012618573297821,0.012618573297821,0.0,0.0,-0.01920438957476,-0.01920438957476,0.0,,,1.8531228551818744,0.0188811188811188,,,0.4999999999999999,-0.8660254037844387,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0188811188811188,True,-1.407284431235021,,,,,,1.1923428949188783,1.075824562165534,1.0100265529182555,,,
2019-05-23,510500,中证500ETF南方,CSI_500,4.324,-0.0203896692342545,,,,,,0.0120228660396739,0.0120228660396739,0.0120228660396739,0.0,0.0,-0.0237073831564688,-0.0237073831564688,0.0,,,2.0616221114635294,0.02104532839963,,,0.4999999999999999,-0.8660254037844387,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0120259019426458,True,-1.428513850577432,,,,,,0.9931651020967343,0.9081123596741258,0.8633398442898589,,,
2019-05-23,512100,中证1000ETF南方,CSI_1000,1.659,-0.0241176470588234,,,,,,0.0158081144688393,0.0158081144688393,0.0158081144688393,0.0,0.0,-0.0258367586611861,-0.0258367586611861,0.0,,,2.411764705882349,0.0247136829415309,,,0.4999999999999999,-0.8660254037844387,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0150693188667871,True,-1.470948498450644,,,,,,1.122440501807566,1.0307949178495748,0.9832690149739272,,,
2019-05-23,512500,中证500ETF华夏,CSI_500,2.431,-0.0193626462283178,,,,,,0.0122681356212843,0.0122681356212843,0.0122681356212843,0.0,0.0,-0.0213365539452495,-0.0213365539452495,0.0,,,1.8959257765227973,0.0193336075689017,,,0.4999999999999999,-0.8660254037844387,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0111065405183052,True,-1.3979253485310188,,,,,,1.052893068018376,0.9592750172845835,0.9105081694477196,,,
2019-05-24,510300,沪深300ETF华泰柏瑞,CSI_300,3.037,0.0019795447047179,-0.0196901226597805,,,,,0.0108517283712781,0.0108517283712781,0.0108517283712781,0.0,0.0,-0.0196901226597805,-0.0196901226597805,0.0,,,1.649620587264923,0.0164636154099439,,,0.4999999999999999,-0.8660254037844387,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.013829436944353,True,0.11250752667602529,-0.8413015087404137,,,,,0.9973940530597363,0.9015191438319498,0.8470178852661107,,,
2019-05-24,510310,沪深300ETF易方达,CSI_300,2.864,0.0013986013986013,-0.017832647462277,,,,,0.0109544506283415,0.0109544506283415,0.0109544506283415,0.0,0.0,-0.017832647462277,-0.017832647462277,0.0,,,1.3286713286713376,0.013268156424581,,,0.4999999999999999,-0.8660254037844387,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0132681564245811,True,0.0713464286769723,-0.7981663026271016,,,,,1.035098110235498,0.9339460787563457,0.876825433915543,,,
2019-05-24,510500,中证500ETF南方,CSI_500,4.299,-0.0057816836262718,-0.0293519981937231,,,,,0.0092035090689999,0.0092035090689999,0.0092035090689999,0.0,0.0,-0.0293519981937231,-0.0293519981937231,0.0,,,1.271970397779827,0.0127936729471969,,,0.4999999999999999,-0.8660254037844387,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0125610607117931,True,-0.43277854005311905,-1.150510049789617,,,,,0.7602683082385429,0.6951603977248014,0.660887018147812,,,
2019-05-24,512100,中证1000ETF南方,CSI_1000,1.637,-0.0132610006027727,-0.0387551379917792,,,,,0.0111795648203764,0.0111795648203764,0.0111795648203764,0.0,0.0,-0.0387551379917792,-0.0387551379917792,0.0,,,1.808318264014468,0.0183262064752596,,,0.4999999999999999,-0.8660254037844387,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268784361637142,True,-0.8258092432980221,-1.3373427805421023,,,,,0.7937946281771109,0.7289824870214278,0.69537196927799,,,
2019-05-24,512500,中证500ETF华夏,CSI_500,2.414,-0.0069930069930069,-0.0281803542673106,,,,,0.0089333076978174,0.0089333076978174,0.0089333076978174,0.0,0.0,-0.0281803542673106,-0.0281803542673106,0.0,,,1.316330728095435,0.0132560066280033,,,0.4999999999999999,-0.8660254037844387,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012841756420878,True,-0.5296305814357762,-1.147181423435254,,,,,0.7666868088080756,0.6985168048977914,0.6630061722615229,,,
2019-05-27,510300,沪深300ETF华泰柏瑞,CSI_300,3.08,0.0141587092525519,-0.0029135642602783,,,,,0.0136344561135179,0.0136344561135179,0.0136344561135179,0.0,0.0,-0.0058102001291154,-0.0058102001291154,0.0,,,3.128086927889371,0.0308441558441559,,,0.4999999999999999,-0.8660254037844387,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0022727272727272,True,0.9923290112128853,-0.17002989881830843,,,,,1.2531575597044784,1.1326972793206074,1.0642201674151694,,,
2019-05-27,510310,沪深300ETF易方达,CSI_300,2.902,0.0132681564245811,-0.004118050789293,,,,,0.0131237762468869,0.0131237762468869,0.0131237762468869,0.0,0.0,-0.0048010973936899,-0.0048010973936899,0.0,,,3.0027932960893806,0.0296347346657477,,,0.4999999999999999,-0.8660254037844387,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0020675396278428,True,0.951970618572144,-0.22814997797425404,,,,,1.2400800782433046,1.1188967644387826,1.0504644361183542,,,
2019-05-27,510500,中证500ETF南方,CSI_500,4.398,0.0230286113049544,-0.0036248300860897,,,,,0.0180766423226701,0.0180766423226701,0.0180766423226701,0.0,0.0,-0.0069993226461956,-0.0069993226461956,0.0,,,3.2333100721097776,0.0316052751250566,,,0.4999999999999999,-0.8660254037844387,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0184174624829467,True,1.531039657711601,-0.19976418466441756,,,,,1.4932454756393296,1.3653668152382044,1.298050358095878,,,
2019-05-27,512100,中证1000ETF南方,CSI_1000,1.689,0.0317654245571166,-0.006470588235294,,,,,0.0241941002794885,0.0241941002794885,0.0241941002794885,0.0,0.0,-0.0082207868467411,-0.0082207868467411,0.0,,,3.848503359804517,0.0373001776198934,,,0.4999999999999999,-0.8660254037844387,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0177619893428063,True,1.8498157305305087,-0.2772840738182271,,,,,1.7178796441550306,1.5776173470403057,1.5048796108407603,,,
2019-05-27,512500,中证500ETF华夏,CSI_500,2.474,0.0248550124275062,-0.0020169423154496,,,,,0.0186418109178868,0.0186418109178868,0.0186418109178868,0.0,0.0,-0.00402576489533,-0.00402576489533,0.0,,,3.0654515327257594,0.0299110751818916,,,0.4999999999999999,-0.8660254037844387,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0194017784963621,True,1.7059615873510396,-0.14356781178894945,,,,,1.5999035303049196,1.457648011279463,1.3835452800658505,,,
2019-05-28,510300,沪深300ETF华泰柏瑞,CSI_300,3.097,0.0055194805194804,0.021774991751897,-0.0003227888960619,,,,0.012204930962881,0.012204930962881,0.012204930962881,-0.0016927083333332,0.0,-0.0003227888960619,-0.0003227888960619,0.0,,,1.7207792207792183,0.0171133354859541,0.0989897052624428,,0.4999999999999999,-0.8660254037844387,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0138844042621892,True,0.3682320939464002,0.8178203113557125,-0.07820659200673039,,,,1.1217683620428123,1.0139379217514104,0.9526403961013236,0.0989897052624428,,
2019-05-28,510310,沪深300ETF易方达,CSI_300,2.914,0.0041350792556857,0.0188811188811188,-0.0006858710562414,,,,0.0116075546884564,0.0116075546884564,0.0116075546884564,-0.0014507772020725,0.0,-0.0006858710562414,-0.0006858710562414,0.0,,,1.722949689869065,0.0171585449553878,-0.0771834354583006,,0.4999999999999999,-0.8660254037844387,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0116678105696638,True,0.27437077043085384,0.7277587139248091,-0.09434261862108857,,,,1.0968106325105118,0.9896279195586634,0.9291017433655726,-0.0771834354583006,,
2019-05-28,510500,中证500ETF南方,CSI_500,4.388,-0.0022737608003637,0.0148011100832563,-0.0092571686610973,,,,0.0156574590121399,0.0156574590121399,0.0156574590121399,-0.0024531464269387,0.0,-0.0092571686610973,-0.0092571686610973,0.0,,,1.3642564802182924,0.0136736554238834,-0.0938157842045394,,0.4999999999999999,-0.8660254037844387,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0300820419325432,True,-0.19366530992766237,0.48116526523691927,-0.3513162077945311,,,,1.2934055679446907,1.182640811524914,1.1243332647065203,-0.0938157842045394,,
2019-05-28,512100,中证1000ETF南方,CSI_1000,1.687,-0.0011841326228537,0.0168776371308017,-0.009395184967704,,,,0.0209547816360242,0.0209547816360242,0.0209547816360242,-0.0028387096774192,0.0,-0.009395184967704,-0.009395184967704,0.0,,,2.0722320899940745,0.0207468879668049,-0.1009746563546175,,0.4999999999999999,-0.8660254037844387,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0373443983402489,True,-0.10816023034713836,0.4893516628597855,-0.32849608055268553,,,,1.487874829168918,1.3663920803229936,1.3033931111051793,-0.1009746563546175,,
2019-05-28,512500,中证500ETF华夏,CSI_500,2.468,-0.0024252223120453,0.0152200740436034,-0.0064412238325282,,,,0.0161590958735302,0.0161590958735302,0.0161590958735302,-0.0020881355932205,0.0,-0.0064412238325282,-0.0064412238325282,0.0,,,1.2934518997574789,0.012965964343598,-0.1749962742325925,,0.4999999999999999,-0.8660254037844387,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0287682333873582,True,-0.2089920033619119,0.5176343385248257,-0.27842104596502976,,,,1.3868284926005072,1.2635185534215012,1.1992848186493998,-0.1749962742325925,,
2019-05-29,510300,沪深300ETF华泰柏瑞,CSI_300,3.099,0.000645786244753,0.0204148831083306,0.0032372936225315,,,,0.0120968038320891,0.010919652064862,0.010919652064862,-0.0022943662625979,0.0,0.0,0.0,0.0,,,1.872780109783656,0.0187157147466924,0.0329606219224853,,0.4999999999999999,-0.8660254037844387,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0171022910616328,True,0.01615696472646941,0.763398999362254,0.030149900096873305,,,,1.1118302808877685,0.9071619785943581,0.8523195829616752,0.0329606219224853,,
