feature,correlation,raw_correlation
vol_20_relative,0.14299711556365133,0.14299711556365133
vol_20,0.07771906448248089,0.07771906448248089
ret_5,0.06579449681211116,-0.06579449681211116
vol_60_relative,0.06495513334390718,0.06495513334390718
amplitude,0.0639201165829657,0.0639201165829657
intraday_range,0.06364244233468999,0.06364244233468999
drawdown_20,0.058479956660565734,-0.058479956660565734
ret_5_rolling_zscore,0.055916026702542095,-0.055916026702542095
drawdown_60,0.04920049423583717,-0.04920049423583717
month_cos,0.04867594187401895,-0.04867594187401895
vol_5,0.045521096635040594,0.045521096635040594
ret_3,0.04522112865020506,-0.04522112865020506
volume_chg_5,0.03203268317500893,0.03203268317500893
volume_chg_5_clipped,0.03199975743526766,0.03199975743526766
ma_gap_20_60,0.03156885744792964,-0.03156885744792964
family_CSI_A50,0.029040958024619833,-0.029040958024619833
ret_3_rolling_zscore,0.027487045836575356,-0.027487045836575356
family_CSI_A500,0.027021974927489364,0.027021974927489364
ret_60_rolling_zscore,0.02550683515280392,-0.02550683515280392
vol_60,0.02485231428896396,0.02485231428896396
ret_20,0.02222238751422316,-0.02222238751422316
ret_20_rolling_zscore,0.019760708645508076,-0.019760708645508076
ret_60,0.01776195191203093,-0.01776195191203093
family_CSI_A100,0.016995421234533067,-0.016995421234533067
family_CSI_2000,0.013921190767492167,0.013921190767492167
ret_10,0.012516415593952578,-0.012516415593952578
ret_10_rolling_zscore,0.009847303249746772,-0.009847303249746772
ret_1,0.009663521811192302,-0.009663521811192302
family_CSI_1000,0.007645371975936632,0.007645371975936632
ma_gap_5_20,0.006590795092099076,-0.006590795092099076
vol_5_relative,0.006581803049523541,0.006581803049523541
family_CSI_800,0.006479396384457507,0.006479396384457507
month_sin,0.006317307917441795,0.006317307917441795
days_since_start,0.006189247649151347,-0.006189247649151347
family_CSI_300,0.005844203957557778,-0.005844203957557778
family_CSI_500,0.0034194980990119002,0.0034194980990119002
ret_1_rolling_zscore,0.00043085573870142886,0.00043085573870142886
amount_log,,
amount_z20,,
turnover_rate,,
liquidity_shock_20,,
turnover_ratio,,
liquidity_shock_robust,,
