date,code,name,family_id,close,ret_1,ret_3,ret_5,ret_10,ret_20,ret_60,vol_5,vol_20,vol_60,ma_gap_5_20,ma_gap_20_60,drawdown_20,drawdown_60,amount_log,amount_z20,turnover_rate,amplitude,intraday_range,volume_chg_5,liquidity_shock_20,month_sin,month_cos,days_since_start,family_CSI_1000,family_CSI_2000,family_CSI_300,family_CSI_500,family_CSI_800,family_CSI_A100,family_CSI_A50,family_CSI_A500,fwd_ret_5,is_trainable,dataset_split,prediction
2026-06-01,159136,中证A50ETF广发,CSI_A50,1.047,-0.011331444759206777,-0.00758293838862556,-0.005698005698005715,0.003835091083413289,-0.0019065776930410339,0.048048048048048075,0.005916523232374923,0.009222050403023572,0.010595422294841887,-0.0001422677479013812,0.0338116093607006,-0.03055555555555567,-0.03055555555555567,0.0,,,1.6052880075542877,0.01623686723973248,0.46391982182628055,,1.2246467991473532e-16,-1.0,158,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,False,future_unlabeled,0.0015693467680141366
2026-06-01,159352,中证A500ETF,CSI_A500,1.329,-0.012630014858841077,-0.022794117647058965,-0.027798098024871987,-0.008208955223880654,0.003776435045317106,0.03424124513618687,0.008340976221225684,0.011939554267779021,0.012171822704030723,-0.00011075423634943071,0.04321201617562109,-0.04457225017972688,-0.04457225017972688,0.0,,,2.0059435364041542,0.02031602708803605,0.11163748589944489,,1.2246467991473532e-16,-1.0,594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,future_unlabeled,0.012837259161298768
2026-06-01,159531,中证2000ETF南方,CSI_2000,1.55,-0.0006447453255963298,-0.014621741894469076,-0.05024509803921562,-0.04380012338062922,0.007802340702210753,0.03748326639892907,0.017075654748031608,0.016516854644418003,0.017926643168145247,-0.01899719713484893,0.052326851649552086,-0.059466019417475646,-0.059466019417475646,0.0,,,2.192134107027726,0.021935483870967762,0.08736900189203056,,1.2246467991473532e-16,-1.0,987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,future_unlabeled,0.012107787305515759
2026-06-01,159601,中证A50ETF华夏,CSI_A50,1.143,-0.018884120171673846,-0.01380500431406384,-0.012100259291270565,0.004393673110720586,0.013297872340425565,0.09273422562141498,0.011496351470682273,0.012277688989119363,0.01140842167722103,0.007860337864246114,0.05686616486139151,-0.03462837837837829,-0.03462837837837829,0.0,,,2.060085836909873,0.020997375328084007,-0.014086542143310177,,1.2246467991473532e-16,-1.0,1666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,False,future_unlabeled,0.00589258820690771
2026-06-01,159627,中证A100ETF华夏,CSI_A100,1.373,-0.010093727469358327,-0.018584703359542543,-0.018584703359542543,-0.0021802325581394832,0.008076358296622566,0.04729214340198329,0.007377041629433793,0.010985460603952786,0.011266497544536812,0.0011855577510329063,0.04432160678330699,-0.03716690042075732,-0.03716690042075732,0.0,,,1.7303532804614292,0.01747997086671524,-0.31455404471076287,,1.2246467991473532e-16,-1.0,1279,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,future_unlabeled,0.008146410727135367
2026-06-01,159800,中证800ETF鹏华,CSI_800,1.482,-0.011340893929286278,-0.019192587690271323,-0.021136063408190298,-0.005369127516778538,0.004065040650406582,0.034916201117318524,0.006973384391238414,0.01061693884589519,0.011260496957848769,-0.00016610743829115204,0.038657955878631745,-0.040155440414507804,-0.040155440414507804,0.0,,,1.6677785190126688,0.016869095816464178,0.9972144846796658,,1.2246467991473532e-16,-1.0,689,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,future_unlabeled,0.010283380123050087
2026-06-01,159845,中证1000ETF华夏,CSI_1000,3.456,-0.006039689387402958,-0.022624434389140302,-0.04950495049504955,-0.0413314840499307,0.0031930333817127288,0.028265397203213194,0.01353031925829357,0.015808804194956762,0.01591707006134189,-0.016043974441251052,0.05292176314475139,-0.06493506493506496,-0.06493506493506496,0.0,,,1.8981880931837873,0.019097222222222304,0.4449144304514763,,1.2246467991473532e-16,-1.0,1888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,future_unlabeled,0.010868992404156747
2026-06-01,510300,沪深300ETF华泰柏瑞,CSI_300,4.868,-0.011172049563274333,-0.012976480129764822,-0.0139760988454527,0.0032976092333059093,0.009749014727235217,0.04061564771269777,0.007144772174815666,0.009779511641464055,0.010653347039527885,0.004148785435418745,0.037772707878599876,-0.029699023320709617,-0.029699023320709617,0.0,,,1.6047125736339758,0.016228430566968082,-0.6928765958143348,,1.2246467991473532e-16,-1.0,2568,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,False,future_unlabeled,0.0072461979781670875
2026-06-01,510310,沪深300ETF易方达,CSI_300,4.713,-0.013397529830437516,-0.011535234899328839,-0.014841137123745796,0.0034064296359377355,0.01028938906752419,0.04108681245858192,0.008203754853458159,0.01008954279888931,0.010799041775884253,0.004316607357183422,0.038149193915657076,-0.02964793082149475,-0.02964793082149475,0.0,,,1.6746912288046905,0.016974326331423737,-0.8914967238999899,,1.2246467991473532e-16,-1.0,2568,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,False,future_unlabeled,0.007228845278975748
2026-06-01,510500,中证500ETF南方,CSI_500,8.37,-0.008646215800071078,-0.02832598096122607,-0.04734805372183026,-0.030239833159541263,-0.006174305390643675,-0.0005970149253732293,0.010730957878310196,0.015990072059874804,0.01603393384972907,-0.013475226314698219,0.047088807062114935,-0.07092907092907108,-0.07092907092907108,0.0,,,2.1082553594693927,0.02126642771804072,-0.32890658958264685,,1.2246467991473532e-16,-1.0,2568,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,False,future_unlabeled,0.013391084258229918
2026-06-01,512100,中证1000ETF南方,CSI_1000,3.359,-0.007094295004433926,-0.02269421006691874,-0.05086182537439954,-0.04110762203825291,0.0038852361028092197,0.02784577723378212,0.013425849476226463,0.015691225209533224,0.01630508799213976,-0.01592311002725577,0.053710888295460224,-0.06642579210672594,-0.06642579210672594,0.0,,,1.9213715637008557,0.019350997320631124,0.3361481408437781,,1.2246467991473532e-16,-1.0,2568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,future_unlabeled,0.01165875714097259
2026-06-01,512500,中证500ETF华夏,CSI_500,4.637,-0.00876442924326648,-0.027678758649612223,-0.0464733703475223,-0.028900523560209557,-0.0053625053625054875,0.0017282350399654423,0.009863256719921052,0.015335665049672674,0.01577783573684246,-0.013490602344473412,0.046926441496216054,-0.07055522148727211,-0.07055522148727211,0.0,,,2.1162890123984655,0.021350010782833773,0.2670946887436507,,1.2246467991473532e-16,-1.0,2568,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,False,future_unlabeled,0.01331941186739896
2026-06-01,563360,中证A500ETF华泰柏瑞,CSI_A500,1.35,-0.013157894736842146,-0.022447501810282322,-0.02667627974044695,-0.008810572687224627,0.0044642857142858094,0.03053435114503822,0.008158907004536795,0.011584746265301942,0.012039336160609402,-0.0003634513338663936,0.04313210074688145,-0.04458598726114649,-0.04458598726114649,0.0,,,2.046783625730996,0.020740740740740757,0.020443465110931536,,1.2246467991473532e-16,-1.0,594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,future_unlabeled,0.012566984009093883
2026-06-02,159136,中证A50ETF广发,CSI_A50,1.064,0.01623686723973261,0.00853080568720399,0.00853080568720399,0.02111324376199608,0.0181818181818183,0.08904810644831129,0.009890469551319397,0.009859752899825613,0.010344654271671897,0.0006633184876336795,0.033274041678225785,-0.014814814814814836,-0.014814814814814836,0.0,,,1.7191977077363914,0.01691729323308272,-0.8474347276810781,,1.2246467991473532e-16,-1.0,159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,False,future_unlabeled,0.0023027530319893086
