name,num_features,accuracy,ic,rmse
Top 40 特征,40,0.6564102564102564,0.2599339399881433,0.02870513968705146
Top 45 特征,45,0.6679487179487179,0.29932367205948024,0.02811003560813517
Top 50 特征,50,0.6666666666666666,0.2193083191553113,0.0285985303753789
Top 55 特征,55,0.6756410256410257,0.2935107800161292,0.02852983133176792
全部 67 特征,60,0.6435897435897436,0.2138741672259126,0.028558052441414142
