index_component_type,secucode,stock_code,stock_name,close_price,change_rate,trade_date,industry,region,weight,eps,roe,free_cap,pe,source
1,300308.SZ,300308,中际旭创,1179.99,-7.81328125,2026-06-05 00:00:00,通信设备,烟台市,5.31,5.18,17.54,13093.35,57.35,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,300750.SZ,300750,宁德时代,403.0,-1.273885350318,2026-06-05 00:00:00,电池,宁德市,4.03,4.58,5.98,17155.76,22.48,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,600519.SH,600519,贵州茅台,1272.86,0.383280757098,2026-06-05 00:00:00,白酒Ⅱ,遵义市,2.97,21.76,10.57,15911.79,14.6,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,300502.SZ,300502,新易盛,748.0,-3.600793875815,2026-06-05 00:00:00,通信设备,成都市,2.88,2.8,14.52,6701.24,66.98,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,601318.SH,601318,中国平安,53.48,0.469659966184,2026-06-05 00:00:00,保险Ⅱ,深圳市,2.12,1.43,2.5,5701.0,9.68,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,601899.SH,601899,紫金矿业,29.63,-2.340145023072,2026-06-05 00:00:00,工业金属,龙岩市,1.87,0.755,10.35,6104.31,9.81,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,600036.SH,600036,招商银行,38.58,1.259842519685,2026-06-05 00:00:00,银行Ⅱ,深圳市,1.76,1.49,3.37,7958.65,6.43,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,688256.SH,688256,寒武纪,1299.2,-4.393259253808,2026-06-05 00:00:00,半导体,北京市,1.59,2.4,8.2,8162.78,201.41,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,000333.SZ,000333,美的集团,81.69,-0.885707352584,2026-06-05 00:00:00,白色家电,佛山市,1.52,1.69,5.56,5605.6,12.27,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,002475.SZ,002475,立讯精密,68.77,-7.802654511329,2026-06-05 00:00:00,消费电子,深圳市,1.42,0.5,4.2,4999.08,34.23,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,603986.SH,603986,兆易创新,488.0,-7.804500198371,2026-06-05 00:00:00,半导体,北京市,1.32,2.19,6.12,3259.08,58.54,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,600900.SH,600900,长江电力,27.61,-0.396825396825,2026-06-05 00:00:00,电力,北京市,1.27,0.2763,3.01,6755.67,24.98,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,601138.SH,601138,工业富联,74.06,-5.716104392107,2026-06-05 00:00:00,消费电子,深圳市,1.17,0.53,6.18,14696.53,34.68,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,601166.SH,601166,兴业银行,18.6,1.694915254237,2026-06-05 00:00:00,银行Ⅱ,福州市,1.16,1.13,2.89,3936.29,4.13,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,002384.SZ,002384,东山精密,221.41,-6.892346509672,2026-06-05 00:00:00,元件,苏州市,1.14,0.61,5.05,3069.45,91.35,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,688008.SH,688008,澜起科技,239.39,-7.809912581353,2026-06-05 00:00:00,半导体,上海市,1.11,0.73,5.39,2744.43,86.32,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,002371.SZ,002371,北方华创,603.36,-3.77033492823,2026-06-05 00:00:00,半导体,北京市,1.01,2.2556,4.25,4369.85,66.88,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,688981.SH,688981,中芯国际,127.4,-5.545670225386,2026-06-05 00:00:00,半导体,境外,1.01,0.17,0.9,2547.44,187.5,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,688041.SH,688041,海光信息,274.06,-4.104412330732,2026-06-05 00:00:00,半导体,天津市,0.99,0.3,2.99,6370.08,231.78,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,002594.SZ,002594,比亚迪,93.01,-0.460188356164,2026-06-05 00:00:00,乘用车,深圳市,0.95,0.448,1.65,3242.9,51.9,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,600030.SH,600030,中信证券,25.67,0.312622118015,2026-06-05 00:00:00,证券Ⅱ,深圳市,0.93,0.67,3.46,3125.72,9.31,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,300059.SZ,300059,东方财富,18.52,-1.173959445037,2026-06-05 00:00:00,证券Ⅱ,上海市,0.89,0.2365,3.99,2473.03,19.6,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,603259.SH,603259,药明康德,96.56,-0.196382428941,2026-06-05 00:00:00,医疗服务,无锡市,0.89,1.59,5.68,2388.2,15.48,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,300274.SZ,300274,阳光电源,153.75,-6.449650136903,2026-06-05 00:00:00,光伏设备,合肥市,0.89,1.12,4.81,2440.82,34.78,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,601398.SH,601398,工商银行,7.34,1.521438450899,2026-06-05 00:00:00,银行Ⅱ,北京市,0.87,0.24,2.21,19789.54,7.52,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,000725.SZ,000725,京东方A,6.43,4.552845528455,2026-06-05 00:00:00,光学光电子,北京市,0.84,0.05,1.26,2336.77,34.88,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,300394.SZ,300394,天孚通信,457.0,-4.880840878343,2026-06-05 00:00:00,通信设备,苏州市,0.84,0.6331,8.57,3552.81,180.85,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
1,300476.SZ,300476,胜宏科技,338.9,-7.586169284468,2026-06-05 00:00:00,元件,惠州市,0.83,1.48,7.62,2932.15,64.63,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
