index_component_type,secucode,stock_code,stock_name,close_price,change_rate,trade_date,industry,region,weight,eps,roe,free_cap,pe,source
13,002918.SZ,002918,蒙娜丽莎,12.75,2.409638554217,2026-06-03 00:00:00,家居用品,佛山市,,-0.04,-0.55,27.31,-71.9,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
13,603967.SH,603967,中创物流,12.23,-1.767068273092,2026-06-03 00:00:00,物流,青岛市,,0.29,4.06,42.4,10.73,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
13,003036.SZ,003036,泰坦股份,68.05,0.368731563422,2026-06-03 00:00:00,专用设备,绍兴市,,0.09,1.38,147.18,179.4,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
13,603076.SH,603076,乐惠国际,24.6,-1.402805611222,2026-06-03 00:00:00,专用设备,宁波市,,0.07,0.64,29.69,90.46,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
13,920971.BJ,920971,天马新材,40.48,-6.92113129455,2026-06-03 00:00:00,非金属材料Ⅱ,郑州市,,0.05,1.12,34.69,201.39,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
13,920701.BJ,920701,豪声电子,13.51,-2.525252525253,2026-06-03 00:00:00,消费电子,嘉兴市,,0.02,0.33,13.54,168.66,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
13,603386.SH,603386,骏亚科技,17.04,-0.350877192982,2026-06-03 00:00:00,元件,惠州市,,-0.06,-1.55,55.61,-67.98,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
13,002903.SZ,002903,宇环数控,44.1,1.871101871102,2026-06-03 00:00:00,通用设备,长沙市,,-0.06,-1.1,47.04,-199.81,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
13,603607.SH,603607,京华激光,21.65,-0.779101741522,2026-06-03 00:00:00,包装印刷,绍兴市,,0.15,2.53,38.65,36.17,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
13,300962.SZ,300962,中金辐照,13.39,-1.253687315634,2026-06-03 00:00:00,专业服务,深圳市,,0.0895,2.27,35.35,37.4,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
13,300936.SZ,300936,中英科技,102.01,2.884518406455,2026-06-03 00:00:00,元件,常州市,,-0.0147,-0.11,48.37,-1734.93,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
