index_component_type,secucode,stock_code,stock_name,close_price,change_rate,trade_date,industry,region,weight,eps,roe,free_cap,pe,source
8,002625.SZ,002625,光启技术,37.5,-1.858152316148,2026-06-05 00:00:00,航空装备Ⅱ,深圳市,,0.08,1.81,807.97,114.67,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
8,000625.SZ,000625,长安汽车,8.0,0.0,2026-06-05 00:00:00,乘用车,重庆市,,0.04,0.45,661.37,56.56,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
8,300274.SZ,300274,阳光电源,153.75,-6.449650136903,2026-06-05 00:00:00,光伏设备,合肥市,,1.12,4.81,2440.82,34.78,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
8,002555.SZ,002555,三七互娱,19.5,2.631578947368,2026-06-05 00:00:00,游戏Ⅱ,芜湖市,,0.4,6.22,309.53,12.35,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
8,002001.SZ,002001,新和成,31.74,3.455019556714,2026-06-05 00:00:00,化学制品,绍兴市,,0.59,5.37,963.9,13.35,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
8,002648.SZ,002648,卫星化学,23.97,1.956614206721,2026-06-05 00:00:00,化学原料,嘉兴市,,0.63,6.14,806.95,9.54,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
8,000661.SZ,000661,长春高新,68.43,0.484581497797,2026-06-05 00:00:00,生物制品,长春市,,0.69,1.25,273.46,25.31,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
8,000425.SZ,000425,徐工机械,9.52,0.740740740741,2026-06-05 00:00:00,工程机械,徐州市,,0.175,3.34,856.85,13.55,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
8,300979.SZ,300979,华利集团,33.85,0.385527876631,2026-06-05 00:00:00,纺织制造,中山市,,0.33,2.35,395.03,25.72,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
8,300033.SZ,300033,同花顺,211.4,-4.430379746835,2026-06-05 00:00:00,软件开发,杭州市,,0.34,2.67,926.8,155.42,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
8,002180.SZ,002180,奔图科技,15.23,-2.18368657675,2026-06-05 00:00:00,计算机设备,珠海市,,0.0454,0.71,207.17,83.88,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
8,002230.SZ,002230,科大讯飞,46.03,0.414485165794,2026-06-05 00:00:00,软件开发,合肥市,,-0.07,-0.91,1007.73,-162.86,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
