index_component_type,secucode,stock_code,stock_name,close_price,change_rate,trade_date,industry,region,weight,eps,roe,free_cap,pe,source
7,002292.SZ,002292,奥飞娱乐,7.2,-2.964959568733,2026-06-03 00:00:00,文娱用品,汕头市,,0.04,1.85,73.29,48.64,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002073.SZ,002073,软控股份,5.71,0.175438596491,2026-06-03 00:00:00,专用设备,青岛市,,0.0297,0.48,57.9,48.13,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,300026.SZ,300026,红日药业,3.19,-1.846153846154,2026-06-03 00:00:00,中药Ⅱ,天津市,,0.02,0.77,95.74,36.46,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600877.SH,600877,电科芯片,13.98,0.720461095101,2026-06-03 00:00:00,半导体,重庆市,,-0.001,-0.05,165.53,-3424.3,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,000737.SZ,000737,北方铜业,14.9,-1.324503311258,2026-06-03 00:00:00,工业金属,运城市,,0.323,8.65,283.78,11.54,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002267.SZ,002267,陕天然气,7.6,0.263852242744,2026-06-03 00:00:00,燃气Ⅱ,西安市,,0.3338,5.45,84.52,5.69,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002091.SZ,002091,江苏国泰,8.66,-3.777777777778,2026-06-03 00:00:00,贸易Ⅱ,苏州市,,0.13,1.3,138.4,16.64,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002182.SZ,002182,宝武镁业,14.42,0.41782729805,2026-06-03 00:00:00,小金属,南京市,,0.0051,0.1,124.81,702.56,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002081.SZ,002081,金螳螂,6.65,-2.919708029197,2026-06-03 00:00:00,装修装饰Ⅱ,苏州市,,0.0664,1.27,175.84,25.06,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002531.SZ,002531,天顺风能,10.5,-0.473933649289,2026-06-03 00:00:00,风电设备,苏州市,,0.023,0.48,187.61,113.92,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002516.SZ,002516,旷达科技,5.93,-1.658374792703,2026-06-03 00:00:00,汽车零部件,株洲市,,0.04,1.44,86.43,39.86,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,300244.SZ,300244,迪安诊断,17.17,-2.829654782117,2026-06-03 00:00:00,医疗服务,杭州市,,0.1053,0.99,86.1,41.67,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002649.SZ,002649,博彦科技,9.55,-4.595404595405,2026-06-03 00:00:00,IT服务Ⅱ,北京市,,0.02,0.28,51.22,121.47,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,300348.SZ,300348,长亮科技,10.12,-1.171875,2026-06-03 00:00:00,软件开发,深圳市,,-0.0472,-1.8,72.16,-53.65,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,300755.SZ,300755,华致酒行,15.63,-0.445859872611,2026-06-03 00:00:00,专业连锁Ⅱ,迪庆藏族自治州,,0.13,1.91,65.11,30.71,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,300363.SZ,300363,博腾股份,14.17,0.283085633404,2026-06-03 00:00:00,医疗服务,重庆市,,0.05,0.52,70.69,69.09,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,300378.SZ,300378,鼎捷数智,37.97,-2.063451122002,2026-06-03 00:00:00,软件开发,上海市,,-0.03,-0.34,102.33,-320.81,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,300035.SZ,300035,中科电气,16.76,1.330108827086,2026-06-03 00:00:00,电池,岳阳市,,0.0943,1.29,97.77,44.43,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002488.SZ,002488,金固股份,10.32,1.875616979269,2026-06-03 00:00:00,汽车零部件,杭州市,,0.0233,0.66,94.95,110.67,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
