index_component_type,secucode,stock_code,stock_name,close_price,change_rate,trade_date,industry,region,weight,eps,roe,free_cap,pe,source
3,600487.SH,600487,亨通光电,96.12,-1.788086236845,2026-06-05 00:00:00,通信设备,苏州市,1.83,0.4563,3.44,2350.31,53.62,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
3,688525.SH,688525,佰维存储,311.0,-8.880489877238,2026-06-05 00:00:00,半导体,深圳市,1.06,6.21,41.98,1466.57,12.65,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
3,002008.SZ,002008,大族激光,127.87,-5.035276643149,2026-06-05 00:00:00,自动化设备,深圳市,1.05,0.34,1.87,1223.37,92.96,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
3,002281.SZ,002281,光迅科技,227.58,3.182807399347,2026-06-05 00:00:00,通信设备,武汉市,1.01,0.3,2.35,1775.03,191.29,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
3,688347.SH,688347,华虹公司,227.0,-6.967213114754,2026-06-05 00:00:00,半导体,香港特别行政区,0.94,0.08,0.31,925.59,706.59,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
3,300604.SZ,300604,长川科技,206.73,-7.441235728677,2026-06-05 00:00:00,半导体,杭州市,0.94,0.5571,7.17,1011.88,93.01,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
3,002353.SZ,002353,杰瑞股份,151.38,-3.787975085801,2026-06-05 00:00:00,专用设备,烟台市,0.92,0.58,2.52,1046.09,65.87,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
3,301308.SZ,301308,江波龙,520.01,-8.5262454264,2026-06-05 00:00:00,半导体,深圳市,0.9,9.21,39.4,1465.66,14.24,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
3,300136.SZ,300136,信维通信,106.33,8.5,2026-06-05 00:00:00,消费电子,深圳市,0.9,0.1101,1.31,877.44,245.22,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
3,002156.SZ,002156,通富微电,66.84,-5.991561181435,2026-06-05 00:00:00,半导体,南通市,0.82,0.2168,2.1,1014.27,77.07,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
