stock_code,date,open,close,high,low,volume,amount,amplitude,pct_chg,price_change,turnover_rate
603950,2025-09-08,28.87,30.99,30.99,28.27,129440.0,401134559.99999994,,,,
603950,2025-09-09,31.63,34.1,34.1,31.63,133229.0,454310890.00000006,7.970313004194909,10.035495321071323,3.110000000000003,
603950,2025-09-10,32.54,34.52,35.65,32.54,175384.0,605425568.0000001,9.12023460410557,1.2316715542522043,0.4200000000000017,
603950,2025-09-11,34.24,33.91,34.82,33.37,96529.0,327329838.99999994,4.200463499420634,-1.7670915411355923,-0.6100000000000065,
603950,2025-09-12,33.92,34.48,35.07,33.67,76523.0,263851303.99999997,4.128575641403712,1.6809200825715138,0.5700000000000003,
603950,2025-09-15,34.51,33.59,34.51,32.87,80433.0,270174447.0,4.756380510440837,-2.581206496519703,-0.8899999999999935,
603950,2025-09-16,33.42,36.96,36.96,33.2,81645.0,301759920.0,11.193807680857391,10.032747841619521,3.3699999999999974,
603950,2025-09-17,37.27,37.18,38.3,35.91,159691.0,593731138.0,6.466450216450218,0.5952380952380921,0.21999999999999886,
603950,2025-09-18,37.37,36.3,38.27,35.58,124946.0,453553980.0,7.235072619688017,-2.3668639053254505,-0.8800000000000026,
603950,2025-09-19,36.57,35.36,36.57,35.17,67093.0,237240848.0,3.8567493112947626,-2.589531680440765,-0.9399999999999977,
603950,2025-09-22,35.37,36.27,36.37,34.91,63409.0,229984443.00000003,4.128959276018103,2.5735294117647167,0.9100000000000037,
603950,2025-09-23,36.0,36.69,37.11,34.87,71705.0,263085644.99999997,6.1759029500965035,1.1579818031430786,0.4199999999999946,
603950,2025-09-24,36.15,38.37,39.23,35.7,106343.0,408038090.99999994,9.621150177159974,4.578904333605887,1.6799999999999997,
603950,2025-09-25,38.37,36.51,38.93,35.99,95600.0,349035600.0,7.662236121970284,-4.847537138389366,-1.8599999999999994,
603950,2025-09-26,36.47,35.57,36.97,35.17,65519.0,233051083.0,4.93015612161051,-2.5746370857299308,-0.9399999999999977,
603950,2025-09-29,34.78,36.59,37.46,34.78,46987.0,171925433.0,7.53443913410177,2.8675850435760557,1.0200000000000031,
603950,2025-09-30,36.62,36.73,37.05,35.91,47499.0,174463826.99999997,3.1156053566548247,0.3826182016944341,0.13999999999999346,
603950,2025-10-09,36.99,35.88,37.26,35.65,62985.0,225990180.00000003,4.383337870950175,-2.3141845902531837,-0.8499999999999943,
603950,2025-10-10,35.97,36.56,37.98,35.81,79894.0,292092464.0,6.047937569676685,1.8952062430323289,0.6799999999999997,
603950,2025-10-13,34.37,37.87,37.95,34.13,88822.0,336368913.99999994,10.448577680525165,3.5831509846827,1.3099999999999952,
603950,2025-10-14,38.37,37.63,40.06,36.95,80165.0,301660895.0,8.212305254819118,-0.6337470293107866,-0.23999999999999488,
603950,2025-10-15,36.99,37.67,38.39,36.03,62301.0,234687867.0,6.271591815041189,0.10629816635662806,0.03999999999999915,
603950,2025-10-16,37.38,36.9,38.27,36.77,43439.0,160289910.0,3.9819485001327317,-2.0440668967348103,-0.7700000000000031,
603950,2025-10-17,37.07,34.95,37.07,34.45,61998.0,216683010.0,7.100271002710021,-5.284552845528443,-1.9499999999999957,
603950,2025-10-20,35.57,35.95,36.76,34.87,62833.0,225884635.0,5.407725321888413,2.8612303290414873,1.0,
603950,2025-10-21,38.85,37.39,38.85,34.76,153973.0,575705047.0,11.376912378303206,4.005563282336571,1.4399999999999977,
603950,2025-10-22,36.87,35.15,36.99,34.87,85038.0,298908570.0,5.669965231345291,-5.99090665953464,-2.240000000000002,
603950,2025-10-23,34.87,33.87,35.33,33.07,66660.0,225777419.99999997,6.4295874822190555,-3.6415362731152237,-1.2800000000000011,
603950,2025-10-24,34.29,34.74,34.99,33.77,43596.0,151452504.0,3.6020076764097992,2.5686448184233974,0.8700000000000045,
603950,2025-10-27,34.87,34.7,35.67,34.3,53228.0,184701160.0,3.943580886586081,-0.11514104778353237,-0.03999999999999915,
603950,2025-10-28,34.9,34.7,35.6,34.69,38839.0,134771330.0,2.6224783861671574,0.0,0.0,
603950,2025-10-29,34.47,34.35,34.75,33.4,67682.0,232487670.00000003,3.8904899135446724,-1.0086455331412143,-0.3500000000000014,
603950,2025-10-30,34.31,32.88,34.31,32.82,59262.0,194853456.0,4.3377001455604125,-4.279475982532747,-1.4699999999999989,
603950,2025-10-31,32.83,32.94,33.67,32.59,49544.0,163197936.0,3.2846715328467098,0.1824817518248028,0.05999999999999517,
603950,2025-11-03,32.96,32.33,33.39,31.98,51452.0,166344316.0,4.280510018214937,-1.8518518518518503,-0.6099999999999994,
