data_name,num_features,seq_length,accuracy,ic,rmse
原始数据（38特征）,31,20,0.6205128205128205,0.14809201951745277,0.02878123819284567
优化归一化（33特征）,26,20,0.6141025641025641,0.13769516578516847,0.029075150950468195
"优化归一化（33特征, seq=25）",26,25,0.5512820512820513,0.02491848461134526,0.029313938506596533
