model,type,accuracy,ic
Model 1 (seed=42),single,0.5743589743589743,0.10501327345788751
Model 2 (seed=123),single,0.632051282051282,0.1667110176302864
Model 3 (seed=456),single,0.6371794871794871,0.14023936641742907
Ensemble (Equal Weight),ensemble,0.6064102564102564,0.08055565391515157
Ensemble (IC Weighted),ensemble,0.6128205128205129,0.0803797345365986
Ensemble (Accuracy Weighted),ensemble,0.6102564102564103,0.08412350874204595
