date,open,high,low,close,volume,amount
2024-01-02 15:00:00,16.16,16.166,16.192,16.187,130150992100,1321948358000.0
2024-01-03 15:00:00,16.194,16.221,16.223,16.194,129755388300,1318297088000.0
2024-01-04 15:00:00,16.195,16.199,16.269,16.24,130043174200,1320306760000.0
2024-01-05 15:00:00,16.248,16.273,16.33,16.31,129615694500,1317209114000.0
2024-01-08 15:00:00,16.325,16.328,16.438,16.436,130097910800,1320709044000.0
2024-01-09 15:00:00,16.438,16.495,16.452,16.448,129733699000,1317760681000.0
2024-01-10 15:00:00,16.466,16.525,16.51,16.471,129656041300,1317229993000.0
2024-01-11 15:00:00,16.48,16.575,16.485,16.552,130026847200,1319766586000.0
2024-01-12 15:00:00,16.569,16.632,16.575,16.572,129831772300,1318508120000.0
2024-01-15 15:00:00,16.589,16.647,16.61,16.593,129331586600,1313271282000.0
2024-01-16 15:00:00,16.606,16.637,16.662,16.614,129839709800,1318435570000.0
2024-01-17 15:00:00,16.634,16.642,16.75,16.747,129584240400,1316366971000.0
2024-01-18 15:00:00,16.752,16.769,16.886,16.762,130672309300,1326434598000.0
2024-01-19 15:00:00,16.789,16.832,16.813,16.802,130183381200,1321428853000.0
2024-01-22 15:00:00,16.82,16.827,17.088,17.038,130355042900,1323141709000.0
2024-01-23 15:00:00,17.064,17.191,17.107,17.168,130218907900,1321309050000.0
2024-01-24 15:00:00,17.171,17.246,17.283,17.238,130261637200,1321940319000.0
2024-01-25 15:00:00,17.238,17.389,17.28,17.386,130261344500,1322337631000.0
2024-01-26 15:00:00,17.407,17.43,17.461,17.443,130095427700,1320324979000.0
2024-01-29 15:00:00,17.449,17.469,17.552,17.551,129574478800,1315763434000.0
2024-01-30 15:00:00,17.571,17.605,17.676,17.653,129524287200,1314875461000.0
2024-01-31 15:00:00,17.664,17.682,17.788,17.781,130269089300,1321708899000.0
2024-02-01 15:00:00,17.808,17.908,17.855,17.817,130272696000,1321631693000.0
2024-02-02 15:00:00,17.818,17.865,18.078,17.945,130386132900,1322687062000.0
2024-02-05 15:00:00,17.962,18.022,18.231,18.047,133073420500,1349493180000.0
