model,train_accuracy,train_ic,train_rmse,test_accuracy,test_ic,test_rmse
attention_lstm,0.5417199196640496,0.03614853876632576,0.03858748545346675,0.6512820512820513,0.2337816856659272,0.028214673081752954
multihead_attention,0.5283914551761913,0.015199311410571554,0.03522788406911097,0.55,-0.007350457254116145,0.0296819846608007
self_attention,0.5334124520723024,0.013381291462456294,0.03465714817057377,0.6012820512820513,0.14439360861837844,0.02847309100460003
hierarchical_attention,0.5379769947051305,0.06711208180955398,0.03680580657098191,0.5807692307692308,0.058060984548095385,0.028837964901106735
