l2,train_accuracy,test_accuracy,train_rmse,test_rmse
0.01,0.5542960059328319,0.5199152542372881,0.034343345626225014,
0.03,0.5545078927852527,0.5199152542372881,0.03434334580272195,
0.1,0.5545078927852527,0.5194915254237288,0.034343347779710647,
0.3,0.5542960059328319,0.5190677966101694,0.034343364402657665,
1.0,0.553554401949359,0.5186440677966102,0.034343527835081704,
3.0,0.5536603453755694,0.5199152542372881,0.034344507141051216,
10.0,0.5527068545396758,0.5182203389830509,0.034348699896291544,
30.0,0.5533425150969382,0.5203389830508475,0.034355394748530034,
100.0,0.5527068545396758,0.5211864406779662,0.03436334819904042,
300.0,0.5500582688844157,0.5254237288135594,0.03437941142519467,
1000.0,0.5466680792456828,0.5351694915254237,0.03443519267244854,
3000.0,0.5458205318359995,0.5423728813559322,0.03454615563426833,
10000.0,0.550905816294099,0.5533898305084746,0.0347361662294349,
