code,name,family_id,start_date,end_date,rows,history_years,full_period_return,price_max_drawdown,latest_close
159919,沪深300ETF嘉实,CSI_300,2012-05-28,2026-06-03,2410,14.015058179329227,1.7092718700890517,-0.49836065573770494,5.172
510300,沪深300ETF华泰柏瑞,CSI_300,2012-05-28,2026-06-02,2410,14.012320328542094,1.863109048723898,-0.5297225891677675,4.936
510510,中证500ETF广发,CSI_500,2013-05-24,2026-06-03,3165,13.026694045174539,1.511737089201878,-0.6485652576365319,2.675
510500,中证500ETF南方,CSI_500,2014-05-21,2026-06-02,2260,12.032854209445585,1.7825223435948363,-0.6479197994987469,8.406
159922,中证500ETF嘉实,CSI_500,2014-05-23,2026-06-03,2261,12.030116358658454,1.8429054054054057,-0.654025974025974,3.366
510310,沪深300ETF易方达,CSI_300,2014-05-23,2026-06-03,2261,12.030116358658454,2.3174603174603177,-0.48627935723114957,4.807
510330,沪深300ETF华夏,CSI_300,2014-05-23,2026-06-03,2261,12.030116358658454,2.7696793002915445,-0.5243138102442186,5.172
512500,中证500ETF华夏,CSI_500,2015-05-29,2026-06-03,2012,11.014373716632443,-0.0362214447417164,-0.6391194514615662,4.683
510580,中证500ETF易方达,CSI_500,2015-09-14,2026-06-03,1909,10.718685831622176,0.8386277001270648,-0.47492163009404387,4.341
512100,中证1000ETF南方,CSI_1000,2016-11-04,2026-06-03,1662,9.57700205338809,0.27501881113619264,-0.5241404535479152,3.389
510350,沪深300ETF工银,CSI_300,2019-08-16,2026-06-03,1316,6.798083504449007,0.5428316478286734,-0.3666462293071735,5.187
515810,中证800ETF易方达,CSI_800,2019-10-25,2026-06-03,1601,6.606433949349761,0.9094781682641109,-0.3669432035737077,1.793
515800,中证800ETF汇添富,CSI_800,2019-12-16,2026-06-03,1236,6.464065708418891,0.5777262180974478,-0.3319362950544845,1.36
159845,中证1000ETF华夏,CSI_1000,2022-05-18,2026-06-03,981,4.043805612594114,0.4194863432531595,-0.4103085791793828,3.482
159629,中证1000ETF富国,CSI_1000,2022-08-03,2026-06-03,927,3.8329911019849416,0.25968851865266207,-0.4124062713019768,3.478
159633,中证1000ETF易方达,CSI_1000,2022-08-04,2026-06-03,926,3.8302532511978096,0.29083665338645415,-0.4174923129484114,3.564
560010,中证1000ETF广发,CSI_1000,2022-08-04,2026-06-03,925,3.8302532511978096,0.2504498020870818,-0.4148248894933695,3.475
159531,中证2000ETF南方,CSI_2000,2023-09-18,2026-06-03,652,2.707734428473648,0.5467336683417086,-0.3654205607476635,1.539
159532,中证2000ETF易方达,CSI_2000,2023-09-21,2026-06-03,649,2.6995208761122518,0.8087934560327197,-0.34533702677747,1.769
159536,中证2000ETF汇添富,CSI_2000,2023-09-21,2026-06-03,649,2.6995208761122518,0.5501022494887526,-0.3601851851851853,1.516
159535,中证2000ETF嘉实,CSI_2000,2023-09-22,2026-06-03,648,2.6967830253251197,0.5405405405405406,-0.3299161230195713,1.539
159593,中证A50ETF平安,CSI_A50,2024-03-12,2026-06-03,539,2.2258726899383983,0.4047151277013752,-0.16810683424980355,1.43
159591,A50ETF富国,CSI_A50,2024-03-18,2026-06-03,535,2.209445585215606,0.4307078763708876,-0.16693037974683556,1.435
159592,A50ETF银华,CSI_A50,2024-03-18,2026-06-03,535,2.209445585215606,0.41023069207622864,-0.1701444622792937,1.406
159533,中证2000ETF博时,CSI_2000,2024-06-07,2026-06-03,479,1.9876796714579055,1.173017507723996,-0.20126227208976155,2.11
159800,中证800ETF鹏华,CSI_800,2024-07-12,2026-06-03,457,1.891854893908282,0.49603174603174605,-0.16015936254980068,1.508
159338,中证A500ETF国泰,CSI_A500,2024-10-15,2026-06-03,397,1.6317590691307324,0.40021459227467804,-0.14833005893909623,1.305
159353,中证A500ETF景顺,CSI_A500,2024-10-15,2026-06-03,397,1.6317590691307324,0.4103923647932133,-0.1428571428571428,1.33
560510,中证A500ETF泰康,CSI_A500,2024-10-15,2026-06-03,397,1.6317590691307324,0.41463414634146334,-0.1479229989868288,1.276
560530,中证A500ETF摩根,CSI_A500,2024-10-15,2026-06-03,397,1.6317590691307324,0.40534759358288763,-0.1533203125,1.314
159358,中证A500ETF大成,CSI_A500,2024-11-29,2026-06-03,364,1.5085557837097878,0.3716814159292037,-0.13060057197330788,1.395
159390,中证A50ETF国联,CSI_A50,2025-04-09,2026-06-03,279,1.1498973305954825,0.35251046025104604,-0.07735247208931417,1.293
159136,A50ETF广发,CSI_A50,2025-12-25,2026-06-03,103,0.4380561259411362,0.055335968379446765,-0.0778097982708933,1.068
