Date,Actual_Return,Target_Position,Executed_Position,B&H_Cum,Global_Macro_Strategy_Cum
2025-11-17,-0.0065388059927893,0.9821421485166151,0.0,-0.006538805992789332,0.0
2025-11-18,-0.0057324057449322,1.0,0.9821421485166151,-0.01223372864868344,-0.005630037294496737
2025-11-19,0.0029894413674709,1.0,1.0,-0.009280859295713317,-0.0026574265934143915
2025-11-20,-0.0044709010222191,0.5506511443269525,1.0,-0.01371026651462015,-0.007116446524360609
2025-11-21,-0.0239520663633413,1.0,0.5506511443269525,-0.037333943664544234,-0.020211818806752935
2025-11-24,-0.0015336935033373,1.0,1.0,-0.038810378341029295,-0.021714513574895733
2025-11-25,0.0087776394674927,0.20872747821743204,1.0,-0.03037340238221109,-0.013127476278775418
2025-11-26,0.0063084741480585,0.09610494460093102,0.20872747821743204,-0.024256538057869315,-0.011828010007787881
2025-11-27,-0.0008646503829112,0.09610494460093102,0.09610494460093102,-0.025100215015860683,-0.011910124310693826
2025-11-28,0.0028126514593176,0.09610494460093102,0.09610494460093102,-0.022358161712936586,-0.011643034020294762
2025-12-01,0.0112188394596632,1.0,0.09610494460093102,-0.011390154880143943,-0.010577401431172029
2025-12-02,-0.0044804401258718,0.9679307987155452,1.0,-0.015819562099050888,-0.015010450143244092
2025-12-03,-0.0045006048162814,0.06038000559117186,0.9679307987155452,-0.020248969317957832,-0.019301334523865066
2025-12-04,0.0025834461859808,0.0684524001632092,0.06038000559117186,-0.017717835254531522,-0.01914835681483784
2025-12-05,0.0088038809098778,0.17298146122313565,0.0684524001632092,-0.00906994005621542,-0.018557249731363967
2025-12-08,0.0072371005903666,0.5619686191088292,0.17298146122313565,-0.0018984795343841565,-0.01732859702460987
2025-12-09,-0.005071793633817,0.0,0.5619686191088292,-0.006960644471784794,-0.02012939611512876
2025-12-10,-0.0012743859847468,1.0,0.0,-0.008226159908771957,-0.02012939611512876
2025-12-11,-0.0072309434186844,0.17298146122313565,1.0,-0.015397620430602887,-0.02721478500945229
2025-12-12,0.005569764536619,1.0,0.17298146122313565,-0.009913617014206566,-0.02627753952151657
2025-12-15,-0.0057520494607467,0.0,1.0,-0.015608642859552657,-0.03187843927522882
2025-12-16,-0.0100707038444068,1.0,0.0,-0.025522156684307795,-0.03187843927522882
2025-12-17,0.0170995533473534,1.0,1.0,-0.008859020816717189,-0.015323993000892489
2025-12-18,-0.0065970429547506,0.683399167315515,1.0,-0.015397620430602887,-0.021819942915577872
2025-12-19,0.0042844584442849,1.0,0.683399167315515,-0.01117913245119373,-0.018955836273383708
2025-12-22,0.0089589679268948,0.44769999653563886,1.0,-0.0023203180133796186,-0.010166693075689515
2025-12-23,0.002114201203567,0.3352324431018661,0.44769999653563886,-0.0002110224289491036,-0.009229788262534178
2025-12-24,0.0035864870901327,0.3352324431018661,0.3352324431018661,0.0033747078319665835,-0.008038578470617397
2025-12-25,0.0018918885842582,0.06038000559117186,0.3352324431018661,0.00527298098744744,-0.007409454285228878
2025-12-26,0.0037768374975479,0.7748754767540347,0.06038000559117186,0.009069733677312675,-0.007183098508489083
2025-12-29,-0.0043895947634512,0.7748754767540347,0.7748754767540347,0.004640326458405619,-0.010560055328915685
2025-12-30,0.0020994502603872,0.18057183338144991,0.7748754767540347,0.006749518853384373,-0.008950422037712902
2025-12-31,-0.0041902061043085,1.0,0.18057183338144991,0.002531030873975215,-0.009700283049759784
