Date,Price,Daily_Return,F_Tech,F_Sent,Composite_Score,Signal,Signal_Delayed,B&H_Cum,Strategy_Cum
2024-11-08,3.997653007507324,-0.012711927779245236,-0.003307616524916811,1.3130400123659882,-0.5272005748613454,0,0.0,-0.012711927779245236,0.0
2024-11-11,4.017670154571533,0.005007224745774197,0.2286814041570423,0.9616304970918508,-0.24744335634251496,0,0.0,-0.007768354512813769,0.0
2024-11-12,3.973823547363281,-0.0109134412535985,-0.16594246189948803,0.869754364340884,-0.44746722287604646,0,0.0,-0.018597016285799572,0.0
2024-11-13,3.9986066818237305,0.006236596609050293,-0.001451316589452434,0.784826258792784,-0.31480129347078506,0,0.0,-0.012476401765455725,0.0
2024-11-14,3.930930376052856,-0.01692497191046749,-0.7030068458524077,0.704871735210116,-0.703752801595491,0,0.0,-0.029190210926499205,0.0
2024-11-15,3.8651604652404794,-0.016731385326243742,-1.2624753924973318,0.6281841964069017,-1.0087589140611597,0,0.0,-0.045433203585977355,0.0
2024-11-18,3.84895658493042,-0.0041922917446201025,-1.3256163194123032,0.2708423466516125,-0.9037067303080268,0,0.0,-0.04943502608627237,0.0
2024-11-19,3.8680202960968018,0.004952955624654365,-1.0490121725159292,0.18336014233155126,-0.7027513604421779,0,0.0,-0.044726919952126964,0.0
2024-11-20,3.877551794052124,0.002464179922980314,-0.8698039090913375,0.07729710710819397,-0.5528011882980801,0,0.0,-0.04237295520730944,0.0
2024-11-21,3.882317781448364,0.0012291228201131155,-0.7663389578922682,-0.07377257878109428,-0.4302943432229232,0,0.0,-0.04119591395339728,0.0
2024-11-22,3.767935991287232,-0.02946224307234835,-1.7786107259949926,-0.43588989435406794,-0.8928104778553683,0,0.0,-0.06944443299526304,0.0
2024-11-25,3.7469658851623535,-0.00556540933109495,-1.6886213726066603,-1.3076696830622039,-0.4901049503391145,0,0.0,-0.07462335563097355,0.0
2024-11-26,3.739340305328369,-0.002035134577600739,-1.5282598624436505,-1.3076696830622039,-0.39388804424130874,0,0.0,-0.0765066216372331,0.0
2024-11-27,3.800344228744507,0.016314087094242424,-0.9229740832102596,-1.3076696830622039,-0.030716576701274145,0,0.0,-0.06144067023166677,0.0
2024-11-28,3.7727017402648926,-0.007273680176268171,-1.1207610105138153,-1.3076696830622039,-0.1493887330834076,0,0.0,-0.06826745062285422,0.0
2024-11-29,3.8136887550354,0.010864101535794646,-0.7454549515425842,-1.3076696830622039,0.07579490229933106,1,0.0,-0.05814501360221613,0.0
2024-12-02,3.842284440994263,0.007498169828648704,-0.4616448954814276,-1.887904763795867,0.4781749682294903,1,1.0,-0.051082824960245965,0.007498169828648704
2024-12-03,3.846096992492676,0.00099226164979771,-0.32244634074732226,-1.6768258605004156,0.47726253975177296,1,1.0,-0.050141250838619644,0.008497871624810971
2024-12-04,3.826080083847046,-0.00520447318013606,-0.4054412325689474,-1.517128159500377,0.36358652425878246,1,1.0,-0.05508476522354766,0.0032491714997153753
2024-12-05,3.8194079399108887,-0.001743858933932363,-0.2737437013631461,-1.3954078688925982,0.3939169267391517,1,1.0,-0.056732564097521365,0.0014996464690353317
2024-12-06,3.8670670986175537,0.01247815354014703,0.4310053565166837,-1.3076696830622043,0.781671087134892,1,1.0,-0.04496232820290946,0.01399651282807901
2024-12-09,3.8642075061798096,-0.0007394731885480565,0.6790388990258149,-0.3651483716701118,0.5534826880835337,1,1.0,-0.045668552955256736,0.013246689593561456
2024-12-10,3.893756151199341,0.007646754210863582,1.2923477520663198,-0.2909526857524002,0.891789725540752,1,1.0,-0.03837101494400785,0.02099473798385465
2024-12-11,3.884224176406861,-0.0024480153410593175,1.4658506417114592,-0.21020477280886896,0.9635922941504231,1,1.0,-0.04072509745183217,0.01849532720212932
2024-12-12,3.924258232116699,0.010306834490400707,1.9884788489105738,-0.11733761520513777,1.2400223554283993,1,1.0,-0.03083800980047291,0.028992789968848243
2024-12-13,3.831799268722534,-0.023560876457483726,0.49976606648328126,0.0,0.2998596398899687,1,1.0,-0.053672315718853,0.004748817968750707
2024-12-16,3.8089230060577393,-0.005970109878021268,0.15025126218633772,-1.2531592729040155,0.5914144664734089,1,1.0,-0.05932199597462484,-0.001249642874334711
2024-12-17,3.8194079399108887,0.0027527292718898533,0.34782024371183135,-1.1496691395505028,0.6685598020472999,1,1.0,-0.056732564097521254,0.0014996464690355538
2024-12-18,3.8356122970581055,0.004242635875023826,0.6198385506129626,-1.06553547742839,0.7981173213391335,1,1.0,-0.05273062383421967,0.005748644797968661
2024-12-19,3.841331243515015,0.001491012650391088,0.7139062488324344,-1.0029368638858507,0.8295184948538009,1,1.0,-0.05131823321102846,0.007248228750476038
2024-12-20,3.829893112182617,-0.0029776477495160325,0.4112972405111045,-0.9746794344809027,0.6366501180990238,1,1.0,-0.05414307333891455,0.004248998328933107
2024-12-23,3.833705425262451,0.0009954097851210264,0.3210402448254196,-2.3401860157336514,1.1286985531887124,1,1.0,-0.05320155809879157,0.005248637608567641
2024-12-24,3.878504991531372,0.011685709072405848,0.979633802897597,-1.9788516009384347,1.3793209221139322,1,1.0,-0.04213754695652694,0.016995680733093765
2024-12-25,3.8813648223876953,0.0007373539192465639,0.8697432353835943,-1.7245037093257507,1.211647424960457,1,1.0,-0.041431263322676215,0.017745566484139053
2024-12-26,3.882317781448364,0.0002455216410401917,0.7214553235489514,-1.5316391113271242,1.0455288386602206,1,1.0,-0.04119591395339739,0.017995445045783542
2024-12-27,3.876598834991455,-0.0014730753067759839,0.41418492197826623,-1.3784048752090232,0.799872903270569,1,1.0,-0.042608304576588596,0.016495861093276165
2024-12-30,3.894709348678589,0.004671753374030363,0.7738413392331742,1.2513919190884288,-0.036251964095467104,0,1.0,-0.03813560669322558,0.02124467906202665
2024-12-31,3.833705425262451,-0.015663280094786902,-1.04884258471027,1.1420320871742602,-1.086118385695866,0,0.0,-0.0532015580987919,0.02124467906202665
2025-01-02,3.725995779037476,-0.028095441427297807,-3.071315237481252,1.045860746560086,-2.2611334411127855,0,0.0,-0.07980227826668407,0.02124467906202665
2025-01-03,3.687868595123291,-0.010232750162705306,-2.8389884297721166,0.9597979585371721,-2.0873122412781386,0,0.0,-0.08921843165347176,0.02124467906202665
2025-01-06,3.672617673873901,-0.0041354296814039015,-2.3329168636844195,-0.23994948963429327,-1.3037703223569344,0,0.0,-0.09298490478448762,0.02124467906202665
2025-01-07,3.69835376739502,0.007007561310887089,-1.5988503040819169,-0.18456366115766276,-0.885484717986085,0,0.0,-0.08662894089486484,0.02124467906202665
2025-01-08,3.6926345825195312,-0.0015464136843558185,-1.3752338692606847,-0.12689245413047284,-0.7743833399042217,0,0.0,-0.0880413903995596,0.02124467906202665
2025-01-09,3.685008764266968,-0.0020651429439194624,-1.2120909562892703,-0.06586273258360127,-0.7009094807401217,0,0.0,-0.0899247152873226,0.02124467906202665
2025-01-10,3.644021987915039,-0.011122572285138799,-1.4366155255613557,0.0,-0.8619693153368134,0,0.0,-0.10004709342645768,0.02124467906202665
2025-01-13,3.6297242641448975,-0.0039236107294517986,-1.336828326029208,1.3784048752090232,-1.3534589457011341,0,0.0,-0.10357815830669093,0.02124467906202665
2025-01-14,3.723136186599731,0.0257352668293771,-0.05538347115901078,1.2513919190884288,-0.5337868503307781,0,0.0,-0.08050850301903201,0.02124467906202665
2025-01-15,3.7012128829956055,-0.005888396906627125,-0.22730868262311937,1.1420320871742602,-0.5931980444435757,0,0.0,-0.08592283390552469,0.02124467906202665
2025-01-16,3.7031195163726807,0.0005151374528697961,-0.07343257820307199,1.045860746560086,-0.46240384554587766,0,0.0,-0.08545195852245635,0.02124467906202665
2025-01-17,3.715510845184326,0.0033461865750914477,0.2181581990446125,0.9597979585371721,-0.25302426398810135,0,0.0,-0.08239171014378799,0.02124467906202665
2025-01-20,3.73362135887146,0.004874299777810398,0.5507428339939998,1.3909162472217425,-0.22592079849229718,0,0.0,-0.07791901226042486,0.02124467906202665
