date,Benchmark,strategy_return_raw,Strategy,gross_strategy_return,fee,turnover,selected_count,selected_codes,avg_selected_prob,strategy_config,strategy_cumulative,benchmark_cumulative,excess_cumulative
2024-11-01,0.0014532457813707562,0.0,0.0,0.0,0.0,0.0,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,0.0,0.0014532457813707378,-0.0014532457813707378
2024-11-04,0.01233431513682485,0.0,0.0,0.0,0.0,0.0,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,0.0,0.013805485709634358,-0.013805485709634358
2024-11-05,0.025303775625644342,0.015780190631003443,0.0,0.016380190631003443,0.0006,0.6,1,159351,0.6158445337037634,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,0.0,0.03945859224807813,-0.03945859224807813
2024-11-06,-0.005083897059191341,-0.002720349797254049,0.015780190631003443,-0.002480349797254049,0.00024,0.24,1,159351,0.5818307684882116,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,0.015780190631003332,0.034174091767797066,-0.018393901136793733
2024-11-07,0.03111538629867916,0.04262188432830986,-0.002720349797254049,0.043263884328309854,0.000642,0.642,1,510050,0.8240490971922456,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,0.013016913195365687,0.06635281813323757,-0.05333590493787188
2024-11-08,-0.010450150538204084,-0.019195372846234172,0.04262188432830986,-0.018915472846234172,0.00027990000000000003,0.27990000000000004,1,510050,0.7622040592388335,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,0.0561936028922001,0.05520927065690717,0.0009843322352929285
2024-11-11,0.004359884117325297,0.004674257780446532,-0.019195372846234172,0.005354162780446532,0.0006799050000000001,0.6799050000000001,1,159919,0.7515311208538745,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,0.03591957288687686,0.05980986079649875,-0.023890287909621888
2024-11-12,-0.011513365619754598,-0.027748243574278846,0.004674257780446532,-0.027561033824278845,0.00018720975000000018,0.18720975000000017,1,510050,0.7069820079157536,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,0.040761728010360265,0.04760788238172742,-0.0068461543713671524
2024-11-13,0.004917288010564939,0.013424706179411236,-0.027748243574278846,0.014133375441911235,0.0007086692624999999,0.7086692625,1,510300,0.7097198522228255,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,0.011882418078741352,0.05275927206153641,-0.04087685398279506
2024-11-14,-0.01640528881674358,-0.03724092828693114,0.013424706179411236,-0.03710769248755614,0.0001332357993750002,0.13323579937500019,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,0.025466642229560632,0.03548845214886209,-0.010021809919301461
2024-11-15,-0.016826280534129323,-0.039397710496974346,-0.03724092828693114,-0.039271136487568095,0.00012657400940624996,0.12657400940624997,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.012722687454350567,0.018065032963153982,-0.03078772041750455
2024-11-18,-0.0040384360462620466,-0.004646470006073027,-0.039397710496974346,-0.00452622469713709,0.00012024530893593772,0.12024530893593771,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.05161915319425492,0.013953642436596692,-0.06557279563085161
2024-11-19,0.004524754845673995,0.005885257649619055,-0.004646470006073027,0.0059994906931081955,0.0001142330434891406,0.1142330434891406,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.05602577635327188,0.018541534093500456,-0.07456731044677234
2024-11-20,0.0029642105941762122,0.005323628305762742,0.005885257649619055,0.005432149697077425,0.00010852139131468363,0.10852139131468364,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.050470244832511724,0.021560705699468885,-0.07203095053198061
