train_start,train_end,test_end,train_rows,test_rows,train_directional_accuracy,train_spearman_ic,train_rmse,test_directional_accuracy,test_spearman_ic,test_rmse,strategy_cumulative_return,strategy_sharpe_like,strategy_max_drawdown,strategy_win_rate,strategy_trade_count,split_idx,l2,top_k,min_pred
2019-05-21,2019-09-18,2019-10-18,425,85,0.7623529411764706,0.22235294117647056,0.019842661290713156,0.5529411764705883,0.6176470588235294,0.028594343829450614,-0.19697741881917508,-4.359772532763803,-0.19697741881917508,0.3191489361702128,47,1,0.1,3,0.0
2019-05-21,2019-09-18,2019-10-18,425,85,0.7623529411764706,0.22235294117647056,0.019842661290713156,0.5529411764705883,0.6176470588235294,0.028594343829450614,-0.19167201390382937,-4.31060339264417,-0.19167201390382937,0.32608695652173914,46,1,0.1,3,0.005
2019-05-21,2019-09-18,2019-10-18,425,85,0.7623529411764706,0.22235294117647056,0.019842661290713156,0.5529411764705883,0.6176470588235294,0.028594343829450614,-0.18811643182309756,-4.241287363239037,-0.18811643182309756,0.3333333333333333,45,1,0.1,3,0.01
2019-05-21,2019-09-18,2019-10-18,425,85,0.7623529411764706,0.22235294117647056,0.019842661290713156,0.5529411764705883,0.6176470588235294,0.028594343829450614,-0.2106340880449301,-4.8495422396264445,-0.2106340880449301,0.34285714285714286,70,1,0.1,5,0.0
2019-05-21,2019-09-18,2019-10-18,425,85,0.7623529411764706,0.22235294117647056,0.019842661290713156,0.5529411764705883,0.6176470588235294,0.028594343829450614,-0.20060743727742836,-4.706356229182761,-0.20060743727742836,0.36363636363636365,66,1,0.1,5,0.005
2019-05-21,2019-09-18,2019-10-18,425,85,0.7623529411764706,0.22235294117647056,0.019842661290713156,0.5529411764705883,0.6176470588235294,0.028594343829450614,-0.19410477001205495,-4.552685835720665,-0.19410477001205495,0.3870967741935484,62,1,0.1,5,0.01
2019-05-21,2019-09-18,2019-10-18,425,85,0.7623529411764706,0.22235294117647056,0.019842661290713156,0.5529411764705883,0.6176470588235294,0.028594343829450614,-0.2106340880449301,-4.8495422396264445,-0.2106340880449301,0.34285714285714286,70,1,0.1,10,0.0
2019-05-21,2019-09-18,2019-10-18,425,85,0.7623529411764706,0.22235294117647056,0.019842661290713156,0.5529411764705883,0.6176470588235294,0.028594343829450614,-0.20060743727742836,-4.706356229182761,-0.20060743727742836,0.36363636363636365,66,1,0.1,10,0.005
2019-05-21,2019-09-18,2019-10-18,425,85,0.7623529411764706,0.22235294117647056,0.019842661290713156,0.5529411764705883,0.6176470588235294,0.028594343829450614,-0.19410477001205495,-4.552685835720665,-0.19410477001205495,0.3870967741935484,62,1,0.1,10,0.01
2019-05-21,2019-09-18,2019-10-18,425,85,0.7647058823529411,0.2211764705882353,0.019866804265353234,0.5764705882352941,0.6176470588235294,0.026860994016558212,-0.19167201390382937,-4.31060339264417,-0.19167201390382937,0.32608695652173914,46,1,1.0,3,0.0
2019-05-21,2019-09-18,2019-10-18,425,85,0.7647058823529411,0.2211764705882353,0.019866804265353234,0.5764705882352941,0.6176470588235294,0.026860994016558212,-0.18811643182309756,-4.241287363239037,-0.18811643182309756,0.3333333333333333,45,1,1.0,3,0.005
2019-05-21,2019-09-18,2019-10-18,425,85,0.7647058823529411,0.2211764705882353,0.019866804265353234,0.5764705882352941,0.6176470588235294,0.026860994016558212,-0.18560588348191842,-4.207608853863013,-0.18560588348191842,0.35714285714285715,42,1,1.0,3,0.01
2019-05-21,2019-09-18,2019-10-18,425,85,0.7647058823529411,0.2211764705882353,0.019866804265353234,0.5764705882352941,0.6176470588235294,0.026860994016558212,-0.2046449168775093,-4.7960835970468,-0.2046449168775093,0.35294117647058826,68,1,1.0,5,0.0
2019-05-21,2019-09-18,2019-10-18,425,85,0.7647058823529411,0.2211764705882353,0.019866804265353234,0.5764705882352941,0.6176470588235294,0.026860994016558212,-0.19604945895758563,-4.620269611942696,-0.19604945895758563,0.375,64,1,1.0,5,0.005
2019-05-21,2019-09-18,2019-10-18,425,85,0.7647058823529411,0.2211764705882353,0.019866804265353234,0.5764705882352941,0.6176470588235294,0.026860994016558212,-0.1916127391198007,-4.520227603814417,-0.1916127391198007,0.4067796610169492,59,1,1.0,5,0.01
2019-05-21,2019-09-18,2019-10-18,425,85,0.7647058823529411,0.2211764705882353,0.019866804265353234,0.5764705882352941,0.6176470588235294,0.026860994016558212,-0.2046449168775093,-4.7960835970468,-0.2046449168775093,0.35294117647058826,68,1,1.0,10,0.0
2019-05-21,2019-09-18,2019-10-18,425,85,0.7647058823529411,0.2211764705882353,0.019866804265353234,0.5764705882352941,0.6176470588235294,0.026860994016558212,-0.19604945895758563,-4.620269611942696,-0.19604945895758563,0.375,64,1,1.0,10,0.005
2019-05-21,2019-09-18,2019-10-18,425,85,0.7647058823529411,0.2211764705882353,0.019866804265353234,0.5764705882352941,0.6176470588235294,0.026860994016558212,-0.1916127391198007,-4.520227603814417,-0.1916127391198007,0.4067796610169492,59,1,1.0,10,0.01
2019-05-21,2019-09-18,2019-10-18,425,85,0.7670588235294118,0.2411764705882353,0.020477239739800188,0.6823529411764706,0.6176470588235294,0.019513650323233267,-0.18157138548503904,-4.035356282513646,-0.18157138548503904,0.3488372093023256,43,1,10.0,3,0.0
2019-05-21,2019-09-18,2019-10-18,425,85,0.7670588235294118,0.2411764705882353,0.020477239739800188,0.6823529411764706,0.6176470588235294,0.019513650323233267,-0.1541982676897915,-3.5870369255008243,-0.1541982676897915,0.39473684210526316,38,1,10.0,3,0.005
2019-05-21,2019-09-18,2019-10-18,425,85,0.7670588235294118,0.2411764705882353,0.020477239739800188,0.6823529411764706,0.6176470588235294,0.019513650323233267,-0.07473914631793321,-2.0012545231368963,-0.07956539947371866,0.4666666666666667,30,1,10.0,3,0.01
2019-05-21,2019-09-18,2019-10-18,425,85,0.7670588235294118,0.2411764705882353,0.020477239739800188,0.6823529411764706,0.6176470588235294,0.019513650323233267,-0.18710407968926157,-4.312663580616465,-0.18710407968926157,0.40350877192982454,57,1,10.0,5,0.0
2019-05-21,2019-09-18,2019-10-18,425,85,0.7670588235294118,0.2411764705882353,0.020477239739800188,0.6823529411764706,0.6176470588235294,0.019513650323233267,-0.1561741164699635,-3.703204923129823,-0.1561741164699635,0.43478260869565216,46,1,10.0,5,0.005
2019-05-21,2019-09-18,2019-10-18,425,85,0.7670588235294118,0.2411764705882353,0.020477239739800188,0.6823529411764706,0.6176470588235294,0.019513650323233267,-0.07602601566360145,-2.066647487300224,-0.07956539947371866,0.5,36,1,10.0,5,0.01
2019-05-21,2019-09-18,2019-10-18,425,85,0.7670588235294118,0.2411764705882353,0.020477239739800188,0.6823529411764706,0.6176470588235294,0.019513650323233267,-0.18710407968926157,-4.312663580616465,-0.18710407968926157,0.40350877192982454,57,1,10.0,10,0.0
2019-05-21,2019-09-18,2019-10-18,425,85,0.7670588235294118,0.2411764705882353,0.020477239739800188,0.6823529411764706,0.6176470588235294,0.019513650323233267,-0.1561741164699635,-3.703204923129823,-0.1561741164699635,0.43478260869565216,46,1,10.0,10,0.005
2019-05-21,2019-09-18,2019-10-18,425,85,0.7670588235294118,0.2411764705882353,0.020477239739800188,0.6823529411764706,0.6176470588235294,0.019513650323233267,-0.07602601566360145,-2.066647487300224,-0.07956539947371866,0.5,36,1,10.0,10,0.01
2019-05-21,2019-09-18,2019-10-18,425,85,0.7458823529411764,0.2576470588235294,0.0223994767947492,0.7176470588235294,0.6235294117647059,0.019545672823120225,-0.13097370074326442,-3.0718386329993193,-0.13615761383982516,0.375,32,1,100.0,3,0.0
2019-05-21,2019-09-18,2019-10-18,425,85,0.7458823529411764,0.2576470588235294,0.0223994767947492,0.7176470588235294,0.6235294117647059,0.019545672823120225,-0.05012575516821738,-1.4020341510646344,-0.07956539947371866,0.46153846153846156,26,1,100.0,3,0.005
2019-05-21,2019-09-18,2019-10-18,425,85,0.7458823529411764,0.2576470588235294,0.0223994767947492,0.7176470588235294,0.6235294117647059,0.019545672823120225,0.06668008942300507,7.583934512558011,-0.0027943998132673453,0.5833333333333334,12,1,100.0,3,0.01
2019-05-21,2019-09-18,2019-10-18,425,85,0.7458823529411764,0.2576470588235294,0.0223994767947492,0.7176470588235294,0.6235294117647059,0.019545672823120225,-0.13218235806475664,-3.139705477191114,-0.13615761383982516,0.42105263157894735,38,1,100.0,5,0.0
2019-05-21,2019-09-18,2019-10-18,425,85,0.7458823529411764,0.2576470588235294,0.0223994767947492,0.7176470588235294,0.6235294117647059,0.019545672823120225,-0.04952604510794312,-1.3836665271528739,-0.07956539947371866,0.42857142857142855,28,1,100.0,5,0.005
2019-05-21,2019-09-18,2019-10-18,425,85,0.7458823529411764,0.2576470588235294,0.0223994767947492,0.7176470588235294,0.6235294117647059,0.019545672823120225,0.06722033443451347,7.724653344542274,-0.0022893417773189872,0.5384615384615384,13,1,100.0,5,0.01
2019-05-21,2019-09-18,2019-10-18,425,85,0.7458823529411764,0.2576470588235294,0.0223994767947492,0.7176470588235294,0.6235294117647059,0.019545672823120225,-0.13218235806475664,-3.139705477191114,-0.13615761383982516,0.42105263157894735,38,1,100.0,10,0.0
2019-05-21,2019-09-18,2019-10-18,425,85,0.7458823529411764,0.2576470588235294,0.0223994767947492,0.7176470588235294,0.6235294117647059,0.019545672823120225,-0.04952604510794312,-1.3836665271528739,-0.07956539947371866,0.42857142857142855,28,1,100.0,10,0.005
2019-05-21,2019-09-18,2019-10-18,425,85,0.7458823529411764,0.2576470588235294,0.0223994767947492,0.7176470588235294,0.6235294117647059,0.019545672823120225,0.06722033443451347,7.724653344542274,-0.0022893417773189872,0.5384615384615384,13,1,100.0,10,0.01
2019-05-21,2023-01-11,2023-02-10,3705,34,0.5948717948717949,0.019559993537935867,0.032874833725780185,0.5,0.7647058823529411,0.026597900387849996,-0.14520201669059707,-3.1804417152674147,-0.2034366320289671,0.35294117647058826,17,2,0.1,3,0.0
2019-05-21,2023-01-11,2023-02-10,3705,34,0.5948717948717949,0.019559993537935867,0.032874833725780185,0.5,0.7647058823529411,0.026597900387849996,-0.1691644518057226,-5.583848665707467,-0.1872505735767438,0.3076923076923077,13,2,0.1,3,0.005
2019-05-21,2023-01-11,2023-02-10,3705,34,0.5948717948717949,0.019559993537935867,0.032874833725780185,0.5,0.7647058823529411,0.026597900387849996,-0.06734327028522813,-6.66902887456548,-0.06734327028522813,0.16666666666666666,6,2,0.1,3,0.01
2019-05-21,2023-01-11,2023-02-10,3705,34,0.5948717948717949,0.019559993537935867,0.032874833725780185,0.5,0.7647058823529411,0.026597900387849996,-0.14520201669059707,-3.1804417152674147,-0.2034366320289671,0.35294117647058826,17,2,0.1,5,0.0
2019-05-21,2023-01-11,2023-02-10,3705,34,0.5948717948717949,0.019559993537935867,0.032874833725780185,0.5,0.7647058823529411,0.026597900387849996,-0.1691644518057226,-5.583848665707467,-0.1872505735767438,0.3076923076923077,13,2,0.1,5,0.005
2019-05-21,2023-01-11,2023-02-10,3705,34,0.5948717948717949,0.019559993537935867,0.032874833725780185,0.5,0.7647058823529411,0.026597900387849996,-0.06734327028522813,-6.66902887456548,-0.06734327028522813,0.16666666666666666,6,2,0.1,5,0.01
2019-05-21,2023-01-11,2023-02-10,3705,34,0.5948717948717949,0.019559993537935867,0.032874833725780185,0.5,0.7647058823529411,0.026597900387849996,-0.14520201669059707,-3.1804417152674147,-0.2034366320289671,0.35294117647058826,17,2,0.1,10,0.0
2019-05-21,2023-01-11,2023-02-10,3705,34,0.5948717948717949,0.019559993537935867,0.032874833725780185,0.5,0.7647058823529411,0.026597900387849996,-0.1691644518057226,-5.583848665707467,-0.1872505735767438,0.3076923076923077,13,2,0.1,10,0.005
2019-05-21,2023-01-11,2023-02-10,3705,34,0.5948717948717949,0.019559993537935867,0.032874833725780185,0.5,0.7647058823529411,0.026597900387849996,-0.06734327028522813,-6.66902887456548,-0.06734327028522813,0.16666666666666666,6,2,0.1,10,0.01
2019-05-21,2023-01-11,2023-02-10,3705,34,0.594331983805668,0.01815274407098491,0.032874965513292595,0.5,0.7647058823529411,0.026578633358602756,-0.14520201669059707,-3.1804417152674147,-0.2034366320289671,0.35294117647058826,17,2,1.0,3,0.0
2019-05-21,2023-01-11,2023-02-10,3705,34,0.594331983805668,0.01815274407098491,0.032874965513292595,0.5,0.7647058823529411,0.026578633358602756,-0.1691644518057226,-5.583848665707467,-0.1872505735767438,0.3076923076923077,13,2,1.0,3,0.005
