tune_type,top_k,min_pred,score,trade_win_rate,decision_win_rate,benchmark_outperform_rate,strategy_cumulative_return,strategy_max_drawdown,sharpe_like,trade_count,active_decision_count
strategy,1,-0.005,0.423321527217439,0.5747126436781609,0.5747126436781609,0.34444444444444444,0.2109957074490112,-0.23378509772153566,0.8196564433632072,87,87
strategy,1,0.0,0.058162008206852175,0.46774193548387094,0.46774193548387094,0.3111111111111111,-0.06436169277437986,-0.23378509772153566,-0.2748657247425914,62,62
strategy,1,0.005,0.5676785325027403,0.7037037037037037,0.7037037037037037,0.4,0.19469199276865945,-0.06730922906793047,2.2777584215027504,27,27
strategy,1,0.01,0.5328900732520442,0.7777777777777778,0.7777777777777778,0.3888888888888889,0.08533099713179948,-0.03229251700680269,3.279310774105574,9,9
strategy,1,0.02,0.24247311222453888,0.6,0.6,0.36666666666666664,0.0011738053646219715,-0.03229251700680291,0.1541153888990197,5,5
strategy,2,-0.005,0.5042677998523646,0.5862068965517241,0.6091954022988506,0.3888888888888889,0.266017636863223,-0.22180147147835494,0.9985316899715398,174,87
strategy,2,0.0,0.12797152065447648,0.49122807017543857,0.5,0.36666666666666664,-0.027676056925498904,-0.22140608968263886,-0.06949168419782463,114,62
strategy,2,0.005,0.6110133470780754,0.7619047619047619,0.7037037037037037,0.4,0.2157685031318468,-0.06736387567314772,2.4321924477665013,42,27
strategy,2,0.01,0.5849138228679562,0.8181818181818182,0.7777777777777778,0.4,0.10114706500386572,-0.0322925170068028,3.745888651406731,11,9
strategy,2,0.02,0.24247311222453888,0.6,0.6,0.36666666666666664,0.0011738053646219715,-0.03229251700680291,0.1541153888990197,5,5
strategy,3,-0.005,0.5161934681163216,0.5930232558139535,0.6206896551724138,0.3333333333333333,0.2873105407781702,-0.22596657064990966,1.0757084542761408,258,87
strategy,3,0.0,0.11384291729489071,0.525,0.5161290322580645,0.3,-0.03134115465792753,-0.22627908985675205,-0.0899231116598746,160,62
strategy,3,0.005,0.603604469290669,0.7857142857142857,0.7037037037037037,0.37777777777777777,0.2115747633332925,-0.06743725155243285,2.360320059449376,56,27
strategy,3,0.01,0.5849138228679562,0.8181818181818182,0.7777777777777778,0.4,0.10114706500386572,-0.0322925170068028,3.745888651406731,11,9
strategy,3,0.02,0.24247311222453888,0.6,0.6,0.36666666666666664,0.0011738053646219715,-0.03229251700680291,0.1541153888990197,5,5
strategy,4,-0.005,0.5170050065804186,0.5946745562130178,0.6091954022988506,0.35555555555555557,0.28194911261674127,-0.22541463738611434,1.0770405073612512,338,87
strategy,4,0.0,0.12485435247511514,0.5454545454545454,0.5161290322580645,0.32222222222222224,-0.030801237223009315,-0.22767941666491354,-0.08687496109678096,198,62
strategy,4,0.005,0.6139861211625258,0.7878787878787878,0.7037037037037037,0.3888888888888889,0.21703091907899585,-0.06722165978337047,2.3913739567490664,66,27
strategy,4,0.01,0.5849138228679562,0.8181818181818182,0.7777777777777778,0.4,0.10114706500386572,-0.0322925170068028,3.745888651406731,11,9
strategy,4,0.02,0.24247311222453888,0.6,0.6,0.36666666666666664,0.0011738053646219715,-0.03229251700680291,0.1541153888990197,5,5
strategy,5,-0.005,0.5137817106340384,0.5909090909090909,0.6091954022988506,0.34444444444444444,0.28383504056240794,-0.23278531033506855,1.0860922763402756,418,87
strategy,5,0.0,0.11795266339233618,0.5450643776824035,0.5161290322580645,0.28888888888888886,-0.028984613157261196,-0.23036573111646053,-0.07919214628221145,233,62
strategy,5,0.005,0.6169547902200376,0.7866666666666666,0.7037037037037037,0.37777777777777777,0.21926303273743541,-0.0628411080859278,2.4458184678594614,75,27
strategy,5,0.01,0.5849138228679562,0.8181818181818182,0.7777777777777778,0.4,0.10114706500386572,-0.0322925170068028,3.745888651406731,11,9
strategy,5,0.02,0.24247311222453888,0.6,0.6,0.36666666666666664,0.0011738053646219715,-0.03229251700680291,0.1541153888990197,5,5
