,Benchmark,Strategy,Bench_Cum,Strat_Cum
2026-02-02,-0.025603490379320415,0.0,-0.025603490379320415,0.0
2026-02-03,0.017111666813660657,-0.012801745189660204,-0.00892994196229746,-0.012801745189660152
2026-02-04,0.007962242776901052,0.008555833406830327,-0.0010388015512838855,-0.004355441381989289
2026-02-05,-0.008922782913488518,0.003981121388450524,-0.009952315464040074,-0.00039165953438080603
2026-02-06,-0.00523646836354277,-0.004461391456744258,-0.015136668842511414,-0.004851303644624494
2026-02-09,0.01733857759844369,-0.0026182341817713845,0.0019394604486242528,-0.00745683597736746
2026-02-10,0.0012496391841803438,0.006948509037547802,0.0031915232585773,-0.0005601408319998447
2026-02-11,-0.001338301458042997,5.769753827256495e-05,0.0018489505803038764,-0.0005024756124742957
2026-02-12,0.002228980937765221,-3.946888045890774e-05,0.004082052793667357,-0.0005419246607832884
2026-02-13,-0.012883442740398246,0.0001505821079845183,-0.008853980840161313,-0.0003914241569564769
2026-02-24,0.009891595389818554,-0.0002753461231029263,0.0009500345535973231,-0.0006666625029352335
2026-02-25,0.008101193364192325,0.00614965028449469,0.009058924331410978,0.005478888040308494
2026-02-26,-0.0021255111290636114,0.004870321605556418,0.006914158357863576,0.010375893592661889
2026-02-27,-2.6590843249814828e-05,-0.0013017084738661416,0.006887383661312585,0.009060678730182348
2026-03-02,0.002361644052598397,-9.563170181908948e-05,0.009265293262572749,0.00896418054023651
2026-03-03,-0.01763679334956673,0.0014281691583404776,-0.00853491014958907,0.010405152064754342
2026-03-04,-0.012086390583100447,-0.008932012887907329,-0.020518144475029976,0.0013802002245040246
2026-03-05,0.009203432392279807,-0.01170491228572934,-0.011503549438241167,-0.010340867183789904
2026-03-06,0.002330135227343069,0.009021410042193555,-0.009200219036683666,-0.0014127463446532706
2026-03-09,-0.009646145434936741,7.256316522629992e-05,-0.018757617820759243,-0.0013402856927734463
2026-03-10,0.01329350964313996,-0.0027442189718639553,-0.00571346275100193,-0.004080826627211542
2026-03-11,0.00463066019403397,0.012581622744318323,-0.0011092596614991068,0.008449452695998172
2026-03-12,-0.0045589150431082975,0.0,-0.005663117684049923,0.008449452695998172
2026-03-13,-0.0048403100135758275,-0.0004237345183176682,-0.010476016452391601,0.008022137852912392
2026-03-16,-0.0018864837806881567,-0.004412331095581711,-0.012342737397956105,0.0035744104290291734
2026-03-17,-0.008242106829545725,-0.001716199897347747,-0.020483114067298858,0.0018520761288700616
2026-03-18,0.004260607131085596,-0.006338844897448635,-0.016309777438075268,-0.004498508791897726
2026-03-19,-0.016393758456231883,0.004041102191078246,-0.032436157342512484,-0.00047558553455506747
2026-03-20,-0.006088180900338876,-0.0034891483259962878,-0.038326861049238325,-0.003963074472079664
2026-03-23,-0.03254468880648398,-0.005695638018509789,-0.06962421408994546,-0.009636140252956116
2026-03-24,0.011386409678035713,-0.03254468880648398,-0.05903057423704927,-0.04186722387361197
2026-03-25,0.01551930909820149,0.0068468167979847975,-0.0444273788666768,-0.0353070642873301
2026-03-26,-0.012873343559536744,0.0002688891780896155,-0.05672879351461313,-0.035047668796737486
2026-03-27,0.006564891228794186,-0.005533520194220602,-0.050536320644783195,-0.040387252007910934
2026-03-30,-0.0010762664081503577,0.00545815139151697,-0.05155819650863214,-0.03514954035214035
2026-03-31,-0.008356961540039287,-6.791783928533836e-05,-0.059484288183375034,-0.03521507091059317
2026-04-01,0.015400497431772027,-0.003048241872634895,-0.04499987837900177,-0.03815596872953053
2026-04-02,-0.011761954573629841,0.01477513018015917,-0.0562325464273189,-0.023944597954500324
2026-04-03,-0.008128474019420542,0.0,-0.06390393565405905,-0.023944597954500324
2026-04-07,-7.055551789962126e-06,-0.007904206239751722,-0.06391054032832144,-0.03165954115369174
2026-04-08,0.03686764029625538,-3.96922055800701e-05,-0.029399130844030008,-0.03169797672225583
2026-04-09,-0.005898038287662789,0.018928388230620218,-0.03512377193235072,-0.01336958010115974
2026-04-10,0.013389942464198902,-0.005898038287662789,-0.02220413475345151,-0.019188764093495903
2026-04-13,0.002100907587265407,0.013389942464198902,-0.020149876001358313,-0.006055758076467854
2026-04-14,0.011819296731566453,0.0,-0.008568736633356222,-0.006055758076467854
2026-04-15,-0.002755881613564474,0.0021243673781339736,-0.011301003823181333,-0.003944255353241499
2026-04-16,0.010699420738273149,0.0,-0.0007224972795772944,-0.003944255353241499
2026-04-17,-0.0017454667669764496,0.009370881701932711,-0.002466702951562927,0.005389665198373805
2026-04-20,0.0068838812532441285,-0.000491530682114466,0.0044001978114756035,0.004895485330447924
2026-04-21,0.0005680521550617021,0.0040202362411851725,0.004970749508386829,0.008935402579176799
2026-04-22,0.00782941203377959,4.8022508106163544e-05,0.01283907958818431,0.008983854187725626
2026-04-23,-0.0034221639962668865,0.0031336471735485916,0.009372978156005463,0.012145653590557082
2026-04-24,-0.0029703695142667685,-0.0007641448997355869,0.0063747674331662285,0.011372227651576194
2026-04-27,0.0005861384216068188,-0.0014990449320467756,0.0069646423508944455,0.009856135239302288
2026-04-28,-0.0036502274210975637,0.0004381690002634277,0.0032889924013095317,0.01029862289248995
2026-04-29,0.012098081854048518,-0.0011555141041381964,0.015426864754646497,0.00913120858434624
2026-04-30,0.0021368399395688994,0.004787183181182024,0.017596669434965406,0.013962104533687292
2026-05-06,0.015874057092535754,6.394140459946448e-05,0.03375005706275025,0.014026938694861935
2026-05-07,0.006111194311025297,0.0035469925070409896,0.040067504530494125,0.0176236846483504
2026-05-08,-0.0053221465559734555,0.0011995057492951602,0.034532112843277396,0.0188443301087049
2026-05-11,0.017114833834615675,-0.0013721426945134752,0.052237958051164046,0.017446330304299762
2026-05-12,-0.0017034824444111714,0.01679307237719936,0.050445489162280754,0.03453238016901583
2026-05-13,0.010149590673243737,-0.00040298537111874545,0.061107080901833255,0.03411547875385912
2026-05-14,-0.01744915909563792,0.008052862272198778,0.042591654629669184,0.042443068277812745
2026-05-15,-0.013251081728832702,-0.003760384865804859,0.0287761874043726,0.0385230811403976
2026-05-18,-0.004887525808056872,-0.013251081728832702,0.023748017237719354,0.024761526914927057
2026-05-19,0.004870055797476545,-0.004887525808056872,0.02873372720422296,0.019752978505026553
2026-05-20,0.0014959877752587596,0.004870055797476545,0.03027270028411677,0.024719232409988967
2026-05-21,-0.014476477211921468,0.00026457893756017334,0.015357981016388855,0.024990351535797428
2026-05-22,0.011029075516992492,-0.013063658311471224,0.026556440865799447,0.011600227810778962
