code,name,family_id,start_date,end_date,history_rows,history_years,trailing_horizon_return,price_max_drawdown,horizon_days,observations,win_rate,avg_forward_return,median_forward_return,volatility,sharpe_like,best_forward_return,worst_forward_return,positive_avg_return,negative_avg_return
159629,中证1000ETF富国,CSI_1000,2022-08-03,2026-06-03,927,3.8329911019849416,-0.013053348467650383,-0.4124062713019768,5,922,0.5216919739696312,0.0018015650825947912,0.001309936421285851,0.036574211637258804,0.34969566651338124,0.34267583289264936,-0.1643238002908387,0.025707264606857842,-0.024272451858834972
159633,中证1000ETF易方达,CSI_1000,2022-08-04,2026-06-03,926,3.8302532511978096,-0.010549694614103267,-0.4174923129484114,5,921,0.5200868621064061,0.0019109652743437276,0.0012325390304024353,0.036911139623761906,0.36754507634239597,0.35553224960671215,-0.1707198443579766,0.026006455213528717,-0.0242015679402934
159845,中证1000ETF华夏,CSI_1000,2022-05-18,2026-06-03,981,4.043805612594114,-0.015271493212669629,-0.4103085791793828,5,976,0.5317622950819673,0.002383055436525369,0.002000392004890772,0.036088063898400004,0.46879808669342643,0.3412447257383968,-0.15868408321238514,0.0256834916605385,-0.024078490297091297
512100,中证1000ETF南方,CSI_1000,2016-11-04,2026-06-03,1662,9.57700205338809,-0.013965667733488507,-0.5241404535479152,5,1657,0.5214242607121303,0.0015078910401139128,0.0019175455417066445,0.03962707675637714,0.2701426729721927,0.35115766262403536,-0.1824758842443731,0.028366594910508525,-0.0277555643747927
560010,中证1000ETF广发,CSI_1000,2022-08-04,2026-06-03,925,3.8302532511978096,-0.011098463289698213,-0.4148248894933695,5,920,0.5152173913043478,0.0017417313802270728,0.0011863748437869193,0.03666047775957578,0.33728600724937674,0.34038054968287534,-0.16212268743914304,0.026016519571096772,-0.024057034544598576
159629,中证1000ETF富国,CSI_1000,2022-08-03,2026-06-03,927,3.8329911019849416,-0.013053348467650383,-0.4124062713019768,20,907,0.48511576626240355,0.007502891084869651,-0.001908396946564861,0.07328345267001118,0.36341930390645916,0.35828288387451845,-0.22655899506505162,0.062389927436512074,-0.044210804835307364
159633,中证1000ETF易方达,CSI_1000,2022-08-04,2026-06-03,926,3.8302532511978096,-0.01465302737074925,-0.4174923129484114,20,906,0.4922737306843267,0.008156915122957449,-0.001408370305924389,0.07379969918696994,0.39233461260428815,0.3634373289545705,-0.23267326732673266,0.06252834600652468,-0.04455973308154469
159845,中证1000ETF华夏,CSI_1000,2022-05-18,2026-06-03,981,4.043805612594114,-0.015828151498021414,-0.4103085791793828,20,961,0.5046826222684704,0.009508424406198108,0.0012894906511928816,0.07270297973288804,0.4642389976750272,0.3617372182517866,-0.22157564905998206,0.06190935774286845,-0.04388328288011517
512100,中证1000ETF南方,CSI_1000,2016-11-04,2026-06-03,1662,9.57700205338809,-0.012816778327992995,-0.5241404535479152,20,1642,0.4939098660170524,0.00640797606397155,-0.0009309476474486655,0.08183592129501269,0.27794711937794503,0.37703703703703684,-0.2560289389067524,0.06685072079589087,-0.05258006963709532
560010,中证1000ETF广发,CSI_1000,2022-08-04,2026-06-03,925,3.8302532511978096,-0.015301785208274299,-0.4148248894933695,20,905,0.4895027624309392,0.0074910699757725595,-0.0019864918553833544,0.073603933600669,0.3612668410731496,0.36288546255506615,-0.22337545126353797,0.06199861675337404,-0.04477482444517432
159629,中证1000ETF富国,CSI_1000,2022-08-03,2026-06-03,927,3.8329911019849416,0.038829151732377554,-0.4124062713019768,60,867,0.49480968858131485,0.02301022249041884,-0.0005913660555885158,0.11785493996431594,0.4001268288702856,0.4432876712328766,-0.2948875255623722,0.11088851664334054,-0.06306235328949762
159633,中证1000ETF易方达,CSI_1000,2022-08-04,2026-06-03,926,3.8302532511978096,0.03574542284219717,-0.4174923129484114,60,866,0.5069284064665127,0.0250384494251563,0.0020369019034397473,0.11881030099629786,0.4318948043462001,0.4463215258855586,-0.30094300943009433,0.11124839448759775,-0.06359425755941465
159845,中证1000ETF华夏,CSI_1000,2022-05-18,2026-06-03,981,4.043805612594114,0.03415503415503429,-0.4103085791793828,60,921,0.49077090119435396,0.0211248287294433,-0.0015515903801396336,0.11800495215913014,0.366874569192707,0.4455986878075453,-0.29078303425774876,0.11070108513004573,-0.06520452711932492
512100,中证1000ETF南方,CSI_1000,2016-11-04,2026-06-03,1662,9.57700205338809,0.03766074709124312,-0.5241404535479152,60,1602,0.517478152309613,0.022136982522500567,0.005277767436478897,0.14185557502187143,0.3198134017362343,0.46395881006865003,-0.38404998162440285,0.12353552767768512,-0.08660738220408158
560010,中证1000ETF广发,CSI_1000,2022-08-04,2026-06-03,925,3.8302532511978096,0.03545887961859373,-0.4148248894933695,60,865,0.500578034682081,0.023097804977463048,0.0005805515239478698,0.11845782429349389,0.39960563486189205,0.4468201754385963,-0.2940935192780968,0.11008087207165325,-0.06408661180907484
159629,中证1000ETF富国,CSI_1000,2022-08-03,2026-06-03,927,3.8329911019849416,0.14975206611570258,-0.4124062713019768,120,807,0.5266418835192069,0.045541236384069685,0.014279714405712074,0.1551270327434347,0.4254288902826671,0.47717149220489974,-0.3315238464521133,0.16804132815628592,-0.09074813273423371
159633,中证1000ETF易方达,CSI_1000,2022-08-04,2026-06-03,926,3.8302532511978096,0.15902439024390236,-0.4174923129484114,120,806,0.5297766749379652,0.0497364117063187,0.015717967310120096,0.15724346737350728,0.45836503867459516,0.47927031509121076,-0.3370917573872473,0.17343069537739764,-0.08962363876215279
159845,中证1000ETF华夏,CSI_1000,2022-05-18,2026-06-03,981,4.043805612594114,0.1457716354063836,-0.4103085791793828,120,861,0.5121951219512195,0.040958727325630884,0.00582712852055689,0.15288956639071186,0.3882203100788046,0.4791782343142701,-0.3277928102048705,0.16446582746801347,-0.08872372782387081
512100,中证1000ETF南方,CSI_1000,2016-11-04,2026-06-03,1662,9.57700205338809,0.15037338764426322,-0.5241404535479152,120,1542,0.6160830090791181,0.05406520460146632,0.05834825726567072,0.1754571680830419,0.4465359023513085,0.5022865853658536,-0.5037821482602118,0.16327480140521855,-0.12118668216131172
