,Benchmark,Strategy
2024-12-02,0.007611566712484974,0.0
2024-12-03,0.0013167695863304611,0.0
2024-12-04,-0.0047887984682174105,0.0
2024-12-05,-0.001873879699063478,0.0
2024-12-06,0.012171747952619142,0.0
2024-12-09,-0.0005117361621231331,0.0016710277991498722
2024-12-10,0.007567613703032744,-0.000157263777669279
2024-12-11,-0.001868609873406868,0.0023763447915950767
2024-12-12,0.009636269853204954,-0.00021362774143717701
2024-12-13,-0.0228551731493951,0.0077291365353150555
2024-12-16,-0.006102560484986738,-0.0016447481619134706
2024-12-17,0.001535519465967583,-3.60406160879441e-05
2024-12-18,0.005263864879318514,5.55532258041882e-05
2024-12-19,0.0014657824728723928,0.0004891876031214996
2024-12-20,-0.0024743966714850796,0.0002134105051704413
2024-12-23,0.00016093957862250985,-0.0003183052648021403
2024-12-24,0.010910450566740143,0.0002046276733312963
2024-12-25,0.00012190624828191388,0.0010416330497066543
2024-12-26,0.0009709565843950135,-7.808830938086339e-05
2024-12-27,-0.0010792456015121937,3.095993744273967e-05
2024-12-30,0.004242179353221215,-0.00024817160418582083
2024-12-31,-0.016139378418051673,0.0007735740810198212
2025-01-02,-0.028791800469918666,-0.00033373115935327817
2025-01-03,-0.011441934044389784,-1.3086664819439832e-05
2025-01-06,-0.004159688070596301,0.0
2025-01-07,0.007942369594704124,-0.0010516693094419266
2025-01-08,-0.0016903272440827455,-0.00020972313136213006
2025-01-09,-0.0013314362970642257,0.0
2025-01-10,-0.01144951187652235,0.0
2025-01-13,-0.0029344942335612634,0.0
2025-01-14,0.025491045915931793,0.0
2025-01-15,-0.0058588835995841415,0.0
2025-01-16,0.00046060214925150444,0.0
2025-01-17,0.0038411334320291035,0.0
2025-01-20,0.003980938925867594,0.0
2025-01-21,0.0011967035042634577,0.0
2025-01-22,-0.009117384268218842,0.0
2025-01-23,0.001807282871996066,0.0
2025-01-24,0.008590832998144449,0.0
2025-01-27,-0.004266051162338191,0.001862617208917539
2025-02-05,-0.005052675218133462,-0.0007011088668395722
2025-02-06,0.01340845251364442,-0.00017511771906970327
2025-02-07,0.013978102786843055,0.0026691530029032875
2025-02-10,0.003111914663108728,0.0065736402425910735
2025-02-11,-0.004227441258454423,0.0003348974456933084
2025-02-12,0.009807660659117562,-0.00029943650114930536
2025-02-13,-0.0024968094509976863,0.000850680775536537
2025-02-14,0.007626950324107845,-8.495203041694903e-05
2025-02-17,0.0017803983317838112,0.000531937752651487
2025-02-18,-0.008270260852123137,6.0512416889676676e-05
2025-02-19,0.0064917396106631,-0.0009637766318421197
2025-02-20,-0.0024536964243352666,0.0011389984749091743
2025-02-21,0.014413911636886823,-0.00031127857891582284
2025-02-24,-0.0033201398295013146,0.0008797758677629008
2025-02-25,-0.009938665357501722,-0.00025784164067242925
2025-02-26,0.008230835531556402,-0.001550004153366783
2025-02-27,0.0016982169020381827,0.0016297620647079598
2025-02-28,-0.018879723607617582,2.4619297132044964e-05
2025-03-03,-0.00263330644102773,-0.0075844598837525486
2025-03-04,-0.0004912336751062146,-0.00037600086908446144
2025-03-05,0.004544622052844782,0.0
2025-03-06,0.014868446397637708,0.0
2025-03-07,-0.0021659650674315106,0.0018728586258082518
2025-03-10,-0.0035210906504992145,-0.0002013513438548128
2025-03-11,0.0023071279532619615,-0.00045034449916336557
2025-03-12,-0.0017875376969338636,0.0003984123236544808
2025-03-13,-0.00525466576842866,-0.00027955097435437
2025-03-14,0.024260103965812824,-0.00017382676987886498
2025-03-17,-0.0022510578565302086,0.003138269725873758
2025-03-18,0.0030215119239190846,-0.0018219600141048777
2025-03-19,0.0005014670635118124,1.28061976667678e-05
2025-03-20,-0.008859952990720066,6.329452309876359e-05
2025-03-21,-0.016112599673059586,-0.0012429252241163173
2025-03-24,0.004142683177166456,-0.0009218065645506242
2025-03-25,0.00027619942910028783,-4.730092271528087e-05
2025-03-26,-0.004349396942277595,-7.0268030908308345e-06
2025-03-27,0.003270562222122936,-6.953113963834769e-06
2025-03-28,-0.00449402627983847,0.00010759400520397871
2025-03-31,-0.0065822312399329425,-2.4211575675950895e-05
2025-04-01,-0.0003823069062910134,0.0
2025-04-02,-0.0008030696017946731,0.0
2025-04-03,-0.005603846302162027,0.0
2025-04-07,-0.07739905377470928,0.0
2025-04-08,0.01746322233121081,-0.007633584554669343
2025-04-09,0.011252241948405906,0.001646473788661961
2025-04-10,0.016318855948485783,0.001093555611564059
2025-04-11,0.004864231936456603,0.0015977751241027594
2025-04-14,0.002701046613737823,0.00047393465189084975
2025-04-15,-0.00018874683308291174,0.0001824388533289543
2025-04-16,0.002391370605502874,-0.00013659824352997308
2025-04-17,0.00014484223094901605,9.365798074299154e-05
2025-04-18,0.002579501871631612,1.433182747893352e-05
2025-04-21,0.0021830896542157086,1.7581474199398122e-05
2025-04-22,0.0002896203782869339,-5.7797086851957174e-05
2025-04-23,0.001417188827440824,4.1251295336124495e-05
2025-04-24,-0.0006625174781747512,-9.304796169176495e-05
2025-04-25,-0.00019979920748584845,-3.1748718458729645e-05
2025-04-28,-0.0012421621489338286,-8.235157945699604e-05
2025-04-29,-0.0015407577830942876,-0.00013198677333484907
2025-04-30,-0.00020005129441627578,-0.00018130471429932872
2025-05-06,0.011279115060569972,-8.924794981766302e-05
2025-05-07,0.0054121557751609095,0.0016552107128228147
2025-05-08,0.006184354329080821,0.0006499821659887478
2025-05-09,-0.0021042110574184397,0.0010289618139341298
2025-05-12,0.01086023387044091,-0.0003586331017328942
2025-05-13,0.0012642758915173136,0.0020984530476014004
2025-05-14,0.011384466517906783,0.0002273564465272228
2025-05-15,-0.008371435208105002,0.004977537961753311
2025-05-16,-0.005255090591212333,-0.0021087848743903525
2025-05-19,-0.0013598562097612843,-0.0013888581194568764
2025-05-20,0.005178729728612663,-0.00034144539817592215
2025-05-21,0.004066160685774783,0.0013312126719514424
2025-05-22,-0.0011389642848018272,0.0010357465075754913
2025-05-23,-0.0075411005782323876,-0.0002903823076097625
2025-05-26,-0.004726091886573927,-0.0015881401333044422
2025-05-27,-0.005307712029856679,-0.0009242342384851165
2025-05-28,-0.0015656765376158704,-0.00018778909412603875
2025-05-29,0.006823669276464245,0.0
2025-05-30,-0.002969676374829089,8.837081071151098e-05
2025-06-03,-0.0007298190919385744,-1.0473565675166483e-05
2025-06-04,0.004167822750374722,0.0
2025-06-05,0.0025016921754638793,0.0
2025-06-06,0.0008310042123499395,4.8865130964238065e-05
2025-06-09,0.0025743132202506736,1.8798816755081426e-05
2025-06-10,-0.005953024352320951,0.00010593199035180675
2025-06-11,0.00767360997910721,-7.391035976721727e-05
2025-06-12,0.000517966085814392,0.001155975321300004
2025-06-13,-0.006091271144453431,7.649841158577047e-05
2025-06-16,0.002542251556793773,-0.00045007169158865106
2025-06-17,-0.00067593906152566,0.0003772574092745716
2025-06-18,0.00014071840866125562,-0.00018741984536774768
2025-06-19,-0.007834942211532483,-3.534089247566314e-05
2025-06-20,0.0005183557584458737,-0.00017407905768540875
2025-06-23,0.0044234299515589215,0.0
2025-06-24,0.01183305915061078,0.0008214416931068725
2025-06-25,0.015154940366082642,0.010584565162167459
2025-06-26,-0.002845050908497654,0.014566578835814043
2025-06-27,-0.005428020019169311,-0.0017033239898121362
2025-06-30,0.0072518518775762375,-0.001432092673059559
2025-07-01,4.146452908901366e-05,0.003958307721947298
2025-07-02,-0.00014589170342166335,-0.00022635204026599402
2025-07-03,0.005777339411152688,-2.063907184831696e-05
2025-07-04,0.0027305536344256753,0.0013987401577516755
2025-07-07,-0.0039698464708096265,0.0006602476527217574
2025-07-08,0.008776306557280428,-0.0007835070943636984
2025-07-09,-0.0009150055032301485,0.0016881507198487382
2025-07-10,0.004825120472094269,-0.00019098293328436707
2025-07-11,0.0037884191511710352,0.0008431280993381713
2025-07-14,-0.0003001110600406448,0.0004205938182965021
2025-07-15,5.600947091916053e-05,-4.951655147029496e-05
2025-07-16,-0.002218239693767138,1.4799141042972916e-05
2025-07-17,0.008853107971420332,-0.0002663599493671226
2025-07-18,0.007119312047659143,0.0010132061155693319
2025-07-21,0.005791851229346862,0.0005467058091545112
2025-07-22,0.009542068328146774,0.002388547055477337
2025-07-23,-0.0006720350641097605,0.0075791137814322194
2025-07-24,0.007586019256921928,-0.0006901530868358648
2025-07-25,-0.00416903980121254,0.0058612011504782305
2025-07-28,0.0032497545984484233,-0.0008968115491646078
2025-07-29,0.004562334414987351,0.0001640801010007623
2025-07-30,-0.0011574952619873985,0.0002888156201789521
2025-07-31,-0.01728498792059721,-3.803759884717297e-05
2025-08-01,-0.004978719619483429,-0.007821937622161204
2025-08-04,0.0040985040726426725,-0.00045306634528379685
2025-08-05,0.007330666009066511,0.001791731995616609
2025-08-06,0.0033525333621297893,0.0009317226039655505
2025-08-07,-0.00026399051699471654,0.0004082694465199703
2025-08-08,-0.002475569844933745,-6.550029776696047e-05
2025-08-11,0.006219240796923042,-0.00045507753615160106
2025-08-12,0.003950634853296359,0.0011228496115357853
2025-08-13,0.008598082981559646,0.0007500155672876218
2025-08-14,-0.0013248661328490174,0.0014962686235306035
2025-08-15,0.009635304852657456,-0.00014478003856906377
2025-08-18,0.007978359298851462,0.001948145889980662
2025-08-19,-0.00619469778432391,0.001680920859702581
2025-08-20,0.0133460404952149,-0.0013410812936258648
2025-08-21,0.0024244972984105995,0.007993441533173117
2025-08-22,0.023567983926503527,8.480058147561419e-05
2025-08-25,0.020104116095880004,0.0214493736708786
2025-08-26,-0.0040191992519743175,0.0011649876972227035
2025-08-27,-0.014780440984871496,-0.0004032960039877555
2025-08-28,0.01815721358049721,-0.0014766616013522204
2025-08-29,0.00989986105279858,0.0018149268924395358
2025-09-01,0.004169675687859531,0.0009908229497634577
2025-09-02,-0.006312428282475455,0.00041608110600686464
2025-09-03,-0.009694747806083148,-0.0006231282571407913
2025-09-04,-0.021697845594505702,-0.0009683168925333273
2025-09-05,0.02368178531923104,-0.0021602262006572065
2025-09-08,0.001931144058470835,0.0023382702829443922
2025-09-09,-0.0059881231842325855,0.0008528590873750378
2025-09-10,0.002073592863807927,-0.005694054939773472
2025-09-11,0.025193222167393864,0.001982256680353077
