Date,Benchmark,Strategy,Bench_Cum,Strat_Cum
2025-07-29,0.004562334414987351,0.0032807545828981155,0.0045623344149874345,0.0032807545828981155
2025-07-30,-0.0011574952619873985,-0.002381439100570537,0.0033995582725310225,0.0008915025650844122
2025-07-31,-0.01728498792059721,-0.01737636497907885,-0.013944190971742265,-0.016500353487945096
2025-08-01,-0.004978719619483429,-0.004327123421227486,-0.018853486374056927,-0.020756077843136267
2025-08-04,0.0040985040726426725,0.004389770025699624,-0.014832253392101813,-0.016457422225803486
2025-08-05,0.007330666009066511,0.0,-0.007610317678814482,-0.016457422225803486
2025-08-06,0.0033525333621297893,0.0,-0.004283298160599247,-0.016457422225803486
2025-08-07,-0.00026399051699471654,0.0,-0.004546157927498129,-0.016457422225803486
2025-08-08,-0.002475569844933745,0.0,-0.0070104734409561775,-0.016457422225803486
2025-08-11,0.006219240796923042,0.0,-0.0008348324664628759,-0.016457422225803486
2025-08-12,0.003950634853296359,0.003970541321939969,0.0031125042685946624,-0.012552225778863724
2025-08-13,0.008598082981559646,0.009118693685159163,0.011737348820136217,-0.0035479919956490358
2025-08-14,-0.0013248661328490174,0.0023809373183268923,0.010396932271345971,-0.00117550222386964
2025-08-15,0.009635304852657456,0.006415615897604643,0.020132414735970272,0.005232572102979782
2025-08-18,0.007978359298851462,0.0047421758949346415,0.0282713976731388,0.009999561775209775
2025-08-19,-0.00619469778432391,-0.005050574054584589,0.021901567124289256,0.004898484193366137
2025-08-20,0.0133460404952149,0.0,0.03553990682125341,0.004898484193366137
2025-08-21,0.0024244972984105995,0.0,0.03805057052773786,0.004898484193366137
2025-08-22,0.023567983926503527,0.0,0.06251532968883344,0.004898484193366137
2025-08-25,0.020104116095880004,0.0,0.08387626123054992,0.004898484193366137
2025-08-26,-0.0040191992519743175,0.0,0.07951994657217942,0.004898484193366137
2025-08-27,-0.014780440984871496,0.0,0.06356416570987777,0.004898484193366137
2025-08-28,0.01815721358049721,0.0,0.08287552742323534,0.004898484193366137
2025-08-29,0.00989986105279858,0.0,0.09359584468220117,0.004898484193366137
2025-09-01,0.004169675687859531,0.0,0.0981557846881167,0.004898484193366137
2025-09-02,-0.006312428282475455,0.0,0.09122375505428737,0.004898484193366137
2025-09-03,-0.009694747806083148,0.0,0.08064461594902905,0.004898484193366137
2025-09-04,-0.021697845594505702,0.0,0.05719695592963303,0.004898484193366137
2025-09-05,0.02368178531923104,0.0,0.08223326728010316,0.004898484193366137
2025-09-08,0.001931144058470835,0.0019391920755450487,0.08432321562409051,0.0068471753706409455
2025-09-09,-0.0059881231842325855,0.0,0.07783015463741028,0.0068471753706409455
2025-09-10,0.002073592863807927,0.0,0.08006513555446348,0.0068471753706409455
2025-09-11,0.025193222167393864,0.0,0.10727545646974335,0.0068471753706409455
2025-09-12,-0.006218480272988519,-0.006033502962513981,0.10038988588692188,0.0007723599552433846
2025-09-15,0.001523349161749274,0.0,0.10206616389718515,0.0007723599552433846
2025-09-16,-0.0016507373846206264,0.0,0.10024694208011464,0.0007723599552433846
2025-09-17,0.007286875838726781,0.0,0.10826430493899131,0.0007723599552433846
2025-09-18,-0.011617676149236172,0.0,0.09538884915645185,0.0007723599552433846
2025-09-19,0.0011145092073604757,0.002673424589890283,0.09660967011447674,0.0034478493912302177
2025-09-22,0.0031974774615876334,0.0,0.1001160548188269,0.0034478493912302177
2025-09-23,-0.0002894000524776841,0.0,0.0997976811748309,0.0034478493912302177
2025-09-24,0.011049599461166126,0.0,0.11195000504013208,0.0034478493912302177
2025-09-25,0.006455257849785928,0.0,0.11912792903873681,0.0034478493912302177
2025-09-26,-0.008982687200291994,-0.006649031191837906,0.1090751529150713,-0.003224106658754722
2025-09-29,0.015058140789952323,0.0051998943780153795,0.12577576271430435,0.0019590227051717868
2025-09-30,0.004940448313935086,0.0027339640163986934,0.13133759968307523,0.004698342619153806
2025-10-09,0.014670903310020134,0.005598252049851871,0.14793534421901589,0.010322897175204293
2025-10-10,-0.020506548523861245,-0.007750740358423991,0.12439515238053334,0.0024921467210285986
2025-10-13,-0.005729641872780952,0.0,0.11795277083390188,0.0024921467210285986
2025-10-14,-0.011920994648836641,-0.0050907331283358,0.10462566183513888,-0.0026112732611807132
2025-10-15,0.014103253774731678,0.0,0.12020447787008082,-0.0026112732611807132
2025-10-16,0.0012209190331010367,0.0,0.1215721568380772,-0.0026112732611807132
2025-10-17,-0.021485569113877917,-0.010673236769123295,0.09747454074613171,-0.013256639292518635
2025-10-20,0.003943215854609633,0.005619868423219487,0.10180211975523212,-0.0077112714378573255
2025-10-21,0.01549455923519466,0.0,0.11887405796524275,-0.0077112714378573255
2025-10-22,-0.0032944720116856313,0.0,0.11518795869667509,-0.0077112714378573255
2025-10-23,0.0036153227304102364,0.0,0.119219723072431,-0.0077112714378573255
2025-10-27,0.024738783379219337,0.0,0.1469078573552698,-0.0077112714378573255
2025-10-28,-0.005149230926943166,-0.005439865604599026,0.14100216394582188,-0.013109188762193913
2025-10-29,0.011930675806049146,0.0,0.15461509085786007,-0.013109188762193913
2025-10-30,-0.007693835835780094,0.0,0.14573167189528546,-0.013109188762193913
2025-10-31,-0.012280025215998136,0.0,0.13166205807364362,-0.013109188762193913
2025-11-03,0.0009243582616524915,0.0,0.13270811924642256,-0.013109188762193913
2025-11-04,-0.00785491528107854,0.0,0.12381079293155217,-0.013109188762193913
2025-11-05,0.0005345383808252752,0.0,0.12441151293315977,-0.013109188762193913
2025-11-06,0.015054506884355529,0.0,0.14133897379546068,-0.013109188762193913
2025-11-07,-0.0013720834110819563,0.0,0.1397729615230947,-0.013109188762193913
2025-11-10,0.0028453980020436143,0.0,0.14301606923059573,-0.013109188762193913
2025-11-11,-0.008706088313857593,0.0,0.13306487038771575,-0.013109188762193913
2025-11-12,0.00020358563347878944,0.0,0.13329554611712613,-0.013109188762193913
2025-11-13,0.011118496026145619,0.0,0.14589608814307797,-0.013109188762193913
2025-11-14,-0.01482797825527217,-0.005898773768953813,0.1289047658652911,-0.01893063439234499
