model_trial,strategy_trial,model_config,strategy_config,sentiment_column,tech_window,sent_window,train_lookback_days,max_iter,max_depth,learning_rate,mode,top_k,prob_threshold,sent_break_threshold,trend_filter,alpha_buy,alpha_sell,fee_rate,success,observations,active_days,active_day_rate,strategy_cumulative_return,benchmark_cumulative_return,excess_cumulative_return,strategy_annualized_return,benchmark_annualized_return,strategy_max_drawdown,benchmark_max_drawdown,strategy_sharpe_like,benchmark_sharpe_like,avg_strategy_daily_return,avg_benchmark_daily_return,outperform_day_rate,avg_turnover,avg_selected_count
1,112,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.6_as0.05_top5_p0.49_sent1.2_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.49,1.2,False,0.6,0.05,0.001,True,303,147,0.48514851485148514,0.5427929081519962,0.27864357014025165,0.26414933801174456,0.4342084916471407,0.2268225825451804,-0.1709880070136499,-0.13878857107014486,1.551982764626926,1.36395989578361,0.0015598593268501138,0.0008622317269512388,0.5115511551155115,0.14035952256073514,1.900990099009901
1,130,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.6_as0.05_top5_p0.498_sent1.6_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.498,1.6,False,0.6,0.05,0.001,True,303,142,0.46864686468646866,0.5409615434658925,0.27864357014025165,0.2623179733256409,0.432792434411978,0.2268225825451804,-0.179682286192539,-0.13878857107014486,1.5950475815085146,1.36395989578361,0.001546447291703082,0.0008622317269512388,0.5247524752475248,0.1388448936557198,1.834983498349835
1,116,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top5_p0.49_sent1.6_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.49,1.6,True,0.85,0.12,0.001,True,303,114,0.37623762376237624,0.5350953276172374,0.27864357014025165,0.2564517574769858,0.4282546197564101,0.2268225825451804,-0.1284238380331204,-0.13878857107014486,2.0347276618902352,1.36395989578361,0.001481939324730231,0.0008622317269512388,0.49834983498349833,0.2380739005319875,1.3993399339933994
1,98,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top3_p0.5_sent1.2_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,3,0.5,1.2,True,0.85,0.12,0.001,True,303,104,0.3432343234323432,0.5346365666259156,0.27864357014025165,0.255992996485664,0.4278996220015987,0.2268225825451804,-0.15427096745939495,-0.13878857107014486,1.8749532462229273,1.36395989578361,0.0014941046744879006,0.0008622317269512388,0.5016501650165016,0.27149929206330237,0.858085808580858
1,89,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top3_p0.498_sent1.2_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,3,0.498,1.2,False,0.85,0.12,0.001,True,303,138,0.45544554455445546,0.5290000161450841,0.27864357014025165,0.2503564460048324,0.42353649490907075,0.2268225825451804,-0.18696179748037312,-0.13878857107014486,1.6273388088469,1.36395989578361,0.0015104698322173761,0.0008622317269512388,0.5016501650165016,0.30035038381973134,1.1782178217821782
1,142,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.6_as0.05_top5_p0.5_sent1.6_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.5,1.6,False,0.6,0.05,0.001,True,303,141,0.46534653465346537,0.5286983911822798,0.27864357014025165,0.25005482104202814,0.42330293756940085,0.2268225825451804,-0.179682286192539,-0.13878857107014486,1.575157223708718,1.36395989578361,0.0015188673109133553,0.0008622317269512388,0.5247524752475248,0.1377274501029485,1.8085808580858085
1,110,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top5_p0.49_sent1.2_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.49,1.2,True,0.85,0.12,0.001,True,303,113,0.37293729372937295,0.5241555582102424,0.27864357014025165,0.24551198806999075,0.41978434529135544,0.2268225825451804,-0.1284238380331204,-0.13878857107014486,2.0046198442019625,1.36395989578361,0.001458130737175397,0.0008622317269512388,0.49834983498349833,0.23767203216506266,1.386138613861386
1,23,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top1_p0.498_sent1.6_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,1,0.498,1.6,False,0.85,0.12,0.001,True,303,142,0.46864686468646866,0.514990829873613,0.27864357014025165,0.23634725973336135,0.4126805435914511,0.2268225825451804,-0.30133624609313014,-0.13878857107014486,1.2814148768553422,1.36395989578361,0.001559435046122909,0.0008622317269512388,0.504950495049505,0.41398770935339435,0.46864686468646866
1,101,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top3_p0.5_sent1.2_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,3,0.5,1.2,False,0.85,0.12,0.001,True,303,137,0.4521452145214521,0.5117030157888196,0.27864357014025165,0.23305944564856795,0.41013031856816085,0.2268225825451804,-0.18696179748037312,-0.13878857107014486,1.6012272096906621,1.36395989578361,0.0014707087994317504,0.0008622317269512388,0.504950495049505,0.2991037327288752,1.165016501650165
1,119,tech10_sent20_lookback365_hgb100x3_lr0.03,ema_ab0.85_as0.12_top5_p0.49_sent1.6_no_trend_fee0.001,A 股,10,20,365,100,3,0.03,ema,5,0.49,1.6,False,0.85,0.12,0.001,True,303,151,0.49834983498349833,0.5106463130682377,0.27864357014025165,0.23200274292798606,0.4093104786441244,0.2268225825451804,-0.15459380061372252,-0.13878857107014486,1.7416162112978744,1.36395989578361,0.001449461754245496,0.0008622317269512388,0.5082508250825083,0.2605396897284101,1.9504950495049505
