code,name,family_id,display_name,rows,start_date,end_date,csv_path
159393,沪深300ETF万家,CSI_300,沪深300,300,2025-03-10,2026-06-03,data/raw/history/159393_沪深300ETF万家_20050101_20260603_qfq.csv
159673,沪深300ETF鹏华,CSI_300,沪深300,697,2023-07-17,2026-06-03,data/raw/history/159673_沪深300ETF鹏华_20050101_20260603_qfq.csv
159925,沪深300ETF南方,CSI_300,沪深300,640,2023-10-10,2026-06-03,data/raw/history/159925_沪深300ETF南方_20050101_20260603_qfq.csv
510320,沪深300ETF中金,CSI_300,沪深300,267,2025-04-25,2026-06-03,data/raw/history/510320_沪深300ETF中金_20050101_20260603_qfq.csv
510350,沪深300ETF工银,CSI_300,沪深300,1316,2019-08-16,2026-06-03,data/raw/history/510350_沪深300ETF工银_20050101_20260603_qfq.csv
510360,沪深300ETF广发,CSI_300,沪深300,2000,2018-03-06,2026-06-03,data/raw/history/510360_沪深300ETF广发_20050101_20260603_qfq.csv
510370,沪深300ETF兴业,CSI_300,沪深300,1358,2020-10-27,2026-06-03,data/raw/history/510370_沪深300ETF兴业_20050101_20260603_qfq.csv
510380,沪深300ETF国寿,CSI_300,沪深300,1898,2018-02-07,2026-06-03,data/raw/history/510380_沪深300ETF国寿_20050101_20260603_qfq.csv
510390,沪深300ETF平安,CSI_300,沪深300,640,2023-10-12,2026-06-03,data/raw/history/510390_沪深300ETF平安_20050101_20260603_qfq.csv
515130,沪深300ETF博时,CSI_300,沪深300,1471,2020-05-11,2026-06-03,data/raw/history/515130_沪深300ETF博时_20050101_20260603_qfq.csv
515310,沪深300ETF汇添富,CSI_300,沪深300,1558,2019-12-25,2026-06-03,data/raw/history/515310_沪深300ETF汇添富_20050101_20260603_qfq.csv
515330,沪深300ETF天弘,CSI_300,沪深300,1557,2019-12-26,2026-06-03,data/raw/history/515330_沪深300ETF天弘_20050101_20260603_qfq.csv
515350,沪深300ETF民生加银,CSI_300,沪深300,640,2023-10-12,2026-06-03,data/raw/history/515350_沪深300ETF民生加银_20050101_20260603_qfq.csv
515360,沪深300ETF方正富邦,CSI_300,沪深300,640,2023-09-28,2026-06-03,data/raw/history/515360_沪深300ETF方正富邦_20050101_20260603_qfq.csv
515380,沪深300ETF泰康,CSI_300,沪深300,640,2023-10-12,2026-06-03,data/raw/history/515380_沪深300ETF泰康_20050101_20260603_qfq.csv
515390,沪深300ETF华安,CSI_300,沪深300,1547,2020-01-10,2026-06-03,data/raw/history/515390_沪深300ETF华安_20050101_20260603_qfq.csv
515660,沪深300ETF国联安,CSI_300,沪深300,640,2023-10-12,2026-06-03,data/raw/history/515660_沪深300ETF国联安_20050101_20260603_qfq.csv
561000,沪深300增强ETF华安,CSI_300,沪深300,819,2023-01-11,2026-06-03,data/raw/history/561000_沪深300增强ETF华安_20050101_20260603_qfq.csv
561300,沪深300增强ETF国泰,CSI_300,沪深300,1083,2021-12-10,2026-06-03,data/raw/history/561300_沪深300增强ETF国泰_20050101_20260603_qfq.csv
561930,沪深300ETF招商,CSI_300,沪深300,409,2024-09-20,2026-06-03,data/raw/history/561930_沪深300ETF招商_20050101_20260603_qfq.csv
561990,沪深300增强ETF招商,CSI_300,沪深300,1083,2021-12-10,2026-06-03,data/raw/history/561990_沪深300增强ETF招商_20050101_20260603_qfq.csv
562070,沪深300指增ETF华宝,CSI_300,沪深300,103,2025-12-25,2026-06-03,data/raw/history/562070_沪深300指增ETF华宝_20050101_20260603_qfq.csv
563520,沪深300ETF永赢,CSI_300,沪深300,373,2024-11-18,2026-06-03,data/raw/history/563520_沪深300ETF永赢_20050101_20260603_qfq.csv
159922,中证500ETF嘉实,CSI_500,中证500,2261,2014-05-23,2026-06-03,data/raw/history/159922_中证500ETF嘉实_20050101_20260603_qfq.csv
510500,中证500ETF南方,CSI_500,中证500,3208,2013-03-15,2026-06-03,data/raw/history/510500_中证500ETF南方_20050101_20260603_qfq.csv
512500,中证500ETF华夏,CSI_500,中证500,2675,2015-05-29,2026-06-03,data/raw/history/512500_中证500ETF华夏_20050101_20260603_qfq.csv
159337,中证500ETF东财,CSI_500,中证500,409,2024-09-20,2026-06-03,data/raw/history/159337_中证500ETF东财_20050101_20260603_qfq.csv
159500,中证500ETF富国,CSI_500,中证500,181,2025-08-29,2026-06-03,data/raw/history/159500_中证500ETF富国_20050101_20260603_qfq.csv
159610,中证500增强ETF景顺,CSI_500,中证500,1063,2022-01-10,2026-06-03,data/raw/history/159610_中证500增强ETF景顺_20050101_20260603_qfq.csv
159820,中证500ETF天弘,CSI_500,中证500,1398,2020-08-24,2026-06-03,data/raw/history/159820_中证500ETF天弘_20050101_20260603_qfq.csv
159935,中证500ETF景顺,CSI_500,中证500,2000,2017-11-30,2026-06-03,data/raw/history/159935_中证500ETF景顺_20050101_20260603_qfq.csv
159968,中证500ETF博时,CSI_500,中证500,640,2023-10-12,2026-06-03,data/raw/history/159968_中证500ETF博时_20050101_20260603_qfq.csv
159982,中证500ETF鹏华,CSI_500,中证500,1524,2020-02-20,2026-06-03,data/raw/history/159982_中证500ETF鹏华_20050101_20260603_qfq.csv
510510,中证500ETF广发,CSI_500,中证500,3165,2013-05-24,2026-06-03,data/raw/history/510510_中证500ETF广发_20050101_20260603_qfq.csv
510530,中证500ETF工银,CSI_500,中证500,640,2023-10-12,2026-06-03,data/raw/history/510530_中证500ETF工银_20050101_20260603_qfq.csv
510550,中证500ETF方正富邦,CSI_500,中证500,1787,2019-01-16,2026-06-03,data/raw/history/510550_中证500ETF方正富邦_20050101_20260603_qfq.csv
