,Benchmark,Strategy,Bench_Cum,Strat_Cum
2026-01-05,0.019554789094467062,0.0,0.01955478909446695,0.0
2026-01-06,0.017239223248949748,0.0,0.03713112171820243,0.0
2026-01-07,-0.002418000842792506,-0.0003104540773500217,0.03462333779180149,-0.0003104540773499753
2026-01-08,-0.006047547779507043,-0.002383773299219169,0.028366403722712485,-0.002693487324428867
2026-01-09,0.006662053374446947,0.0005829156674819179,0.03521743559280144,-0.0021121417329085235
2026-01-12,0.008321743635972795,0.0016768881489575651,0.043832249699294,-0.0004387954093918456
2026-01-13,-0.005527389568459731,-0.00010328629791499356,0.03806258221108427,-0.0005420363857534527
2026-01-14,-0.002739763370895154,-0.001140727343988978,0.035218536371645515,-0.0016821454140157899
2026-01-15,8.078934461488996e-06,-0.0003100627519643253,0.03522689983435412,-0.001991686595343878
2026-01-16,-0.0036656874589807292,-0.00020681357812487168,0.03143208157043187,-0.002198088265637499
2026-01-19,0.0013303228948977064,-0.00014380846463910648,0.032804219283077085,-0.002341580626577966
2026-01-20,-0.0035402834257588778,-0.000546553481307602,0.02914779962349545,-0.0028868543088423904
2026-01-21,0.0029295658720391304,0.0006737506472467732,0.03216275589455675,-0.0022150486815547543
2026-01-22,-0.0002586837796209329,-0.00019075390100965908,0.03189575213167806,-0.002405380053387418
2026-01-23,-0.0014132353242699708,-2.7089106485101116e-05,0.03043744060380149,-0.0024324040002761116
2026-01-26,0.0015058802862137066,0.0006425485873438087,0.03198915603178332,-0.0017914183506865244
2026-01-27,0.00012953713642185893,0.0,0.03212283695187401,-0.0017914183506865244
2026-01-28,0.004025516791608091,0.0,0.036277664763026074,-0.0017914183506865244
2026-01-29,0.0076052473502880025,0.0,0.04415881272712774,-0.0017914183506865244
2026-01-30,-0.013437413659828867,0.0,0.030128018833957437,-0.0017914183506865244
2026-02-02,-0.02510514857199138,-0.0018623753832662812,0.004266501872959738,-0.0036504574405153978
2026-02-03,0.016514112638140704,0.004377010587486395,0.020851072003601256,0.000710575056104501
2026-02-04,0.00809677872358941,0.0013829528962329984,0.02911667724335354,0.002094510644169434
2026-02-05,-0.008518370841272202,-0.005941834560681189,0.020350279747656908,-0.003859769152245063
2026-02-06,-0.0052179528956029925,0.0,0.01502614005091818,-0.003859769152245063
2026-02-09,0.017089042055591863,0.0023529459888410875,0.032371964445773393,-0.0015159049917484735
2026-02-10,0.0013109989796652594,-9.623236248580691e-05,0.03372540303779692,-0.0016119914751155928
2026-02-11,-0.001410815947945912,-0.0005214461818139267,0.032267006753394334,-0.0021325970901296953
2026-02-12,0.0020334006540756594,0.0,0.0343660191601074,-0.0021325970901296953
2026-02-13,-0.012793192121257915,-0.0008643566897213063,0.02113317595329134,-0.0029951104552896624
2026-02-24,0.009499684675781939,0.0,0.030833619136827473,-0.0029951104552896624
2026-02-25,0.007790096441480626,0.0023880735508409164,0.03886391244502385,-0.0006141894485089949
2026-02-26,-0.0020169533319128047,-0.0008015185196716544,0.03676857241541387,-0.001415215683963078
2026-02-27,-0.00012375173955933572,-0.00013373485196836458,0.03664027050105689,-0.0015487612722714372
2026-03-02,0.0023755272499720037,0.0007251656321125107,0.039102837712050365,-0.0008247187486059016
2026-03-03,-0.01740875558372597,-0.003590966090338818,0.021013350383965124,-0.004412723301884358
2026-03-04,-0.011879642816993621,-0.005581910170338366,0.008884076470021762,-0.009970002047145043
2026-03-05,0.00899937824032035,0.004296567514823506,0.01796340587481171,-0.005716271319240129
2026-03-06,0.00223855866606798,0.0015205264904485356,0.020242176678772816,-0.004204436570759085
2026-03-09,-0.00951604151732316,-0.0018399381598569755,0.010533509767773452,-0.006036638827328744
2026-03-10,0.013122631474512758,0.0022237486019349457,0.02379436860910178,-0.0038263141925464206
2026-03-11,0.004544096408608783,0.0018500735943122169,0.028446588922652172,-0.0019833195610854393
2026-03-12,-0.004466906376878965,-0.002071793863501546,0.023852614296314245,-0.004051004395290936
2026-03-13,-0.004684890983490161,-0.0002570757418120878,0.019055976415174758,-0.004307038722142997
2026-03-16,-0.0018353756527857146,-0.0009925907871301642,0.01718562588723671,-0.005295354382317763
2026-03-17,-0.007738624767288593,-0.004629278932948906,0.009314008009815744,-0.009900119642782146
2026-03-18,0.00401678392605552,0.0032526440090572327,0.013368204293532138,-0.006679677198569989
2026-03-19,-0.016224613888294673,-0.011251981191698164,-0.0030733035478048842,-0.01785649878806317
2026-03-20,-0.006063655967665518,-0.0035266103656832596,-0.009118324060072402,-0.0213201362400256
2026-03-23,-0.03266020946210055,-0.020705897446263576,-0.041480727148427654,-0.04158458113176289
2026-03-24,0.01138114571509971,0.0059680652078667185,-0.030571679633372595,-0.03586469541573245
2026-03-25,0.015643241377924305,0.010591608932959386,-0.015406678419281672,-0.025652951311116223
