Date,Benchmark,Strategy,Bench_Cum,Strat_Cum
2026-04-20,0.0068838812532441285,0.006732736102034367,0.0068838812532441285,0.006732736102034398
2026-04-21,0.0005680521550617021,0.0008558212354720297,0.00745584381188702,0.007594319356035495
2026-04-22,0.00782941203377959,0.007055684660098427,0.015343630718929413,0.014703587138718222
2026-04-23,-0.0034221639962668865,-0.0025456278357160744,0.011868958302044152,0.012120529442297023
2026-04-24,-0.0029703695142667685,-0.0003667786549010959,0.008863333595870992,0.011749305235910334
2026-04-27,0.0005861384216068188,-0.0001073222503023822,0.009454667157841934,0.011640722023730454
2026-04-28,-0.0036502274210975637,0.0,0.005769928051427398,0.011640722023730454
2026-04-29,0.012098081854048518,0.01005094635862061,0.017937814967334154,0.021808668654987207
2026-04-30,0.0021368399395688994,0.006905671696742166,0.020112985146353957,0.028864943857603853
2026-05-06,0.015874057092535754,0.013057117088179684,0.03630631691340436,0.042298953897476066
2026-05-07,0.006111194311025297,0.006878024117851496,0.04263938618180507,0.04946791124039418
2026-05-08,-0.0053221465559734555,-0.009023486497233169,0.03709030656351531,0.03999805171403703
2026-05-11,0.017114833834615675,0.01707957434081547,0.054839934831840464,0.0577607757525902
2026-05-12,-0.0017034824444111714,-0.00246426609588619,0.05304303352119066,0.05515417173534476
2026-05-13,0.010149590673243737,0.005761222028487643,0.06373098927274179,0.06123314919299716
2026-05-14,-0.01744915909563792,-0.017205152648966715,0.04516977800596145,0.04297447086498796
2026-05-15,-0.013251081728832702,-0.014298341248672842,0.03132014785709858,0.0280616659669064
2026-05-18,-0.004887525808056872,-0.0037420414381180746,0.026279544018078083,0.024214616611917483
2026-05-19,0.004870055797476545,0.005161537652644965,0.03127758266125502,0.02950113891994932
2026-05-20,0.0014959877752587596,0.0,0.03282036131781463,0.02950113891994932
2026-05-21,-0.014476477211921468,-0.01629550924809695,0.017868760893188895,0.012724893589752817
2026-05-22,0.011029075516992492,0.012758417751265301,0.029094912323467392,0.025645660849276775
2026-05-25,0.015269736323770896,0.0,0.04480892028678074,0.025645660849276775
2026-05-26,0.0052819787615787156,0.0037285573284246976,0.05032757881364347,0.029469839494403294
2026-05-27,-0.010057329343167795,-0.010581964814246114,0.03976408843530255,0.018576025875545854
2026-05-28,-0.0005213289410322582,0.0003725805407515727,0.039222029324155194,0.018955527482063195
2026-05-29,-0.0049488768995872906,-0.010092614532809028,0.03407904742969059,0.008671602117111599
2026-06-01,-0.0122069204189206,-0.013114245864140828,0.021456126790843078,-0.004556365269228979
2026-06-02,0.012891777661396351,0.013485100276773153,0.03462451206830175,0.008867291964991031
2026-06-03,0.005548084732021705,0.005638694291388857,0.04036469652708341,0.0145559862049629
