Date,Actual_Return,ML_Prob,Target_Position,Executed_Position,B&H_Cum,Dynamic_Weight_Strategy_Cum
2025-11-17,-0.0065388059927893,0.5503811272642366,0.5038112726423661,0.0,-0.006538805992789332,0.0
2025-11-18,-0.0057324057449322,0.7065837888357542,1.0,0.5038112726423661,-0.01223372864868344,-0.0028880506336567136
2025-11-19,0.0029894413674709,0.7046027084983697,1.0,1.0,-0.009280859295713317,9.27570757787155e-05
2025-11-20,-0.0044709010222191,0.5336172472276293,0.3361724722762927,1.0,-0.01371026651462015,-0.004378558654145381
2025-11-21,-0.0239520663633413,0.44373250305138046,0.0,0.3361724722762927,-0.037333943664544234,-0.012395327754288199
2025-11-24,-0.0015336935033373,0.6779775844877938,1.0,0.0,-0.038810378341029295,-0.012395327754288199
2025-11-25,0.0087776394674927,0.670590482865195,1.0,1.0,-0.03037340238221109,-0.003726490004903993
2025-11-26,0.0063084741480585,0.5479794134630931,0.479794134630931,1.0,-0.024256538057869315,0.002558475677295613
2025-11-27,-0.0008646503829112,0.5147688984178123,0.14768898417812262,0.479794134630931,-0.025100215015860683,0.002142560100733659
2025-11-28,0.0028126514593176,0.5577655090749968,0.5776550907499679,0.14768898417812262,-0.022358161712936586,0.002558847752009985
2025-12-01,0.0112188394596632,0.6246272435256084,1.0,0.5776550907499679,-0.011390154880143943,0.009056050397409088
2025-12-02,-0.0044804401258718,0.6107460929112689,1.0,1.0,-0.015819562099050888,0.004535035179954905
2025-12-03,-0.0045006048162814,0.6037535157055952,1.0,1.0,-0.020248969317957832,1.4019962500499972e-05
2025-12-04,0.0025834461859808,0.5882539973547251,0.8825399735472508,1.0,-0.017717835254531522,0.002597502368300031
2025-12-05,0.0088038809098778,0.5507851236595436,0.5078512365954359,0.8825399735472508,-0.00906994005621542,0.010387461207321591
2025-12-08,0.0072371005903666,0.4651841961429433,0.0,0.5078512365954359,-0.0018984795343841565,0.014101009459831726
2025-12-09,-0.005071793633817,0.39192832521001447,0.0,0.0,-0.006960644471784794,0.014101009459831726
2025-12-10,-0.0012743859847468,0.5741326212501032,0.7413262125010324,0.0,-0.008226159908771957,0.014101009459831726
2025-12-11,-0.0072309434186844,0.3800716775116177,0.0,0.7413262125010324,-0.015397620430602887,0.008664933271898878
2025-12-12,0.005569764536619,0.5874330592139108,0.8743305921391078,0.0,-0.009913617014206566,0.008664933271898878
2025-12-15,-0.0057520494607467,0.4246971025441374,0.0,0.8743305921391078,-0.015608642859552657,0.0035921628407518114
