stock_code,stock_name,holder_kind,from_report_date,to_report_date,holder_name,holder_type,status,prev_rank,current_rank,prev_ratio_pct,current_ratio_pct,ratio_delta_pct,prev_hold_num,current_hold_num,hold_num_delta,abs_ratio_delta_pct
300604,长川科技,free,2025-12-31,2026-03-31,赵轶,个人,减持,1.0,1.0,7.230596795804,7.230360439726,-0.0002363560780000995,35390549.0,35390549.0,0.0,0.0002363560780000995
300604,长川科技,free,2025-09-30,2025-12-31,王秀铅,个人,退出,5.0,,1.902377081917,,-1.902377081917,9237195.0,,-9237195.0,1.902377081917
300604,长川科技,free,2025-09-30,2025-12-31,康新明,个人,退出,6.0,,1.889069991098,,-1.889069991098,9172581.0,,-9172581.0,1.889069991098
300604,长川科技,free,2025-09-30,2025-12-31,韩笑,个人,减持,10.0,10.0,1.127562482279,1.041974332147,-0.08558815013199994,5475000.0,5100000.0,-375000.0,0.08558815013199994
300604,长川科技,free,2025-09-30,2025-12-31,赵轶,个人,减持,1.0,1.0,7.288594571626,7.230596795804,-0.05799777582199983,35390549.0,35390549.0,0.0,0.05799777582199983
300604,长川科技,free,2025-09-30,2025-12-31,钟锋浩,个人,减持,8.0,6.0,1.683188614893,1.669794922187,-0.013393692705999882,8172902.0,8172902.0,0.0,0.013393692705999882
300604,长川科技,free,2025-06-30,2025-09-30,王秀铅,个人,新进,,5.0,,1.902377081917,1.902377081917,,9237195.0,9237195.0,1.902377081917
300604,长川科技,free,2025-06-30,2025-09-30,康新明,个人,新进,,6.0,,1.889069991098,1.889069991098,,9172581.0,9172581.0,1.889069991098
300604,长川科技,free,2025-06-30,2025-09-30,韩笑,个人,减持,5.0,10.0,2.315581260777,1.127562482279,-1.1880187784979999,11243552.0,5475000.0,-5768552.0,1.1880187784979999
300604,长川科技,free,2025-06-30,2025-09-30,孙峰,个人,退出,10.0,,0.865401424858,,-0.865401424858,4202049.0,,-4202049.0,0.865401424858
300604,长川科技,free,2025-06-30,2025-09-30,赵轶,个人,不变,2.0,1.0,7.288594571626,7.288594571626,0.0,35390549.0,35390549.0,0.0,0.0
300604,长川科技,free,2025-06-30,2025-09-30,钟锋浩,个人,不变,7.0,8.0,1.683188614893,1.683188614893,0.0,8172902.0,8172902.0,0.0,0.0
300604,长川科技,free,2025-03-31,2025-06-30,韩笑,个人,减持,4.0,5.0,2.423044480957,2.315581260777,-0.1074632201800001,11779052.0,11243552.0,-535500.0,0.1074632201800001
