,Benchmark,Strategy
2024-12-02,0.007611566712484974,0.0
2024-12-03,0.0013167695863304611,0.0
2024-12-04,-0.0047887984682174105,0.0
2024-12-05,-0.001873879699063478,0.0
2024-12-06,0.012171747952619142,0.0
2024-12-09,-0.0005117361621231331,0.0
2024-12-10,0.007567613703032744,-0.00015
2024-12-11,-0.001868609873406868,0.0018365548680988166
2024-12-12,0.009636269853204954,-0.00035205646425100884
2024-12-13,-0.0228551731493951,0.004335904444001843
2024-12-16,-0.006102560484986738,-0.012966740709221188
2024-12-17,0.001535519465967583,-0.00280292580039345
2024-12-18,0.005263864879318514,0.0008245257787884078
2024-12-19,0.0014657824728723928,0.0024018251900531787
2024-12-20,-0.0024743966714850796,0.00040239028059539824
2024-12-23,0.00016093957862250985,-0.0007011229371741854
2024-12-24,0.010910450566740143,-0.0009102134432543637
2024-12-25,0.00012190624828191388,0.005774018535821737
2024-12-26,0.0009709565843950135,-0.00035816637749042947
2024-12-27,-0.0010792456015121937,0.000661473579163024
2024-12-30,0.004242179353221215,-0.0007545580809675766
2024-12-31,-0.016139378418051673,0.0013648401102451572
2025-01-02,-0.028791800469918666,-0.008188747270239927
2025-01-03,-0.011441934044389784,-0.012345745720307343
2025-01-06,-0.004159688070596301,-0.0043639777463843395
2025-01-07,0.007942369594704124,-0.0019665902692752196
2025-01-08,-0.0016903272440827455,0.004145931793464868
2025-01-09,-0.0013314362970642257,-0.0011183712203501465
2025-01-10,-0.01144951187652235,-0.000997789876622531
2025-01-13,-0.0029344942335612634,-0.008366561430910214
2025-01-14,0.025491045915931793,-0.002897548349258154
2025-01-15,-0.0058588835995841415,0.016499783414938
2025-01-16,0.00046060214925150444,-0.0033602395624848388
2025-01-17,0.0038411334320291035,0.00022210153105596374
2025-01-20,0.003980938925867594,0.001823662751729196
2025-01-21,0.0011967035042634577,0.0020305747300228085
2025-01-22,-0.009117384268218842,0.00017621391842387709
2025-01-23,0.001807282871996066,-0.004298301950502762
2025-01-24,0.008590832998144449,0.001063204980573313
2025-01-27,-0.004266051162338191,0.003521556089566057
2025-02-05,-0.005052675218133462,-0.002276454876633788
2025-02-06,0.01340845251364442,-0.002846267022991484
2025-02-07,0.013978102786843055,0.006804604764973424
2025-02-10,0.003111914663108728,0.008065838719475811
2025-02-11,-0.004227441258454423,0.0017563588064757243
2025-02-12,0.009807660659117562,-0.0025308893278338813
2025-02-13,-0.0024968094509976863,0.007326908572108701
2025-02-14,0.007626950324107845,-0.0007143999179930572
2025-02-17,0.0017803983317838112,0.004648590482635667
2025-02-18,-0.008270260852123137,0.0008200997964432821
2025-02-19,0.0064917396106631,-0.0030511170604430233
2025-02-20,-0.0024536964243352666,0.003058346635828478
2025-02-21,0.014413911636886823,-0.002426958021134857
2025-02-24,-0.0033201398295013146,0.007427933615596496
2025-02-25,-0.009938665357501722,-0.0024830895995370554
2025-02-26,0.008230835531556402,-0.006865163505609656
2025-02-27,0.0016982169020381827,0.005816503148290373
2025-02-28,-0.018879723607617582,0.0020217352426880205
2025-03-03,-0.00263330644102773,-0.011580497224435781
2025-03-04,-0.0004912336751062146,-0.002301053389224466
2025-03-05,0.004544622052844782,-0.0006921346052050185
2025-03-06,0.014868446397637708,0.002095747227783135
2025-03-07,-0.0021659650674315106,0.007183076715109185
2025-03-10,-0.0035210906504992145,-0.0009105008122446405
2025-03-11,0.0023071279532619615,-0.0020147579517961626
2025-03-12,-0.0017875376969338636,0.0010924785324327902
2025-03-13,-0.00525466576842866,-0.0011334917403170934
2025-03-14,0.024260103965812824,-0.003529710893419139
2025-03-17,-0.0022510578565302086,0.01794498996610077
2025-03-18,0.0030215119239190846,-0.0019053124818765076
2025-03-19,0.0005014670635118124,0.0016561033280203445
2025-03-20,-0.008859952990720066,0.0003529458412846588
2025-03-21,-0.016112599673059586,-0.004508060295168006
2025-03-24,0.004142683177166456,-0.009177011246042036
2025-03-25,0.00027619942910028783,0.002324511932654522
2025-03-26,-0.004349396942277595,-6.223370460362978e-05
2025-03-27,0.003270562222122936,-0.003008654611276841
2025-03-28,-0.00449402627983847,0.0018048045791596602
2025-03-31,-0.0065822312399329425,-0.0033225458877606676
2025-04-01,-0.0003823069062910134,-0.005229883127633397
2025-04-02,-0.0008030696017946731,-0.00040752681557732124
2025-04-03,-0.005603846302162027,-0.0006125333927874454
2025-04-07,-0.07739905377470928,-0.003533287026822356
2025-04-08,0.01746322233121081,-0.03895339206573082
2025-04-09,0.011252241948405906,0.00796154125976971
2025-04-10,0.016318855948485783,0.0037018132043262083
2025-04-11,0.004864231936456603,0.004968971235565575
2025-04-14,0.002701046613737823,0.0012022755085338926
2025-04-15,-0.00018874683308291174,0.0009721732111946228
2025-04-16,0.002391370605502874,3.18094121842203e-05
2025-04-17,0.00014484223094901605,0.0013496278473533602
2025-04-18,0.002579501871631612,-6.871814936106825e-05
2025-04-21,0.0021830896542157086,0.0010464204972949647
2025-04-22,0.0002896203782869339,0.00041410131750244187
2025-04-23,0.001417188827440824,9.445474143416238e-05
2025-04-24,-0.0006625174781747512,0.0002525782856383589
2025-04-25,-0.00019979920748584845,-0.00012700752028575233
2025-04-28,-0.0012421621489338286,-8.58569256929556e-05
2025-04-29,-0.0015407577830942876,-0.00024117756912290245
2025-04-30,-0.00020005129441627578,-0.00024944770672927186
2025-05-06,0.011279115060569972,-9.247219940903458e-05
2025-05-07,0.0054121557751609095,0.0016482536328985631
2025-05-08,0.006184354329080821,0.0015817004812611233
2025-05-09,-0.0021042110574184397,0.000840078135110218
2025-05-12,0.01086023387044091,-6.647805378041623e-05
2025-05-13,0.0012642758915173136,0.0010776734711524173
2025-05-14,0.011384466517906783,0.0001868284529064114
2025-05-15,-0.008371435208105002,0.0048113303121216046
2025-05-16,-0.005255090591212333,-0.0024461192996208794
2025-05-19,-0.0013598562097612843,-0.002355919308213517
2025-05-20,0.005178729728612663,-0.001130170047202844
2025-05-21,0.004066160685774783,0.0027677303861342647
2025-05-22,-0.0011389642848018272,0.0025536179340875146
2025-05-23,-0.0075411005782323876,-0.0011866146208315898
2025-05-26,-0.004726091886573927,-0.005890212739696016
2025-05-27,-0.005307712029856679,-0.0037971150823025213
2025-05-28,-0.0015656765376158704,-0.0036567217025996706
2025-05-29,0.006823669276464245,-0.0014274169360036866
2025-05-30,-0.002969676374829089,0.005514128944891116
2025-06-03,-0.0007298190919385744,-0.002209734056959471
2025-06-04,0.004167822750374722,-0.0007089722250710961
2025-06-05,0.0025016921754638793,0.001983836846163382
2025-06-06,0.0008310042123499395,0.000990455612868151
2025-06-09,0.0025743132202506736,0.0002452851654685446
2025-06-10,-0.005953024352320951,0.0007701054614925205
2025-06-11,0.00767360997910721,-0.0015547553449054828
2025-06-12,0.000517966085814392,0.001557949905889756
2025-06-13,-0.006091271144453431,9.028125967874397e-05
2025-06-16,0.002542251556793773,-0.0009438093524054709
2025-06-17,-0.00067593906152566,0.000786242228770021
2025-06-18,0.00014071840866125562,-0.00025903124780738015
2025-06-19,-0.007834942211532483,-8.963310203047797e-05
2025-06-20,0.0005183557584458737,-0.00248130828864265
2025-06-23,0.0044234299515589215,1.5412467171615135e-05
2025-06-24,0.01183305915061078,0.0019437428257573384
2025-06-25,0.015154940366082642,0.006480022223902054
2025-06-26,-0.002845050908497654,0.0093318516797985
2025-06-27,-0.005428020019169311,-0.0018503293628938562
2025-06-30,0.0072518518775762375,-0.004074520191846698
2025-07-01,4.146452908901366e-05,0.006544418423446416
2025-07-02,-0.00014589170342166335,-0.0005065025576106633
2025-07-03,0.005777339411152688,-0.00015016151644246713
2025-07-04,0.0027305536344256753,0.004637256994073292
2025-07-07,-0.0039698464708096265,0.0027479444232359923
2025-07-08,0.008776306557280428,-0.0037444833532519727
2025-07-09,-0.0009150055032301485,0.0075812316938014416
2025-07-10,0.004825120472094269,-0.0007887242424365314
2025-07-11,0.0037884191511710352,0.0037237312072474597
2025-07-14,-0.0003001110600406448,0.0029880178662863572
2025-07-15,5.600947091916053e-05,-0.00034969264213637985
2025-07-16,-0.002218239693767138,-9.764606118178252e-05
2025-07-17,0.008853107971420332,-0.0012137164414627532
2025-07-18,0.007119312047659143,0.0037084410213319226
2025-07-21,0.005791851229346862,0.003364198110167576
2025-07-22,0.009542068328146774,0.003648371629787788
2025-07-23,-0.0006720350641097605,0.006083489855061104
2025-07-24,0.007586019256921928,-0.0010739270190855824
2025-07-25,-0.00416903980121254,0.006281972182136513
2025-07-28,0.0032497545984484233,-0.0029646178164258246
2025-07-29,0.004562334414987351,0.0019857552107834654
2025-07-30,-0.0011574952619873985,0.002816806772875647
2025-07-31,-0.01728498792059721,-0.0012217713975673484
2025-08-01,-0.004978719619483429,-0.009770525260221027
2025-08-04,0.0040985040726426725,-0.0021785423685118737
2025-08-05,0.007330666009066511,0.0021129739936905337
2025-08-06,0.0033525333621297893,0.003276508819919588
2025-08-07,-0.00026399051699471654,0.0013844900919754162
2025-08-08,-0.002475569844933745,-0.00018804078310324167
2025-08-11,0.006219240796923042,-0.0007079541771628499
2025-08-12,0.003950634853296359,0.0016725483860982255
2025-08-13,0.008598082981559646,0.0006443207599554148
2025-08-14,-0.0013248661328490174,0.001646604714607655
2025-08-15,0.009635304852657456,-0.0011714035287697315
2025-08-18,0.007978359298851462,0.004597726241341278
2025-08-19,-0.00619469778432391,0.004493021556296458
2025-08-20,0.0133460404952149,-0.0035532870937439328
2025-08-21,0.0024244972984105995,0.008670953608401857
2025-08-22,0.023567983926503527,0.001207786274677368
2025-08-25,0.020104116095880004,0.017049024526134333
2025-08-26,-0.0040191992519743175,0.012647060777257092
2025-08-27,-0.014780440984871496,-0.0020795024905914724
2025-08-28,0.01815721358049721,-0.006612875448271109
2025-08-29,0.00989986105279858,0.006980124999083523
2025-09-01,0.004169675687859531,0.0033508433944916868
2025-09-02,-0.006312428282475455,0.0012202668284329607
2025-09-03,-0.009694747806083148,-0.0017847531035611744
2025-09-04,-0.021697845594505702,-0.0019157286444473137
2025-09-05,0.02368178531923104,-0.003838448501915069
2025-09-08,0.001931144058470835,0.003552942892508171
2025-09-09,-0.0059881231842325855,0.0005542622318264642
