Date,Actual_Return,ML_Signal,ML_Signal_Delayed,B&H_Cum,ML_Strategy_Cum
2025-11-17,-0.0065388059927893,1,0.0,-0.006538805992789332,0.0
2025-11-18,-0.0057324057449322,1,1.0,-0.01223372864868344,-0.0057324057449321675
2025-11-19,0.0029894413674709,1,1.0,-0.009280859295713317,-0.002760101068330245
2025-11-20,-0.0044709010222191,0,1.0,-0.01371026651462015,-0.007218661951861605
2025-11-21,-0.0239520663633413,0,0.0,-0.037333943664544234,-0.007218661951861605
2025-11-24,-0.0015336935033373,1,0.0,-0.038810378341029295,-0.007218661951861605
2025-11-25,0.0087776394674927,1,1.0,-0.03037340238221109,0.0014956147035800615
2025-11-26,0.0063084741480585,0,1.0,-0.024256538057869315,0.007813523898331676
2025-11-27,-0.0008646503829112,0,0.0,-0.025100215015860683,0.007813523898331676
2025-11-28,0.0028126514593176,1,0.0,-0.022358161712936586,0.007813523898331676
2025-12-01,0.0112188394596632,1,1.0,-0.011390154880143943,0.019120022028224604
2025-12-02,-0.0044804401258718,1,1.0,-0.015819562099050888,0.01455391578845
2025-12-03,-0.0045006048162814,1,1.0,-0.020248969317957832,0.009987809548675397
2025-12-04,0.0025834461859808,1,1.0,-0.017717835254531522,0.012597058703140984
2025-12-05,0.0088038809098778,1,1.0,-0.00906994005621542,0.02151184261765593
2025-12-08,0.0072371005903666,0,1.0,-0.0018984795343841565,0.028904626576930603
2025-12-09,-0.005071793633817,0,0.0,-0.006960644471784794,0.028904626576930603
2025-12-10,-0.0012743859847468,1,0.0,-0.008226159908771957,0.028904626576930603
2025-12-11,-0.0072309434186844,0,1.0,-0.015397620430602887,0.02146467543893027
2025-12-12,0.005569764536619,1,0.0,-0.009913617014206566,0.02146467543893027
2025-12-15,-0.0057520494607467,0,1.0,-0.015608642859552657,0.015589160103399946
2025-12-16,-0.0100707038444068,1,0.0,-0.025522156684307795,0.015589160103399946
2025-12-17,0.0170995533473534,1,1.0,-0.008859020816717189,0.03295528112558199
2025-12-18,-0.0065970429547506,0,1.0,-0.015397620430602887,0.026140830765660095
2025-12-19,0.0042844584442849,1,0.0,-0.01117913245119373,0.026140830765660095
2025-12-22,0.0089589679268948,1,1.0,-0.0023203180133796186,0.03533399355696698
2025-12-23,0.002114201203567,0,1.0,-0.0002110224289491036,0.03752289793223906
2025-12-24,0.0035864870901327,1,0.0,0.0033747078319665835,0.03752289793223906
2025-12-25,0.0018918885842582,0,1.0,0.00527298098744744,0.03948577565874367
2025-12-26,0.0037768374975479,0,0.0,0.009069733677312675,0.03948577565874367
2025-12-29,-0.0043895947634512,1,0.0,0.004640326458405619,0.03948577565874367
2025-12-30,0.0020994502603872,1,1.0,0.006749518853384373,0.04166812434111922
2025-12-31,-0.0041902061043085,1,1.0,0.002531030873975215,0.03730332020784144
2026-01-05,0.0191458112915305,1,1.0,0.02172530080499202,0.05716333382861882
2026-01-06,0.0154830842469451,1,1.0,0.037544759714591036,0.07353148278906874
2026-01-07,-0.0036592633376683,0,1.0,0.03374811021417745,0.06960314839226611
2026-01-08,-0.0077535722581526,0,0.0,0.02573286954490306,0.06960314839226611
2026-01-09,0.0045240137911499,1,0.0,0.030373299192760106,0.06960314839226611
2026-01-12,0.0057318498931122,0,1.0,0.03627924427760387,0.07573395308405084
2026-01-13,-0.0034602965080778,0,0.0,0.032693410827236535,0.07573395308405084
2026-01-14,-0.0061273562008292,0,0.0,0.026365730452848846,0.07573395308405084
2026-01-15,0.0018495094868797,0,0.0,0.028264003608329702,0.07573395308405084
2026-01-16,-0.0032820472267579,0,0.0,0.024889192586912134,0.07573395308405084
2026-01-19,0.0004222666840647,0,0.0,0.025321969147799717,0.07573395308405084
2026-01-20,-0.0029548204332676,0,0.0,0.022292326842683563,0.07573395308405084
2026-01-21,0.001270118965017,0,0.0,0.02359075971479796,0.07573395308405084
2026-01-22,-0.0006342034989764,0,0.0,0.02294159487346703,0.07573395308405084
2026-01-23,-0.0048657159245043,0,0.0,0.017964251665453235,0.07573395308405084
2026-01-26,0.0017006583779042,1,0.0,0.01969546109845499,0.07573395308405084
2026-01-27,-0.0004244174632505,1,1.0,0.01926268453756763,0.07527739280855039
2026-01-28,0.0031846850029957,1,1.0,0.022508715123127576,0.07870181259548814
2026-01-29,0.0091005761101248,1,1.0,0.03181413350837148,0.08851862054114301
2026-01-30,-0.0119547312735661,0,1.0,0.019479072818011423,0.07550567294630084
2026-02-02,-0.0235618895869432,0,0.0,-0.0045417805319257765,0.07550567294630084
2026-02-03,0.0139130719622959,1,0.0,0.009308101310992578,0.07550567294630084
2026-02-04,0.0092194991635412,0,1.0,0.018613416506784608,0.08542129659841313
2026-02-05,-0.0059485615563673,1,0.0,0.012554131896552523,0.08542129659841313
2026-02-06,-0.0064115694821766,1,1.0,0.006062070725432855,0.07846204253783817
2026-02-09,0.0167778158417832,1,1.0,0.022941594873467253,0.09655628007989137
2026-02-10,0.0012692119366042,1,1.0,0.024239924556129555,0.09794804239972699
2026-02-11,-0.0021127725467517,0,1.0,0.022075938562240438,0.09562832791798503
2026-02-12,0.0008469588986164,0,0.0,0.022941594873467475,0.09562832791798503
2026-02-13,-0.0118468859518959,1,0.0,0.010822922463550988,0.09562832791798503
2026-02-24,0.0096339276936834,1,1.0,0.020561117409682694,0.10618353200829822
2026-02-25,0.007209482466882,1,1.0,0.0279188348920294,0.11415854278746562
2026-02-26,-0.0031578666285464,0,1.0,0.024672804306469454,0.11064017870628717
2026-02-27,-0.0021119806969073,1,0.0,0.022508715123128242,0.11064017870628717
2026-03-02,0.0029629501052725,1,1.0,0.025538357428244396,0.11393095014070487
2026-03-03,-0.0128718869621206,0,1.0,0.012337743616109176,0.09959255686688606
2026-03-04,-0.0145360923836832,1,0.0,-0.00237769134858401,0.09959255686688606
2026-03-05,0.0095443971066642,1,1.0,0.007144012127652255,0.11008750488515595
2026-03-06,0.0027932986651324,0,1.0,0.009957266152324618,0.11318831083073189
2026-03-09,-0.0081421965856537,0,0.0,0.0017339955482029712,0.11318831083073189
2026-03-10,0.0116655646224543,1,0.0,0.013419788207780003,0.11318831083073189
2026-03-11,0.0059790470649365,0,1.0,0.01947907281801231,0.11984411613332613
2026-03-12,-0.0036086178068668,0,0.0,0.015800162482113134,0.11984411613332613
2026-03-13,-0.0036215855069939,1,0.0,0.012121355335665829,0.11984411613332613
2026-03-16,0.0006413903213373,1,1.0,0.01277052017699698,0.12056237331082054
2026-03-17,-0.0072649404142023,1,1.0,0.005412802694650498,0.11242155443832025
2026-03-18,0.0034438810070605,1,1.0,0.008875324750106106,0.11625260190149511
2026-03-19,-0.0135135563612398,1,1.0,-0.004758168812368568,0.10116805945231855
2026-03-20,-0.0050010357910924,0,1.0,-0.009735408830930159,0.09566107857498984
2026-03-23,-0.0319056771129011,0,0.0,-0.041330471133109614,0.09566107857498984
2026-03-24,0.0110610079261532,1,0.0,-0.030726619875751315,0.09566107857498984
2026-03-25,0.0145121803732595,1,1.0,-0.01666034975238928,0.11156150977523027
2026-03-26,-0.0123239944681015,1,1.0,-0.028779022162305656,0.09786263187780575
2026-03-27,0.0044563238191852,1,1.0,-0.024450946985075106,0.10275506327443629
2026-03-30,-0.0017746000856149,1,1.0,-0.026182156418076974,0.10079811404473715
2026-03-31,-0.0082222620646158,1,1.0,-0.03418914193120659,0.0917470634708264
2026-04-01,0.0159086045338101,1,1.0,-0.01882443893573027,0.10911523575453241
2026-04-02,-0.0099250280302218,1,1.0,-0.028562633881861754,0.09810723595092274
2026-04-03,-0.0077968029921028,1,1.0,-0.03613673964465214,0.08954551016801071
