family_id,horizon_days,etf_count,observations,win_rate,avg_forward_return,median_forward_return,volatility,sharpe_like,best_forward_return,worst_forward_return,positive_avg_return,negative_avg_return
ALL,5,33,37835,0.5458966565349544,0.002933816076756123,0.003336510962821837,0.037925439775916524,0.549183558526899,0.3630406290956749,-0.30203045685279184,0.02604765770861155,-0.024852301440521217
ALL,20,33,37340,0.5487948580610605,0.012002615072444935,0.007687345468941564,0.07600571010057414,0.5605507397835507,0.4594137542277339,-0.46749654218533887,0.06012340517203649,-0.04652606671297946
ALL,60,33,36020,0.5728484175458078,0.03499732731738355,0.015098685334458128,0.13438925569275992,0.5336972633902641,0.849754624386561,-0.49143017701601577,0.11483368786421215,-0.0720703617196151
ALL,120,32,34057,0.6172886631235869,0.07203951578994053,0.05492780916509732,0.19385873414578697,0.5385115963565569,1.446306641837368,-0.5037821482602118,0.1778916316502897,-0.09869310901688168
ALL,250,32,29897,0.6384921564036525,0.13533212910831632,0.11205673758865231,0.294648390628535,0.4611339603348025,2.395262768319763,-0.49247648902821317,0.2863812710343931,-0.13144961314065476
CSI_1000,5,5,5396,0.5220533728687917,0.0018250319594420668,0.0015664822489372954,0.03752483222237393,0.34527647019814994,0.35553224960671215,-0.1824758842443731,0.026621436554624636,-0.02525967984537736
CSI_1000,20,5,5321,0.49332832174403307,0.0076365717336681176,-0.0007952286282306709,0.07606994463481492,0.3563449496062896,0.37703703703703684,-0.2560289389067524,0.0636367888318014,-0.046888862199046984
CSI_1000,60,5,5121,0.5041983987502441,0.02275574588317657,0.0016273393002441683,0.12613443163879864,0.369727765334257,0.46395881006865003,-0.38404998162440285,0.11484201369119132,-0.07089007667700228
CSI_1000,120,5,4821,0.5532047293092719,0.048163004095987394,0.0318322981366459,0.1620870330730365,0.4306009088763581,0.5022865853658536,-0.5037821482602118,0.16673373272250697,-0.09864671421734954
CSI_1000,250,5,4171,0.5984176456485255,0.09978813842076972,0.07884187082405347,0.25955498937091276,0.3859933345512337,0.7537399309551209,-0.38166231830041,0.27384459771644815,-0.15958196450580542
CSI_2000,5,5,3052,0.5655307994757536,0.005333448925415975,0.006805036514265339,0.0436306337416422,0.8678244615566806,0.3630406290956749,-0.21892816419612304,0.03170007077422228,-0.02898690500447821
CSI_2000,20,5,2977,0.603963721867652,0.023071351879566594,0.019476158495634666,0.08679466150159808,0.943550831782216,0.37907608695652173,-0.2956431535269709,0.07427522919129376,-0.05501564676885194
CSI_2000,60,5,2777,0.7090385307886208,0.06602135911641982,0.04955527318932651,0.14519686679725718,0.9318625550127525,0.5435073627844713,-0.34899328859060397,0.13031666431870023,-0.09065866061537486
CSI_2000,120,5,2477,0.7993540573274122,0.14943558371724666,0.1771689497716895,0.18449822133665142,1.1737388725184212,0.654292343387471,-0.2579365079365079,0.22234155589917076,-0.14101476823488554
CSI_2000,250,5,1827,0.9551176792556103,0.3949730789012387,0.38584905660377355,0.2472731213945609,1.6036915851268485,1.0225118483412325,-0.10327198364008183,0.4153044042927183,-0.03768744314915107
CSI_300,5,5,10633,0.5374776638766106,0.0031184838364089673,0.0028694404591105283,0.03993638766595123,0.5543575748358839,0.30924479166666674,-0.2836676217765043,0.02749194278773815,-0.025204882960428422
CSI_300,20,5,10558,0.5503883311233189,0.012522761816210487,0.008522940294310555,0.07946439170151016,0.5593875930321638,0.4594137542277339,-0.4000889086463658,0.062032139337668456,-0.048083724970642734
CSI_300,60,5,10358,0.5740490442170303,0.037830755450166516,0.017726893658719822,0.14618569705916074,0.5303526902225377,0.7226233453670277,-0.48618406028773686,0.12381919688863677,-0.07805484581754518
CSI_300,120,5,10058,0.5973354543646848,0.07866097770932598,0.043644240526639844,0.23410993703175909,0.48691049925608837,1.446306641837368,-0.3555359505955006,0.19915992220905876,-0.10009399971151219
CSI_300,250,5,9408,0.6328656462585034,0.1421845886585103,0.11592923749952033,0.33086142636475685,0.4314561405122591,2.395262768319763,-0.4735799207397622,0.2938781243500744,-0.11930449979185821
CSI_500,5,5,11582,0.5456743222241409,0.0023087340888873252,0.0033235502799969785,0.04002351183230332,0.409518938519389,0.3503618561089825,-0.30203045685279184,0.02710357482036499,-0.027471462304677646
CSI_500,20,5,11507,0.537933431824107,0.009575391774114093,0.0060975609756097615,0.08138354389342459,0.4176430195589335,0.40251384108933097,-0.46749654218533887,0.062320058697485956,-0.05182943956981515
CSI_500,60,5,11307,0.5353320951622889,0.027829202677558527,0.0069892473118278176,0.14475566561589118,0.3939942087649081,0.849754624386561,-0.49143017701601577,0.12095967669957366,-0.0794640518438076
CSI_500,120,5,11007,0.5722721904242755,0.05202467054431978,0.02826048797612768,0.19445306988879005,0.3877074820085338,1.2375523499302004,-0.39992902767920513,0.17199704358405424,-0.10849061785357471
CSI_500,250,5,10357,0.5616491261948441,0.0907986707379114,0.04530011325028327,0.2927850200670882,0.3113586272334534,2.2587389741914405,-0.49247648902821317,0.27027830926506147,-0.13916455774500314
CSI_800,5,3,3279,0.5385788350106739,0.0026942509619959794,0.002666666666666595,0.030171465602956755,0.6339527760414424,0.34611786716557535,-0.1994970662196145,0.021292841879146977,-0.019014348879173
CSI_800,20,3,3234,0.5451453308596166,0.010775554982982879,0.005960226012292291,0.057350661146612,0.6669395788502012,0.35754716981132084,-0.176068376068376,0.04834032075459922,-0.03424598278408689
CSI_800,60,3,3114,0.5661528580603725,0.030734935847961484,0.011104751303687155,0.09707206677082668,0.6488774472526996,0.36516264428121725,-0.2187499999999999,0.09274677429454875,-0.050187988786630174
CSI_800,120,3,2934,0.601908657123381,0.060411027851450506,0.03511209544997096,0.13079665548031336,0.669312958351353,0.43237250554323725,-0.2405172413793103,0.14262499173532742,-0.06389535932228803
CSI_800,250,3,2544,0.5845125786163522,0.09796523206568804,0.09727775942195649,0.19926339879662697,0.49359949185539753,0.6592178770949721,-0.24809424809424818,0.2391768486015199,-0.10069292667488143
CSI_A50,5,5,1966,0.5600203458799593,0.0038067736127634696,0.0035723902759007276,0.02747390022977773,0.9836758328865454,0.29508196721311486,-0.10840534171249006,0.018610584476190063,-0.015035996052707837
CSI_A50,20,5,1891,0.5806451612903226,0.01536634452323755,0.010041841004184038,0.0500292071469634,1.0902653712702741,0.313929313929314,-0.08576480990274093,0.04336482049275988,-0.023400776049947218
CSI_A50,60,5,1691,0.6824364281490243,0.04293835147835419,0.0205357142857141,0.07629771610240098,1.1533429728870173,0.30041152263374493,-0.10047468354430378,0.07690978051224565,-0.030065427115893006
CSI_A50,120,4,1408,0.8465909090909091,0.09833632773109474,0.10959261382065055,0.08022877132591273,1.7762066518495794,0.27419354838709675,-0.10761979575805192,0.1217914530036163,-0.03110121543948716
