date,action,rank,code,name,family_id,close,prediction,actual_forward_return,round_trip_cost_bps,net_forward_return,win,holding_horizon_days
2026-03-03,BUY,1,159800,中证800ETF鹏华,CSI_800,1.432,0.012487448184890317,0.012569832402234749,10.0,0.011569832402234748,True,5
2026-03-03,BUY,2,510500,中证500ETF南方,CSI_500,8.375,0.01070787546622007,0.01265671641791033,10.0,0.011656716417910329,True,5
2026-03-03,BUY,3,512500,中证500ETF华夏,CSI_500,4.629,0.009921625735625376,0.013825880319723538,10.0,0.012825880319723537,True,5
2026-03-03,BUY,4,512100,中证1000ETF南方,CSI_1000,3.268,0.009739576748010166,0.023255813953488413,10.0,0.022255813953488413,True,5
2026-03-03,BUY,5,159531,中证2000ETF南方,CSI_2000,1.494,0.009522711121994641,0.04417670682730934,10.0,0.04317670682730934,True,5
2026-03-04,BUY,1,512500,中证500ETF华夏,CSI_500,4.598,0.011340047618607305,0.018703784254023637,10.0,0.017703784254023636,True,5
2026-03-04,BUY,2,510500,中证500ETF南方,CSI_500,8.317,0.009038170173494722,0.018155584946495162,10.0,0.01715558494649516,True,5
2026-03-04,BUY,3,563360,中证A500ETF华泰柏瑞,CSI_A500,1.292,0.0077858549791528335,0.023219814241486114,10.0,0.022219814241486113,True,5
2026-03-04,BUY,4,159627,中证A100ETF华夏,CSI_A100,1.294,0.0074854207149301355,0.026275115919629055,10.0,0.025275115919629054,True,5
2026-03-04,BUY,5,159352,中证A500ETF,CSI_A500,1.273,0.007441505850761678,0.021995286724273422,10.0,0.02099528672427342,True,5
2026-03-05,BUY,1,159136,中证A50ETF广发,CSI_A50,0.988,0.021074979688354183,0.014170040485830038,10.0,0.013170040485830037,True,5
2026-03-05,BUY,2,159627,中证A100ETF华夏,CSI_A100,1.306,0.007611002667278114,0.009188361408882129,10.0,0.008188361408882128,True,5
2026-03-05,BUY,3,512500,中证500ETF华夏,CSI_500,4.637,0.007401127584462342,0.005822730213500105,10.0,0.004822730213500105,True,5
2026-03-05,BUY,4,563360,中证A500ETF华泰柏瑞,CSI_A500,1.306,0.007353106609184313,0.006891271056661541,10.0,0.005891271056661541,True,5
2026-03-05,BUY,5,159352,中证A500ETF,CSI_A500,1.287,0.007068782563900379,0.00543900543900544,10.0,0.00443900543900544,True,5
2026-03-06,BUY,1,512100,中证1000ETF南方,CSI_1000,3.3,0.007582685663863772,-0.0027272727272726893,10.0,-0.0037272727272726893,False,5
2026-03-06,BUY,2,510500,中证500ETF南方,CSI_500,8.421,0.007054625803565804,-0.013062581641135163,10.0,-0.014062581641135163,False,5
2026-03-06,BUY,3,563360,中证A500ETF华泰柏瑞,CSI_A500,1.31,0.0068046153492465206,-0.0022900763358779663,10.0,-0.0032900763358779664,False,5
2026-03-06,BUY,4,159531,中证2000ETF南方,CSI_2000,1.537,0.006720915662056238,-0.014313597918022114,10.0,-0.015313597918022115,False,5
2026-03-06,BUY,5,159352,中证A500ETF,CSI_A500,1.288,0.005825944148522014,-0.0007763975155280489,10.0,-0.001776397515528049,False,5
2026-03-09,BUY,1,510500,中证500ETF南方,CSI_500,8.356,0.011103038408784452,-0.011608425083772134,10.0,-0.012608425083772135,False,5
2026-03-09,BUY,2,159800,中证800ETF鹏华,CSI_800,1.435,0.010471261364032201,0.0,10.0,-0.001,False,5
2026-03-09,BUY,3,512500,中证500ETF华夏,CSI_500,4.621,0.010202740417019152,-0.010387362042847847,10.0,-0.011387362042847848,False,5
2026-03-09,BUY,4,563360,中证A500ETF华泰柏瑞,CSI_A500,1.296,0.009833978095650574,0.006172839506172867,10.0,0.005172839506172867,True,5
2026-03-09,BUY,5,159352,中证A500ETF,CSI_A500,1.276,0.009821378200952581,0.005485893416927734,10.0,0.004485893416927734,True,5
2026-03-17,BUY,1,159531,中证2000ETF南方,CSI_2000,1.483,0.008784880161007334,-0.05866486850977759,10.0,-0.05966486850977759,False,5
2026-03-17,BUY,2,159352,中证A500ETF,CSI_A500,1.268,0.006409147405700205,-0.04022082018927442,10.0,-0.04122082018927442,False,5
2026-03-17,BUY,3,563360,中证A500ETF华泰柏瑞,CSI_A500,1.288,0.006197446034012287,-0.03804347826086951,10.0,-0.03904347826086951,False,5
2026-03-17,BUY,4,512500,中证500ETF华夏,CSI_500,4.472,0.005681258403876384,-0.051878354203935606,10.0,-0.05287835420393561,False,5
2026-03-17,BUY,5,510500,中证500ETF南方,CSI_500,8.078,0.005546398546820359,-0.05273582569943047,10.0,-0.05373582569943047,False,5
2026-03-18,BUY,1,159531,中证2000ETF南方,CSI_2000,1.502,0.006614638123610443,-0.04926764314247678,10.0,-0.05026764314247678,False,5
2026-03-18,BUY,2,563360,中证A500ETF华泰柏瑞,CSI_A500,1.296,0.006141136988018696,-0.03009259259259267,10.0,-0.03109259259259267,False,5
2026-03-18,BUY,3,159352,中证A500ETF,CSI_A500,1.277,0.006125026993349158,-0.030540328895849567,10.0,-0.03154032889584957,False,5
2026-03-19,BUY,1,159352,中证A500ETF,CSI_A500,1.251,0.005275230469789212,-0.023181454836130988,10.0,-0.02418145483613099,False,5
2026-03-19,BUY,2,159531,中证2000ETF南方,CSI_2000,1.469,0.005128666291073591,-0.04084411164057189,10.0,-0.04184411164057189,False,5
2026-03-20,BUY,1,159531,中证2000ETF南方,CSI_2000,1.432,0.010138532370407996,0.0013966480446927498,10.0,0.0003966480446927498,True,5
2026-03-20,BUY,2,512100,中证1000ETF南方,CSI_1000,3.117,0.006323912835127441,-0.0035290343278794323,10.0,-0.004529034327879432,False,5
2026-03-20,BUY,3,510500,中证500ETF南方,CSI_500,7.812,0.0061162066638530245,-0.0011520737327189723,10.0,-0.0021520737327189723,False,5
2026-03-20,BUY,4,512500,中证500ETF华夏,CSI_500,4.322,0.006038215563531185,0.0004627487274408981,10.0,-0.0005372512725591019,False,5
2026-03-20,BUY,5,159352,中证A500ETF,CSI_A500,1.243,0.005764505917483724,-0.007240547063556035,10.0,-0.008240547063556036,False,5
2026-03-23,BUY,1,159531,中证2000ETF南方,CSI_2000,1.357,0.02120040144019347,0.06042741341193825,10.0,0.059427413411938246,True,5
2026-03-23,BUY,2,512100,中证1000ETF南方,CSI_1000,2.967,0.017130120264939267,0.04785979103471516,10.0,0.04685979103471516,True,5
2026-03-23,BUY,3,159845,中证1000ETF华夏,CSI_1000,3.06,0.015130984220048438,0.04542483660130703,10.0,0.04442483660130703,True,5
2026-03-23,BUY,4,512500,中证500ETF华夏,CSI_500,4.159,0.013651275394956131,0.04087521038711217,10.0,0.03987521038711217,True,5
2026-03-23,BUY,5,510500,中证500ETF南方,CSI_500,7.512,0.013324709952158353,0.04073482428115027,10.0,0.03973482428115027,True,5
2026-03-24,BUY,1,159531,中证2000ETF南方,CSI_2000,1.396,0.013435728202108841,0.015042979942693435,10.0,0.014042979942693434,True,5
2026-03-24,BUY,2,159800,中证800ETF鹏华,CSI_800,1.365,0.013156555165314176,0.0,10.0,-0.001,False,5
2026-03-24,BUY,3,512100,中证1000ETF南方,CSI_1000,3.044,0.009933163554257234,0.0022996057818660542,10.0,0.0012996057818660542,True,5
2026-03-24,BUY,4,159845,中证1000ETF华夏,CSI_1000,3.129,0.008220359840686373,0.005433045701501937,10.0,0.004433045701501937,True,5
2026-03-24,BUY,5,159352,中证A500ETF,CSI_A500,1.217,0.008118033571340206,0.0016433853738702098,10.0,0.0006433853738702098,True,5
2026-03-25,BUY,1,159531,中证2000ETF南方,CSI_2000,1.428,0.00960113370353865,0.01540616246498594,10.0,0.014406162464985939,True,5
2026-03-25,BUY,2,159800,中证800ETF鹏华,CSI_800,1.387,0.0061193729814532465,0.0,10.0,-0.001,False,5
2026-03-25,BUY,3,159352,中证A500ETF,CSI_A500,1.238,0.0055528205967718255,-0.0008077544426493555,10.0,-0.0018077544426493555,False,5
2026-03-25,BUY,4,563360,中证A500ETF华泰柏瑞,CSI_A500,1.257,0.005009937654559844,0.0,10.0,-0.001,False,5
2026-03-27,BUY,1,159531,中证2000ETF南方,CSI_2000,1.434,0.007931498692147787,-0.025801952580195242,10.0,-0.026801952580195243,False,5
2026-03-27,BUY,2,563360,中证A500ETF华泰柏瑞,CSI_A500,1.25,0.006339354301481696,-0.016000000000000014,10.0,-0.017000000000000015,False,5
2026-03-27,BUY,3,159352,中证A500ETF,CSI_A500,1.234,0.0056771917914695495,-0.020259319286871857,10.0,-0.02125931928687186,False,5
2026-04-01,BUY,1,159800,中证800ETF鹏华,CSI_800,1.387,0.009288882239906602,0.010814708002883755,10.0,0.009814708002883754,True,5
2026-04-01,BUY,2,159352,中证A500ETF,CSI_A500,1.237,0.006375318852854645,0.012934518997574695,10.0,0.011934518997574695,True,5
2026-04-01,BUY,3,159531,中证2000ETF南方,CSI_2000,1.45,0.0058364724360547016,0.01379310344827589,10.0,0.012793103448275889,True,5
2026-04-01,BUY,4,563360,中证A500ETF华泰柏瑞,CSI_A500,1.257,0.005516206640649905,0.012728719172633296,10.0,0.011728719172633295,True,5
2026-04-02,BUY,1,159800,中证800ETF鹏华,CSI_800,1.366,0.03679533236587698,0.04026354319180081,10.0,0.03926354319180081,True,5
