period,family_id,horizon_days,period_start_date,period_end_date,observations,win_rate,avg_forward_return,median_forward_return,volatility,sharpe_like,best_forward_return,worst_forward_return,positive_avg_return,negative_avg_return
2012,ALL,5,2012-05-28,2012-12-31,299,0.4180602006688963,-0.006318232521140225,-0.009944751381215533,0.04817474665373164,-0.9310895092463086,0.12332015810276697,-0.19081693500298158,0.03707698563822367,-0.03749295821033842
2012,ALL,20,2012-05-28,2012-12-31,299,0.25418060200668896,-0.023111999708899603,-0.03703703703703709,0.07584492020462517,-1.0816737668594998,0.3256916996047432,-0.1985688729874776,0.07679572560372734,-0.05716126932217156
2012,ALL,60,2012-05-28,2012-12-31,299,0.3177257525083612,-0.03380328556461577,-0.04789382573571854,0.08020337470522819,-0.8637556815566547,0.19761372110365416,-0.20685714285714296,0.06298192707860678,-0.07887483066807725
2012,ALL,120,2012-05-28,2012-12-31,299,0.5852842809364549,0.03548169632689361,0.05574210879785091,0.1405661160092607,0.3657913042379477,0.33754940711462456,-0.24088838268792712,0.1373386229167106,-0.1082679984571223
2012,ALL,250,2012-05-28,2012-12-31,299,0.9632107023411371,0.8638303347282481,0.8306233062330624,0.5445952918295347,1.5925197774223134,2.1422924901185776,-0.0794285714285714,0.8985640291724466,-0.045560937992581894
2012,CSI_300,5,2012-05-28,2012-12-31,299,0.4180602006688963,-0.006318232521140225,-0.009944751381215533,0.04817474665373164,-0.9310895092463086,0.12332015810276697,-0.19081693500298158,0.03707698563822367,-0.03749295821033842
2012,CSI_300,20,2012-05-28,2012-12-31,299,0.25418060200668896,-0.023111999708899603,-0.03703703703703709,0.07584492020462517,-1.0816737668594998,0.3256916996047432,-0.1985688729874776,0.07679572560372734,-0.05716126932217156
2012,CSI_300,60,2012-05-28,2012-12-31,299,0.3177257525083612,-0.03380328556461577,-0.04789382573571854,0.08020337470522819,-0.8637556815566547,0.19761372110365416,-0.20685714285714296,0.06298192707860678,-0.07887483066807725
2012,CSI_300,120,2012-05-28,2012-12-31,299,0.5852842809364549,0.03548169632689361,0.05574210879785091,0.1405661160092607,0.3657913042379477,0.33754940711462456,-0.24088838268792712,0.1373386229167106,-0.1082679984571223
2012,CSI_300,250,2012-05-28,2012-12-31,299,0.9632107023411371,0.8638303347282481,0.8306233062330624,0.5445952918295347,1.5925197774223134,2.1422924901185776,-0.0794285714285714,0.8985640291724466,-0.045560937992581894
2013,ALL,5,2013-05-24,2013-12-31,148,0.5067567567567568,-0.0001284130445555551,0.0019526462997937477,0.032010438401851624,-0.028479528105586155,0.08242950108459857,-0.10127826941986218,0.02432344067065115,-0.025250180560178886
2013,ALL,20,2013-05-24,2013-12-31,148,0.5878378378378378,0.005385848916116718,0.017454196337214456,0.05965531703188056,0.32047214035026295,0.11062906724511934,-0.1527777777777778,0.04775054693087195,-0.055035933498370236
2013,ALL,60,2013-05-24,2013-12-31,148,0.722972972972973,0.04250232053983633,0.038371624521542746,0.07009337682129893,1.2426828489689692,0.21739130434782616,-0.09615384615384603,0.07351572367131733,-0.03843509738866288
2013,ALL,120,2013-05-24,2013-12-31,148,0.7702702702702703,0.04408455300891387,0.0273893356691588,0.05640287397119877,1.1326477205146437,0.17412935323383083,-0.044117647058823595,0.0631093938179454,-0.019704619115485985
2013,ALL,250,2013-05-24,2013-12-31,148,0.9797297297297297,0.2548746638387867,0.24199658438130733,0.10859379112791007,2.3564158590877273,0.4600760456273765,-0.01203703703703718,0.2603070117030495,-0.007688816267247785
2013,CSI_500,5,2013-05-24,2013-12-31,148,0.5067567567567568,-0.0001284130445555551,0.0019526462997937477,0.032010438401851624,-0.028479528105586155,0.08242950108459857,-0.10127826941986218,0.02432344067065115,-0.025250180560178886
2013,CSI_500,20,2013-05-24,2013-12-31,148,0.5878378378378378,0.005385848916116718,0.017454196337214456,0.05965531703188056,0.32047214035026295,0.11062906724511934,-0.1527777777777778,0.04775054693087195,-0.055035933498370236
2013,CSI_500,60,2013-05-24,2013-12-31,148,0.722972972972973,0.04250232053983633,0.038371624521542746,0.07009337682129893,1.2426828489689692,0.21739130434782616,-0.09615384615384603,0.07351572367131733,-0.03843509738866288
2013,CSI_500,120,2013-05-24,2013-12-31,148,0.7702702702702703,0.04408455300891387,0.0273893356691588,0.05640287397119877,1.1326477205146437,0.17412935323383083,-0.044117647058823595,0.0631093938179454,-0.019704619115485985
2013,CSI_500,250,2013-05-24,2013-12-31,148,0.9797297297297297,0.2548746638387867,0.24199658438130733,0.10859379112791007,2.3564158590877273,0.4600760456273765,-0.01203703703703718,0.2603070117030495,-0.007688816267247785
2014,ALL,5,2014-01-02,2014-12-31,1159,0.6798964624676446,0.01729052672895219,0.013758146270818283,0.03657184752695779,3.356422249487817,0.2239532619279454,-0.07634408602150544,0.03379726956831021,-0.01776961709157105
2014,ALL,20,2014-01-02,2014-12-31,1159,0.8757549611734253,0.07043846748061372,0.05387029288702938,0.08450422840331749,2.958807633334137,0.4594137542277339,-0.07883082373782102,0.08353879969429094,-0.02190067971995833
2014,ALL,60,2014-01-02,2014-12-31,1159,0.9628990509059534,0.2292507332798848,0.18944281524926687,0.15435760385184846,3.0437385893004505,0.7226233453670277,-0.12118644067796613,0.23987444784789705,-0.046471719229456254
2014,ALL,120,2014-01-02,2014-12-31,1159,1.0,0.6470919055123022,0.6382860322760155,0.2977282897456809,3.1496007988352157,1.446306641837368,0.026204564666103103,0.6470919055123022,
