model,train_directional_accuracy,train_spearman_ic,train_rmse,test_directional_accuracy,test_spearman_ic,test_rmse
lstm,0.5115939382873836,0.017719925144108143,0.04075346398105412,0.6487179487179487,0.17626105503909806,0.028543950197524214
gru,0.5212707686689794,0.06588711205128839,0.035522210681552396,0.4461538461538462,-0.15564104952434815,0.029951278412752275
bilstm,0.5132371736352017,0.04625621709414941,0.04118844329766444,0.5115384615384615,0.0658847342042474,0.029724287090693868
attention_lstm,0.5424502464853022,0.07822774526746727,0.036201250851909804,0.5358974358974359,0.05727237283238592,0.02883261886576883
